match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,player_lastName,stat_aerialLost,stat_aerialWon,stat_wasFouled,stat_outfielderBlock,stat_totalOffside,stat_keyPass,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_goals,stat_bigChanceMissed,stat_hitWoodwork
14429571,home,Al-Riyadh,Milan Borjan,milan-borjan,M. Borjan,G,82,193.0,807,M,79413,EUR,561945600.0,G,82,82,False,True,21.0,7.0,19.0,5.0,0.0,2.0,4.0,5.0,17.0,1.0,8.0,2.0,1.0,1.0,1.0,90.0,29.0,6.8,14.0,0.00171909,0.0855,0,0.3169,0.06,-0.01,0.19,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14429571,home,Al-Riyadh,Osama Al-Boardi,osama-al-boardi,O. Al-Boardi,D,7,166.0,9,M,1914902,EUR,923616000.0,D,7,7,False,,16.0,13.0,1.0,1.0,0.0,7.0,8.0,6.0,8.0,,2.0,,,,,88.0,49.0,7.3,11.0,0.0686486,,1,,0.1,0.13,-0.09,,Osama Al-Boardi,3.0,1.0,6.0,9.0,3.0,1.0,1.0,4.0,9.0,5.0,1.0,2.0,0.0673,-0.03,,,,,,,,,,,,,,,,
14429571,home,Al-Riyadh,Mohammed Alkhaibari,mohammed-alkhaibari,M. Alkhaibari,D,23,184.0,21,M,1048753,EUR,1019088000.0,D,23,23,False,,16.0,13.0,3.0,2.0,0.0,10.0,11.0,3.0,5.0,5.0,3.0,,,,,90.0,27.0,6.8,4.0,0.00206015,,1,,0.06,0.02,0.17,,Mohammed Alkhaibari,,,5.0,5.0,2.0,,1.0,,1.0,1.0,1.0,1.0,0.0415,-0.25,,2.0,3.0,1.0,,,,,,,,,,,,
14429571,home,Al-Riyadh,Yoann Barbet,yoann-barbet,Y. Barbet,D,5,190.0,128,M,369544,EUR,736992000.0,D,5,5,False,,23.0,18.0,5.0,1.0,0.0,8.0,9.0,10.0,14.0,3.0,2.0,,,,,90.0,31.0,6.8,6.0,0.0033817,,0,,0.11,0.04,0.33,,,,,3.0,,1.0,,,2.0,,,1.0,,,,,2.0,,,1.0,,,,,,,,,,,
14429571,home,Al-Riyadh,Sulaiman Hahya Hazazi,hazazi-yahya,S. H. Hazazi,D,12,178.0,21,M,1102741,EUR,1044057600.0,D,12,12,False,,14.0,9.0,1.0,,0.0,5.0,7.0,4.0,7.0,5.0,2.0,,,,,90.0,31.0,6.7,10.0,0.0125743,,0,,-0.06,0.02,0.19,,Hazazi Yahya,5.0,1.0,3.0,2.0,1.0,,,,2.0,2.0,,1.0,,,,1.0,,,,1.0,1.0,,,,,,,,,
14429571,home,Al-Riyadh,Sergio González,sergio-gonzalez,S. González,D,4,186.0,273,M,377234,EUR,703728000.0,M,4,4,False,,33.0,22.0,4.0,,0.0,13.0,14.0,9.0,19.0,3.0,5.0,,,,,90.0,44.0,6.6,13.0,0.00257057,,0,,-0.15,0.09,0.28,,,,,2.0,2.0,1.0,,,1.0,1.0,,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,
14429571,home,Al-Riyadh,Saud Al-Tumbukti,saud-al-tumbukti,S. Al-Tumbukti,D,,177.0,8,M,1943702,EUR,1106870400.0,M,44,44,False,,19.0,14.0,3.0,1.0,0.0,10.0,12.0,4.0,7.0,1.0,5.0,,,,,60.0,31.0,6.3,8.0,0.00518927,,0,,-0.02,0.09,-0.17,,Saud Al-Tumbukti,1.0,,6.0,3.0,1.0,,,1.0,2.0,,2.0,4.0,,,,1.0,,1.0,,,,,,,,,,,,
14429571,home,Al-Riyadh,Teddy Okou,teddy-okou,T. Okou,M,10,165.0,622,M,878821,EUR,895190400.0,M,10,10,False,,21.0,17.0,2.0,1.0,0.0,8.0,9.0,9.0,12.0,,7.0,,,,,88.0,45.0,7.0,15.0,0.175556,,2,,0.26,0.26,0.22,,,3.0,1.0,6.0,5.0,,1.0,,3.0,2.0,2.0,4.0,1.0,0.0576,-0.21,,1.0,1.0,,1.0,,3.0,6.0,2.0,1.0,1.0,0.0943,,,,
14429571,home,Al-Riyadh,Tozé,toze,Tozé,M,20,165.0,386,M,1089231,EUR,726969600.0,M,20,20,False,,25.0,24.0,2.0,1.0,1.0,9.0,9.0,15.0,16.0,1.0,7.0,,,,,89.0,46.0,8.0,6.0,0.334774,,3,,0.57,0.46,0.22,,,5.0,3.0,4.0,8.0,,1.0,1.0,,4.0,2.0,2.0,2.0,0.34,-0.57,,1.0,,3.0,,,3.0,1.0,1.0,,2.0,,1.0,,,
14429571,home,Al-Riyadh,Muhammad Sahlouli,muhammad-sahlouli,M. Sahlouli,M,16,,23,M,1445996,EUR,1100995200.0,M,16,16,False,,12.0,10.0,1.0,1.0,0.0,2.0,3.0,8.0,9.0,,2.0,,,,,72.0,22.0,6.7,5.0,0.246045,,1,,-0.01,0.24,-0.03,,Muhammad Sahlouli,1.0,,5.0,1.0,1.0,1.0,,,,,1.0,2.0,0.0306,0.11,,1.0,,1.0,,,3.0,,,1.0,,0.0766,,,,
14429571,home,Al-Riyadh,Mamadou Sylla,mamadou-sylla,M. Sylla,F,9,184.0,1348,M,793761,EUR,764121600.0,F,9,9,False,,16.0,15.0,4.0,4.0,0.0,4.0,4.0,11.0,12.0,,3.0,,,,,90.0,31.0,7.4,7.0,0.0728762,,4,,0.21,0.29,-0.02,,,,,15.0,5.0,1.0,2.0,2.0,,2.0,2.0,2.0,4.0,0.4027,0.43,,6.0,1.0,2.0,,,2.0,2.0,,1.0,1.0,0.1643,,1.0,,
14429571,home,Al-Riyadh,Ismaila Soro,ismaila-soro,I. Soro,M,19,173.0,162,M,892808,EUR,894499200.0,M,19,19,True,,6.0,4.0,2.0,1.0,0.0,3.0,3.0,1.0,3.0,,,,,,,30.0,9.0,6.5,2.0,0.00298927,,1,,0.01,-0.09,-0.07,,,,,3.0,1.0,2.0,,1.0,1.0,1.0,1.0,,1.0,0.0112,-0.04,,,,,,,,,,,,,,,,
