match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_totalCross,stat_accurateCross,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_totalClearance,stat_interceptionWon,stat_errorLeadToAShot,player_firstName,player_lastName,stat_dispossessed,stat_fouls,stat_challengeLost,stat_goals,stat_unsuccessfulTouch,player_sofascoreId,captain,stat_bigChanceMissed,stat_shotOffTarget,stat_hitWoodwork,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goalsPrevented,stat_outfielderBlock,stat_lastManTackle
12448256,home,AFC Ajax,Remko Pasveer,remko-pasveer,R. Pasveer,G,22,186,801,M,2622,EUR,437097600,G,22,22,False,40.0,39.0,6.0,5.0,0.0,37.0,38.0,2.0,2.0,9.0,90.0,42.0,6.9,1.0,0.00333186,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448256,home,AFC Ajax,Devyne Rensch,devyne-rensch,D. Rensch,D,2,182,2450,M,982778,EUR,1042848000,D,2,2,False,77.0,71.0,1.0,1.0,0.0,42.0,42.0,31.0,38.0,2.0,90.0,95.0,8.0,7.0,0.175543,4,3.0,2.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,0.3808,0.2314,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12448256,home,AFC Ajax,Daniele Rugani,daniele-rugani,D. Rugani,D,24,188,2109,M,139273,EUR,775440000,D,24,24,False,145.0,138.0,4.0,3.0,0.0,100.0,104.0,38.0,41.0,5.0,90.0,152.0,7.5,7.0,0.0199344,1,,,5.0,,,,,1.0,2.0,1.0,,,0.0234,,,1.0,3.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12448256,home,AFC Ajax,Youri Baas,youri-baas,Y. Baas,D,15,182,1216,M,1000228,EUR,1047859200,D,15,15,False,147.0,141.0,2.0,2.0,0.0,95.0,99.0,46.0,48.0,3.0,90.0,153.0,7.4,6.0,0.0693133,0,,,3.0,,,,,,1.0,,,,,,1.0,1.0,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,
12448256,home,AFC Ajax,Owen Wijndal,owen-wijndal,O. Wijndal,D,5,174,794,M,836673,EUR,943747200,D,5,5,False,77.0,69.0,4.0,1.0,0.0,35.0,40.0,35.0,40.0,2.0,84.0,99.0,7.4,12.0,0.472368,0,3.0,1.0,7.0,1.0,1.0,1.0,,,2.0,2.0,2.0,,,,1.0,,2.0,2.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,
12448256,home,AFC Ajax,Kian Fitz-Jim,kian-fitz-jim,K. Fitz-Jim,M,28,173,1158,M,1001945,EUR,1057363200,M,28,28,False,50.0,47.0,1.0,1.0,0.0,24.0,24.0,23.0,26.0,3.0,85.0,64.0,7.4,9.0,0.0945778,2,,,3.0,3.0,1.0,,2.0,,2.0,,,,0.1381,0.8273,,,,5.0,,,,,,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,
12448256,home,AFC Ajax,Jordan Henderson,jordan-henderson,J. Henderson,M,6,183,6342,M,42694,EUR,645580800,M,6,6,False,86.0,78.0,8.0,5.0,1.0,26.0,27.0,53.0,61.0,2.0,61.0,89.0,7.4,9.0,0.235163,0,2.0,1.0,,,,,,,,,,,,,2.0,,,1.0,,1.0,,,,,,1.0,,,jordanhenderson,True,,,,,,,,,,
12448256,home,AFC Ajax,Davy Klaassen,davy-klaassen,D. Klaassen,M,18,179,1575,M,97410,EUR,730252800,M,18,18,False,41.0,36.0,2.0,2.0,1.0,16.0,19.0,20.0,23.0,1.0,90.0,55.0,7.6,9.0,0.502004,0,1.0,,9.0,1.0,1.0,1.0,,,5.0,1.0,,,,,2.0,3.0,3.0,4.0,1.0,,1.0,,,,,1.0,,2.0,,,,,,,,,,,,
12448256,home,AFC Ajax,Chuba Akpom,chuba-akpom,C. Akpom,F,29,186,1664,M,190867,EUR,813196800,F,10,10,False,21.0,18.0,,,0.0,4.0,4.0,14.0,18.0,1.0,61.0,25.0,6.8,5.0,0.199303,0,1.0,,3.0,,,,,,,,1.0,1.0,,,1.0,2.0,2.0,4.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,
12448256,home,AFC Ajax,Wout Weghorst,wout-weghorst,W. Weghorst,F,25,197,6772,M,252215,EUR,713145600,F,25,25,False,25.0,15.0,,,0.0,7.0,10.0,8.0,15.0,2.0,75.0,38.0,6.9,17.0,0.0232965,2,,,5.0,2.0,,,1.0,,,,3.0,,0.6357,0.8103,,1.0,2.0,6.0,,,,,,2.0,1.0,,1.0,2.0,wout.weghorst,,1.0,1.0,1.0,,,,,,,
