match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_unsuccessfulTouch,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_bigChanceCreated,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_totalOffside,stat_keyPass,stat_aerialLost,stat_wasFouled,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_outfielderBlock,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goalAssist,stat_bigChanceMissed,captain,stat_hitWoodwork,stat_goals
10433874,away,İstanbulspor,Demeaco Duhaney,duhaney-demeaco,D. Duhaney,D,21,180,24,M,851095,EUR,908236800,D,21,21,False,25.0,18.0,2.0,,13.0,18.0,5.0,10.0,7.0,,,,,,80.0,53.0,7.0,11.0,1,,,,3.0,,3.0,,8.0,,,,6.0,1.0,2.0,1.0,,,1.0,,2.0,1.0,1.0,,,1.0,,,,,,
10433874,away,İstanbulspor,Michael Ologo,michael-ologo,M. Ologo,D,5,189,67,M,1142908,EUR,1049500800,D,50,50,False,49.0,40.0,6.0,,35.0,36.0,5.0,13.0,9.0,,,,,,80.0,64.0,6.9,9.0,1,,,,,,1.0,3.0,5.0,,,,4.0,2.0,4.0,3.0,1.0,,,2.0,,,,,,1.0,,,,,,
10433874,away,İstanbulspor,Okan Erdoğan,okan-erdogan,O. Erdoğan,D,3,185,54,M,881213,EUR,907027200,D,23,23,False,64.0,56.0,8.0,2.0,50.0,51.0,6.0,14.0,6.0,1.0,,,,,90.0,80.0,6.9,11.0,0,,,,1.0,,2.0,4.0,2.0,,1.0,,4.0,2.0,,,,,1.0,3.0,,,,,3.0,,,,,,,
10433874,away,İstanbulspor,Tuncer Duhan Aksu,tuncer-duhan-aksu,T. D. Aksu,D,3,183,18,M,893007,EUR,873936000,D,3,3,False,44.0,37.0,3.0,,27.0,28.0,13.0,24.0,6.0,2.0,,,,,90.0,81.0,7.0,18.0,0,,,,8.0,3.0,1.0,3.0,8.0,,,,4.0,,6.0,3.0,1.0,,2.0,,1.0,2.0,,,,,,,,,,
10433874,away,İstanbulspor,Melih Kabasakal,kabasakal-melih,M. Kabasakal,M,6,178,97,M,828872,EUR,824601600,M,57,57,False,70.0,62.0,6.0,2.0,48.0,51.0,14.0,19.0,14.0,,,,,,90.0,85.0,7.0,9.0,0,,,,,,1.0,2.0,6.0,1.0,,,,5.0,4.0,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,,,
10433874,away,İstanbulspor,Jetmir Topalli,jetmir-topalli,J. Topalli,M,98,180,102,M,987126,EUR,886809600,M,98,98,False,20.0,14.0,,,6.0,9.0,8.0,12.0,3.0,1.0,,,,,58.0,36.0,6.8,10.0,1,,,,1.0,,5.0,6.0,9.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,2.0,2.0,2.0,2.0,1.0,,,1.0,,,,,,
10433874,away,İstanbulspor,Muammer Sarıkaya,muammer-sarikaya,M. Sarıkaya,M,24,179,36,M,816571,EUR,886982400,M,24,24,False,58.0,50.0,3.0,2.0,24.0,27.0,26.0,31.0,3.0,3.0,,,,,90.0,70.0,6.9,12.0,0,,,,,,,3.0,5.0,1.0,1.0,,,,5.0,4.0,,,,1.0,,,,,,,,,,,,
10433874,away,İstanbulspor,Eduart Rroca,eduart-rroca,E. Rroca,M,8,182,79,M,938181,EUR,743817600,M,10,10,False,44.0,30.0,3.0,2.0,21.0,26.0,9.0,18.0,4.0,2.0,,,,,90.0,54.0,6.1,20.0,0,,,,,,2.0,8.0,3.0,1.0,1.0,,,,,,2.0,,,4.0,1.0,1.0,,,,,,,,True,,
10433874,away,İstanbulspor,Valon Ethemi,valon-ethemi,V. Ethemi,M,27,179,121,M,904945,EUR,875836800,M,27,27,False,31.0,22.0,,,6.0,7.0,17.0,27.0,4.0,4.0,,,,,90.0,56.0,7.1,16.0,4,,,,3.0,1.0,,3.0,7.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,4.0,3.0,2.0,3.0,,1.0,,1.0,,,,
10433874,away,İstanbulspor,İbrahim Yilmaz,ibrahim-yilmaz,İ. Yilmaz,F,,184,30,M,135689,EUR,760492800,F,9,9,False,18.0,14.0,,,5.0,6.0,9.0,13.0,3.0,2.0,,,,,80.0,36.0,6.7,11.0,3,,,,1.0,,1.0,7.0,3.0,,2.0,,3.0,,1.0,1.0,1.0,1.0,,3.0,1.0,1.0,,,,2.0,1.0,,,,,
10433874,away,İstanbulspor,Aldin Čajić,aldin-cajic,A. Čajić,M,,182,17,M,129010,EUR,716169600,M,11,11,True,15.0,13.0,,,5.0,6.0,8.0,9.0,1.0,2.0,,,,,32.0,20.0,6.7,4.0,0,,,,,,1.0,1.0,2.0,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,
10433874,away,İstanbulspor,Mehmet Yeşil,mehmet-yesil,M. Yeşil,D,21,188,48,M,840639,EUR,896572800,D,4,4,True,14.0,4.0,3.0,,4.0,7.0,,7.0,2.0,1.0,,,,,10.0,16.0,7.2,11.0,1,,,,,,1.0,2.0,1.0,,,,,,,,,,,2.0,,,,,,,1.0,,,,,1.0
10433874,away,İstanbulspor,Oğuzhan Berber,oguzhan-berber,O. Berber,D,13,176,11,M,148926,EUR,702864000,D,13,13,True,10.0,7.0,2.0,,3.0,3.0,4.0,8.0,,,,,,,10.0,12.0,6.7,4.0,0,,,,1.0,,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,
10433874,away,İstanbulspor,Emir Kaan Gültekin,emir-kaan-gultekin,E. K. Gültekin,F,9,180,80,M,903714,EUR,970444800,F,19,19,True,7.0,5.0,,,1.0,1.0,4.0,6.0,3.0,2.0,,,,,10.0,12.0,6.4,4.0,1,,,,,,,2.0,1.0,,,,,1.0,,,,,1.0,2.0,1.0,,,,,1.0,,,1.0,,,
10433874,away,İstanbulspor,Alp Arda,alp-arda,A. Arda,G,59,192,35,M,999485,EUR,802483200,G,59,59,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433874,away,İstanbulspor,Ali Yaşar,ali-yasar,A. Yaşar,D,66,180,31,M,190815,EUR,794620800,D,66,66,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433874,away,İstanbulspor,Adi Mehremić,adi-mehremic,A. Mehremić,D,4,188,26,M,152110,EUR,704246400,D,88,88,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433874,away,İstanbulspor,Vefa Temel,temel-vefa,V. Temel,M,8,176,41,M,1067329,EUR,1036281600,M,18,18,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433874,away,İstanbulspor,Yusuf Ali Özer,yusuf-ali-ozer,Y. A. Özer,M,44,178,19,M,1035355,EUR,1024444800,M,44,44,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433874,away,İstanbulspor,Kagan Bağış,kagan-bagis,K. Bağış,M,,178,1,M,997717,EUR,892166400,M,77,77,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
