match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_aerialWon,stat_totalContest,stat_blockedScoringAttempt,stat_keyPass,player_firstName,player_lastName,stat_dispossessed,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_challengeLost,stat_unsuccessfulTouch,stat_accurateCross,captain,stat_totalOffside,stat_goodHighClaim,stat_saves,stat_punches,stat_goalsPrevented,stat_errorLeadToAShot,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork
11451090,home,Samsunspor,Okan Kocuk,okan-kocuk,O. Koçuk,G,1,187,289,M,190179,EUR,806803200,G,1,1,False,22.0,14.0,11.0,3.0,12.0,13.0,2.0,9.0,1.0,90.0,22.0,6.6,8.0,0.00058532,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451090,home,Samsunspor,Mickael Tirpan,mickael-tirpan,M. Tirpan,D,25,177,58,M,800340,EUR,751334400,D,24,24,False,30.0,23.0,5.0,3.0,11.0,14.0,12.0,19.0,5.0,72.0,53.0,7.1,11.0,0.00590897,1,3.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0265,,,,,,,,,,,,,,,,,,,,,,,
11451090,home,Samsunspor,Ľubomír Šatka,ubomir-satka,Ľ. Šatka,D,37,185,293,M,187231,EUR,817862400,D,37,37,False,42.0,38.0,7.0,5.0,27.0,30.0,11.0,12.0,5.0,90.0,49.0,7.0,5.0,0.00603392,0,,3.0,4.0,2.0,,3.0,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11451090,home,Samsunspor,Rick Van Drongelen,rick-van-drongelen,R. V. Drongelen,D,4,185,366,M,803023,EUR,914112000,D,4,4,False,45.0,36.0,8.0,3.0,26.0,30.0,10.0,15.0,3.0,90.0,55.0,6.9,10.0,0.255806,3,,5.0,8.0,4.0,1.0,3.0,,1.0,,,,2.0,0.1882,4.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
11451090,home,Samsunspor,Soner Gönül,soner-gonul,S. Gönül,D,28,177,50,M,867727,EUR,865987200,D,28,28,False,28.0,19.0,8.0,4.0,8.0,8.0,11.0,24.0,5.0,90.0,53.0,7.2,19.0,0.0175394,1,4.0,1.0,4.0,3.0,,1.0,,1.0,1.0,1.0,,1.0,0.0154,1.0,2.0,,,,,1.0,1.0,1.0,0.0387,,,,,,,,,,,,,
11451090,home,Samsunspor,Youssef Aït Bennasser,youssef-ait-bennasser,Y. A. Bennasser,M,15,184,425,M,802850,EUR,836697600,M,6,6,False,21.0,20.0,2.0,2.0,7.0,7.0,13.0,15.0,9.0,85.0,34.0,7.0,4.0,0.00950938,2,1.0,,5.0,4.0,1.0,,1.0,2.0,1.0,,1.0,2.0,0.1049,,2.0,1.0,,,,1.0,2.0,,,3.0,1.0,,,,,,,,,,,
11451090,home,Samsunspor,Flavien Tait,flavien-tait,F. Tait,M,,175,101,M,312388,EUR,728611200,M,13,13,False,15.0,14.0,1.0,1.0,6.0,6.0,9.0,12.0,1.0,82.0,24.0,6.8,5.0,0.0868005,0,3.0,,5.0,2.0,,1.0,,,2.0,1.0,,2.0,,,,,2.0,,,,,,,3.0,2.0,1.0,,,,,,,,,,
11451090,home,Samsunspor,Carlo Holse,carlo-holse,C. Holse,M,21,177,633,M,837012,EUR,928281600,M,21,21,False,20.0,17.0,2.0,,2.0,3.0,16.0,23.0,3.0,82.0,36.0,7.0,10.0,0.0791511,2,6.0,2.0,5.0,3.0,,,,,3.0,1.0,,,0.103,,,1.0,3.0,,,1.0,,1.0,0.0959,2.0,1.0,1.0,,,,,,,,,,
11451090,home,Samsunspor,Ercan Kara,ercan-kara,E. Kara,F,9,192,253,M,843039,EUR,820627200,M,99,99,False,18.0,10.0,2.0,1.0,3.0,4.0,7.0,14.0,6.0,85.0,32.0,6.8,15.0,0.0158826,3,,9.0,14.0,8.0,2.0,,,,2.0,2.0,,3.0,0.1276,6.0,,1.0,,,,2.0,,,,,4.0,,,,,,,,,,,
11451090,home,Samsunspor,Emre Kılınç,emre-kilinc,E. Kılınç,M,11,174,320,M,202032,EUR,777600000,M,11,11,False,24.0,19.0,1.0,1.0,3.0,3.0,17.0,24.0,4.0,90.0,40.0,6.9,10.0,0.0995286,0,3.0,1.0,8.0,7.0,,1.0,,,1.0,,3.0,3.0,,2.0,1.0,,4.0,,,2.0,1.0,,,2.0,1.0,1.0,True,1.0,,,,,,,,
