match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_fouls,stat_keyPass,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_challengeLost,stat_shotOffTarget,stat_outfielderBlock,stat_expectedGoals,stat_dispossessed,stat_totalOffside,captain,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_errorLeadToAGoal,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_goals,stat_bigChanceCreated,player_sofascoreId,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_lastManTackle,stat_errorLeadToAShot
12436538,home,Ipswich Town,Christian Walton,,,christian-walton,C. Walton,G,28,196.0,230,M,198038,EUR,815875200,G,28,28,False,21.0,17.0,9.0,5.0,0.0,14.0,14.0,3.0,7.0,1.0,11.0,1.0,2.0,3.0,90.0,34.0,6.5,4.0,0.00273855,0,-0.9562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436538,home,Ipswich Town,Axel Tuanzebe,,,axel-tuanzebe,A. Tuanzebe,D,6,185.0,6307,M,817979,EUR,879465600,D,40,40,False,53.0,47.0,4.0,2.0,0.0,20.0,23.0,28.0,33.0,2.0,2.0,,,,90.0,69.0,6.6,10.0,0.0753031,0,,3.0,1.0,1.0,4.0,2.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436538,home,Ipswich Town,Dara O'Shea,,,dara-oshea,D. O'Shea,D,26,188.0,660,M,856719,EUR,920505600,D,26,26,False,39.0,33.0,6.0,3.0,0.0,20.0,20.0,13.0,19.0,11.0,2.0,,,,90.0,58.0,6.7,8.0,0.0104428,0,,,,5.0,3.0,7.0,6.0,2.0,,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12436538,home,Ipswich Town,Jacob Greaves,,,jacob-greaves,J. Greaves,D,24,193.0,527,M,990821,EUR,968716800,D,24,24,False,40.0,33.0,1.0,,0.0,20.0,24.0,13.0,16.0,8.0,6.0,,,,90.0,55.0,6.9,7.0,0.00563361,1,,,,2.0,3.0,3.0,5.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,0.0252,,,,,,,,,,,,,,,,,,
12436538,home,Ipswich Town,Leif Davis,,,leif-davis,L. Davis,D,3,182.0,985,M,963493,EUR,946598400,D,3,3,False,29.0,22.0,2.0,1.0,0.0,8.0,10.0,16.0,28.0,2.0,2.0,,,,90.0,50.0,6.4,16.0,0.124315,0,,9.0,2.0,,,4.0,1.0,1.0,3.0,,,,,1.0,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,
12436538,home,Ipswich Town,Sam Morsy,,,sam-morsy,S. Morsy,M,40,175.0,1814,M,108515,EUR,684460800,M,5,5,False,51.0,47.0,3.0,2.0,0.0,19.0,20.0,28.0,32.0,1.0,6.0,,,,88.0,64.0,6.5,7.0,0.0651407,2,,1.0,,1.0,,6.0,6.0,1.0,,,2.0,2.0,,1.0,2.0,1.0,,0.0311,1.0,,True,4.0,3.0,1.0,1.0,0.0268,,,,,,,,,,
12436538,home,Ipswich Town,Jens Cajuste,,,jens-cajuste,J. Cajuste,M,12,188.0,1162,M,857671,EUR,934243200,M,12,12,False,38.0,33.0,1.0,,1.0,11.0,13.0,22.0,25.0,,5.0,,,,78.0,56.0,7.0,12.0,0.0395005,0,,,,,,5.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,,,1.0,,2.0,,,3.0,1.0,,,,,,,,,,,,,
12436538,home,Ipswich Town,Omari Hutchinson,,,omari-hutchinson,O. Hutchinson,M,21,174.0,3680,M,1090963,EUR,1067385600,M,20,20,False,38.0,34.0,2.0,2.0,0.0,13.0,13.0,22.0,32.0,,4.0,,,,90.0,62.0,6.3,17.0,0.0632473,4,,7.0,1.0,1.0,,5.0,1.0,1.0,,,,,2.0,1.0,,,1.0,0.1955,1.0,1.0,,3.0,,1.0,,0.0927,1.0,3.0,,,,,,,,
12436538,home,Ipswich Town,Conor Chaplin,,,conor-chaplin,C. Chaplin,M,36,170.0,452,M,784625,EUR,856051200,M,10,10,False,35.0,25.0,3.0,1.0,0.0,10.0,12.0,15.0,23.0,,2.0,,,,70.0,43.0,6.7,11.0,0.0450905,2,,,,,1.0,2.0,3.0,,,1.0,1.0,,,1.0,1.0,1.0,,0.2475,1.0,,,,,,,,,1.0,,,,,,,,
12436538,home,Ipswich Town,Nathan Broadhead,,,nathan-broadhead,N. Broadhead,M,33,178.0,415,M,911710,EUR,891734400,M,33,33,False,23.0,20.0,,,0.0,7.0,8.0,13.0,15.0,,2.0,,,,78.0,33.0,7.0,7.0,0.0209959,2,,,,1.0,,7.0,2.0,,1.0,,1.0,,1.0,,3.0,,,0.1114,2.0,,,2.0,1.0,2.0,,0.1239,,,1.0,,,,,,,
