match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_interceptionWon,stat_aerialWon,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_totalTackle,stat_wasFouled,stat_fouls,stat_outfielderBlock,stat_accurateCross,stat_totalContest,stat_wonContest,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_totalOffside,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_goals,stat_penaltyWon,stat_penaltyFaced,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot,stat_penaltyConceded,player_sofascoreId
12117112,home,Cuiabá,Walter,walter,Walter,G,22,188.0,774,M,329055,EUR,564192000,G,1,1,False,True,19.0,13.0,9.0,3.0,0.0,12.0,12.0,1.0,7.0,11.0,1.0,1.0,1.0,2.0,90.0,30.0,5.9,6.0,0.00096064,0,-0.459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117112,home,Cuiabá,Matheus Alexandre,matheus-alexandre,M. Alexandre,D,33,188.0,291,M,953736,EUR,923443200,D,2,2,False,,22.0,19.0,2.0,1.0,0.0,6.0,9.0,13.0,17.0,1.0,,,,,45.0,31.0,6.4,8.0,0.0110618,0,,,,4.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117112,home,Cuiabá,Bruno Alves,bruno-alves,B. Alves,D,3,184.0,261,M,551810,EUR,671760000,D,34,34,False,,57.0,50.0,11.0,6.0,0.0,24.0,27.0,26.0,30.0,3.0,,,,,90.0,70.0,6.8,7.0,0.00810543,0,,,,,1.0,3.0,,2.0,2.0,7.0,1.0,5.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12117112,home,Cuiabá,Marllon,marllon,Marllon,D,3,184.0,365,M,221206,EUR,703382400,D,4,4,False,,51.0,49.0,3.0,2.0,0.0,29.0,29.0,20.0,22.0,6.0,,,,,90.0,58.0,6.7,2.0,0.0158475,0,,,,,2.0,4.0,,1.0,2.0,2.0,1.0,5.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12117112,home,Cuiabá,Alan Empereur,alan-empereur,A. Empereur,D,33,186.0,199,M,373740,EUR,763257600,D,33,33,False,,53.0,43.0,9.0,4.0,0.0,20.0,23.0,24.0,31.0,1.0,,,,,83.0,65.0,6.8,13.0,0.0425912,0,,,,1.0,,3.0,,1.0,1.0,3.0,1.0,3.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12117112,home,Cuiabá,Ramon,ramon,Ramon,D,13,176.0,862,M,980761,EUR,984441600,D,23,23,False,,31.0,29.0,,,0.0,11.0,11.0,19.0,28.0,2.0,,,,,90.0,62.0,7.0,12.0,0.0612815,0,,,,8.0,,3.0,2.0,1.0,,6.0,1.0,1.0,2.0,2.0,,,1.0,2.0,2.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,
12117112,home,Cuiabá,Jonathan Cafú,jonathan-cafu,Jonathan Cafú,M,11,175.0,197,M,790103,EUR,679104000,M,7,7,False,,15.0,15.0,2.0,2.0,0.0,4.0,4.0,11.0,14.0,4.0,,,,,77.0,29.0,7.0,6.0,0.0137275,1,,,,3.0,4.0,7.0,3.0,,1.0,6.0,,,,1.0,,,,4.0,4.0,,,,,1.0,0.0171,0.4526,,,,,,,,,,,,
12117112,home,Cuiabá,Filipe Augusto,filipe-augusto,Filipe Augusto,M,6,182.0,119,M,254561,EUR,745113600,M,5,5,False,,62.0,56.0,3.0,2.0,0.0,25.0,29.0,31.0,33.0,2.0,,,,,90.0,70.0,6.7,8.0,0.0684838,1,,,,,3.0,6.0,1.0,2.0,,2.0,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,0.083,,1.0,,,,,,,,,,,
12117112,home,Cuiabá,Denilson,denilson,Denilson,M,8,180.0,370,M,1175760,EUR,985305600,M,27,27,False,,45.0,43.0,3.0,3.0,0.0,11.0,13.0,32.0,33.0,4.0,,,,,77.0,56.0,7.3,4.0,0.0498638,1,,Denilson,,1.0,,,,,1.0,7.0,,1.0,,2.0,,,,4.0,4.0,,1.0,,,,0.0114,,,1.0,,,,,,,,,,
12117112,home,Cuiabá,Clayson,clayson,Clayson,M,29,166.0,372,M,811308,EUR,795571200,M,25,25,False,,21.0,20.0,,,0.0,4.0,4.0,16.0,23.0,2.0,,,,,64.0,35.0,6.3,10.0,0.0269491,1,,,,6.0,1.0,3.0,2.0,,,1.0,,,,1.0,,,,,,,1.0,,,,0.3741,,1.0,,1.0,,,,,,,,,
