match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_challengeLost,stat_interceptionWon,stat_aerialLost,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_shotOffTarget,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_keyPass,stat_dispossessed,stat_bigChanceCreated,stat_totalOffside,stat_onTargetScoringAttempt,player_sofascoreId,stat_bigChanceMissed,stat_goalAssist,stat_hitWoodwork,stat_goals
10388523,home,TSG Hoffenheim,Oliver Baumann,oliver-baumann,O. Baumann,G,1,185,1392,M,40244,EUR,644284800,G,1,1,False,True,26.0,22.0,7.0,3.0,21.0,23.0,1.0,3.0,1.0,1.0,11.0,1.0,7.0,10.0,90.0,44.0,9.2,4.0,0.0,0.0,0.0004184,0,0.8638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388523,home,TSG Hoffenheim,Ozan Kabak,ozan-kabak,O. Kabak,D,5,185,2402,M,857740,EUR,953942400,D,5,5,False,,14.0,10.0,3.0,1.0,8.0,9.0,2.0,5.0,1.0,7.0,3.0,,,,30.0,25.0,7.0,6.0,0.0,0.0,0.0008396,0,,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
10388523,home,TSG Hoffenheim,Kevin Vogt,kevin-vogt,K. Vogt,D,7,194,163,M,48660,EUR,685584000,D,22,22,False,,55.0,50.0,7.0,6.0,34.0,34.0,16.0,21.0,1.0,1.0,5.0,,,,90.0,64.0,6.7,5.0,0.0,0.0,0.151645,0,,3.0,,,4.0,1.0,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
10388523,home,TSG Hoffenheim,Kevin Akpoguma,kevin-akpoguma,K. Akpoguma,D,25,192,335,M,187423,EUR,798249600,D,25,25,False,,47.0,39.0,8.0,4.0,25.0,27.0,14.0,20.0,2.0,7.0,10.0,,,,90.0,63.0,7.3,8.0,0.0,0.0,0.0161248,0,,4.0,,,4.0,1.0,5.0,2.0,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,
10388523,home,TSG Hoffenheim,Pavel Kadeřábek,pavel-kaderabek,P. Kadeřábek,M,3,182,266,M,109296,EUR,704160000,M,3,3,False,,22.0,11.0,5.0,1.0,1.0,6.0,11.0,18.0,1.0,5.0,6.0,,,,90.0,42.0,6.8,13.0,0.0,0.0,0.0605572,0,,5.0,1.0,,2.0,,4.0,4.0,,,2.0,1.0,2.0,,,2.0,1.0,,,,,,,,,,,,,
10388523,home,TSG Hoffenheim,Sebastian Rudy,sebastian-rudy,S. Rudy,M,16,180,207,,35680,EUR,636163200,M,16,16,False,,36.0,29.0,4.0,3.0,15.0,16.0,15.0,25.0,,2.0,4.0,,,,78.0,52.0,6.4,12.0,0.066,0.0,0.0811932,2,,8.0,,,4.0,,,,2.0,3.0,4.0,1.0,1.0,,,5.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
10388523,home,TSG Hoffenheim,Umut Tohumcu,umut-tohumcu,U. Tohumcu,M,8,176,432,M,1083410,EUR,1092182400,M,40,40,False,,10.0,8.0,,,4.0,4.0,4.0,6.0,,2.0,3.0,,,,65.0,20.0,6.2,6.0,0.0,0.0,0.00938679,0,,5.0,1.0,,2.0,,2.0,2.0,,,3.0,,,Umut Tohumcu,,,,,,2.0,,1.0,,,,,,,,
10388523,home,TSG Hoffenheim,Angeliño,angelino,Angeliño,M,3,171,3342,M,848355,EUR,852336000,M,11,11,False,,37.0,26.0,2.0,1.0,10.0,13.0,18.0,33.0,,3.0,3.0,,,,90.0,64.0,7.6,19.0,0.0214,0.0,0.65151,1,,1.0,,,1.0,1.0,3.0,2.0,,1.0,,2.0,,,,9.0,2.0,,1.0,,3.0,,1.0,1.0,,,,,,
10388523,home,TSG Hoffenheim,Christoph Baumgartner,christoph-baumgartner,C. Baumgartner,M,14,180,2738,M,825956,EUR,933465600,F,14,14,False,,28.0,15.0,1.0,1.0,4.0,8.0,12.0,21.0,4.0,16.0,11.0,,,,90.0,58.0,8.0,21.0,0.074,0.4163,0.117917,1,,11.0,9.0,9.0,,,2.0,1.0,1.0,4.0,2.0,,4.0,,,1.0,1.0,,,6.0,3.0,1.0,,1.0,1.0,,,,,
10388523,home,TSG Hoffenheim,Ihlas Bebou,ihlas-bebou,I. Bebou,F,9,183,465,M,254297,EUR,767059200,F,9,9,False,,6.0,5.0,,,1.0,1.0,4.0,5.0,1.0,3.0,2.0,,,,65.0,10.0,6.5,3.0,0.0,0.0,0.135004,0,,7.0,2.0,,,,1.0,1.0,1.0,1.0,2.0,,2.0,,,,,,,,2.0,,,,,,,,,
