match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_challengeLost,stat_shotOffTarget,stat_lastManTackle,stat_wonTackle,stat_fouls,stat_keyPass,captain,stat_wasFouled,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,player_sofascoreId,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_dispossessed,stat_hitWoodwork,stat_goals,stat_totalOffside,stat_bigChanceMissed
11396307,home,RB Leipzig,Péter Gulácsi,peter-gulacsi,P. Gulácsi,G,1,190,2361,M,37096,EUR,641952000,G,1,1,False,30.0,27.0,7.0,4.0,27.0,29.0,1.0,1.0,7.0,2.0,2.0,1.0,1.0,90.0,36.0,7.2,3.0,0.00021305,0,0.2435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396307,home,RB Leipzig,Benjamin Henrichs,benjamin-henrichs,B. Henrichs,D,39,182,1142,M,319857,EUR,856656000,D,39,39,False,41.0,33.0,,,14.0,15.0,28.0,1.0,3.0,,,,,90.0,66.0,7.7,11.0,0.0340258,2,,,,19.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,0.2299,,,,,,,,,,,,,,,,,,,
11396307,home,RB Leipzig,Lukas Klostermann,lukas-klostermann,L. Klostermann,D,16,188,717,M,319853,EUR,833760000,D,16,16,False,83.0,80.0,5.0,2.0,55.0,55.0,28.0,4.0,7.0,,,,,90.0,96.0,7.6,3.0,0.0129149,1,,,,25.0,,1.0,2.0,4.0,3.0,,,,1.0,2.0,1.0,,0.0511,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
11396307,home,RB Leipzig,Willi Orbán,willi-orban,W. Orbán,D,4,186,3115,M,136924,EUR,720748800,D,4,4,False,88.0,82.0,7.0,4.0,62.0,62.0,26.0,6.0,5.0,,,,,70.0,100.0,7.4,7.0,0.00856687,0,,,,20.0,,1.0,5.0,3.0,6.0,,,,1.0,3.0,,1.0,,,,,,2.0,,True,1.0,,,,,,,,,,,
11396307,home,RB Leipzig,David Raum,david-raum,D. Raum,D,22,180,2192,M,856076,EUR,893203200,D,22,22,False,82.0,70.0,8.0,4.0,38.0,41.0,52.0,2.0,6.0,,,,,85.0,105.0,7.9,23.0,0.279447,1,,,,34.0,11.0,,,2.0,4.0,,,1.0,,,3.0,1.0,0.0432,,,,2.0,2.0,3.0,,1.0,1.0,2.0,1.0,,,,,,,,
11396307,home,RB Leipzig,Kevin Kampl,kevin-kampl,K. Kampl,M,,178,752,M,84251,EUR,655430400,M,44,44,False,73.0,66.0,2.0,1.0,31.0,34.0,39.0,2.0,4.0,,,,,85.0,81.0,6.8,8.0,0.0436749,1,,,,35.0,,,,2.0,2.0,,,,,,2.0,1.0,0.0405,,1.0,,,2.0,,,,,,,,,,,,,,
11396307,home,RB Leipzig,Xaver Schlager,xaver-schlager,X. Schlager,M,24,174,1069,M,791079,EUR,875404800,M,24,24,False,81.0,70.0,6.0,5.0,26.0,30.0,52.0,1.0,6.0,,,,,90.0,90.0,7.5,13.0,0.0663588,0,,,,44.0,1.0,2.0,2.0,4.0,6.0,,,,,1.0,4.0,1.0,,1.0,,,3.0,1.0,3.0,,,,,,,,,,,,,
11396307,home,RB Leipzig,Dani Olmo,dani-olmo,D. Olmo,M,20,179,190811,M,789071,EUR,894499200,M,7,7,False,43.0,36.0,6.0,4.0,11.0,12.0,32.0,1.0,7.0,,,,,77.0,60.0,7.3,13.0,0.0555649,2,,,,25.0,1.0,,1.0,3.0,4.0,2.0,,1.0,,,1.0,1.0,0.0687,,,,1.0,1.0,,,2.0,,,,DaniOlmo,1.0,0.2074,,,,,
11396307,home,RB Leipzig,Xavi Simons,xavi-simons,X. Simons,M,7,179,50786,M,997183,EUR,1050883200,M,20,20,False,63.0,56.0,1.0,1.0,15.0,15.0,50.0,,5.0,,,,,90.0,88.0,8.1,14.0,0.203592,5,,,,43.0,2.0,,1.0,4.0,8.0,7.0,4.0,2.0,,,,3.0,0.1607,,1.0,,,,1.0,,3.0,,2.0,,XaviSimons,2.0,0.0579,1.0,1.0,,,
11396307,home,RB Leipzig,Loïs Openda,lois-openda,L. Openda,F,20,177,15660,M,835480,EUR,950659200,F,17,17,False,17.0,12.0,1.0,1.0,2.0,3.0,14.0,,,,,,,77.0,25.0,7.5,7.0,0.13441,1,,,,10.0,,2.0,1.0,4.0,4.0,,,,,,,1.0,0.2067,,,,,1.0,2.0,,3.0,,,,l_openda,1.0,0.4533,1.0,,1.0,1.0,
11396307,home,RB Leipzig,Benjamin Šeško,benjamin-sesko,B. Šeško,F,30,195,79780,M,986397,EUR,1054339200,F,30,30,False,23.0,15.0,,,5.0,6.0,17.0,1.0,1.0,,,,,90.0,38.0,7.4,15.0,0.0420139,3,,,,10.0,,2.0,3.0,7.0,4.0,2.0,,,,,,4.0,0.3472,1.0,1.0,,,2.0,1.0,,1.0,,,,benjamin_sesko,2.0,0.4722,1.0,,1.0,1.0,
11396307,home,RB Leipzig,Castello Lukeba,castello-lukeba,C. Lukeba,D,23,184,2734,M,976421,EUR,1040083200,D,23,23,True,32.0,30.0,2.0,1.0,14.0,14.0,18.0,,2.0,,,,,20.0,34.0,6.8,2.0,0.00878962,0,,,,16.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
