match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_goalAssist,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_blockedScoringAttempt,stat_unsuccessfulTouch,captain,stat_shotOffTarget,player_sofascoreId,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_penaltyWon,stat_bigChanceMissed,stat_goals,stat_penaltyMiss,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_outfielderBlock,stat_penaltyConceded
10389798,home,Nice,Kasper Schmeichel,kasper-schmeichel,K. Schmeichel,G,1,189,3913,M,1076,EUR,531532800,G,1,1,False,10.0,9.0,2.0,1.0,9.0,9.0,1.0,7.0,1.0,90.0,15.0,6.4,1.0,0.0,0.0,0.00013426,0,-0.7348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389798,home,Nice,Jordan Lotomba,jordan-lotomba,J. Lotomba,D,30,177,509,M,796279,EUR,907027200,D,23,23,False,55.0,47.0,1.0,,20.0,21.0,39.0,5.0,,90.0,86.0,7.4,15.0,0.0,0.0,0.107066,0,,,,1.0,28.0,5.0,1.0,1.0,2.0,7.0,8.0,2.0,1.0,4.0,3.0,2.0,4.0,2.0,2.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,
10389798,home,Nice,Jean-Clair Todibo,jean-clair-todibo,J-C. Todibo,D,25,189,2607,M,945217,EUR,946512000,D,25,25,False,95.0,86.0,8.0,2.0,44.0,45.0,51.0,12.0,,90.0,115.0,7.3,11.0,0.0474,0.0,0.0250493,1,,,,,42.0,1.0,,,2.0,3.0,8.0,2.0,,,,6.0,2.0,6.0,5.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,
10389798,home,Nice,Dante,dante,Dante,D,4,188,1257,M,3577,EUR,435283200,D,4,4,False,119.0,108.0,10.0,5.0,49.0,52.0,67.0,10.0,,90.0,124.0,6.8,11.0,0.0,0.0,0.0314652,0,,,,,59.0,,,,5.0,3.0,7.0,3.0,,1.0,1.0,2.0,1.0,,,1.0,,1.0,,,True,,,,,,,,,,,,,,,,
10389798,home,Nice,Ayoub Amraoui,amraoui-ayoub,A. Amraoui,D,88,186,853,M,1129757,EUR,1084492800,D,40,40,False,69.0,66.0,1.0,,28.0,28.0,50.0,5.0,,90.0,91.0,6.7,12.0,0.0116,0.0,0.0257435,1,,,,,38.0,9.0,,1.0,,3.0,3.0,2.0,,2.0,2.0,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,
10389798,home,Nice,Hicham Boudaoui,hicham-boudaoui,H. Boudaoui,M,6,176,11417,M,985923,EUR,938044800,M,28,28,False,45.0,36.0,2.0,1.0,12.0,13.0,36.0,9.0,,90.0,64.0,7.3,16.0,0.1532,0.1342,0.0526198,3,,,,,25.0,4.0,1.0,,,5.0,3.0,2.0,1.0,2.0,1.0,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,hicham_boudaoui,2.0,1.0,,,,,,,,,,,,
10389798,home,Nice,Pablo Rosario,pablo-rosario,P. Rosario,M,13,188,1208,M,804472,EUR,852595200,M,8,8,False,64.0,56.0,5.0,3.0,23.0,24.0,40.0,6.0,,78.0,79.0,7.3,11.0,0.0927,0.0,0.0402469,1,,,,,33.0,,,1.0,2.0,3.0,8.0,1.0,1.0,,,,1.0,5.0,4.0,1.0,,2.0,,2.0,,1.0,,,,,,,,,,,,,,,
10389798,home,Nice,Khéphren Thuram,khephren-thuram,K. Thuram,M,19,191,11655,M,904832,EUR,985564800,M,19,19,False,40.0,33.0,,,7.0,8.0,33.0,3.0,,90.0,54.0,7.6,9.0,0.0,0.0,0.0977301,0,,,,,26.0,1.0,,,1.0,1.0,8.0,,1.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,,1.0,,,,,k_thuram,,,1.0,,,,,,,,,,,
10389798,home,Nice,Gaëtan Laborde,gaetan-laborde,G. Laborde,F,9,181,848,M,149730,EUR,767923200,F,24,24,False,33.0,29.0,,,7.0,7.0,33.0,3.0,,69.0,60.0,7.3,14.0,1.0177,1.0446,0.102757,6,,,,,24.0,7.0,2.0,1.0,1.0,6.0,5.0,1.0,,4.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,,3.0,,,1.0,1.0,1.0,,,,,,,,
10389798,home,Nice,Terem Moffi,terem-moffi,T. Moffi,F,29,188,3115,M,894396,EUR,927590400,F,9,9,False,15.0,12.0,,,4.0,4.0,11.0,2.0,,79.0,21.0,6.5,5.0,0.1297,0.0,0.0713795,1,,,,,8.0,,,1.0,2.0,3.0,5.0,,,3.0,3.0,,,,,,2.0,,1.0,2.0,,,,,,,1.0,,,,,,,,,,
