match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_aerialLost,stat_outfielderBlock,stat_unsuccessfulTouch,stat_interceptionWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceCreated,stat_bigChanceMissed,stat_keyPass,captain,player_lastName,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_hitWoodwork
14083101,home,Real Sociedad,Álex Remiro,alex-remiro,Á. Remiro,G,1,191,2805,M,791773,EUR,796003200,G,1,1,False,51.0,38.0,24.0,12.0,0.0,25.0,29.0,13.0,22.0,1.0,10.0,1.0,1.0,2.0,90.0,58.0,6.9,13.0,0.00392438,0.3999,0,-1.359,0.11,0.01,-0.19,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083101,home,Real Sociedad,Jon Aramburu,jon-aramburu,J. Aramburu,D,2,176,6479,M,1116388,EUR,1027382400,D,2,2,False,28.0,21.0,3.0,2.0,0.0,12.0,15.0,9.0,13.0,2.0,2.0,,,,90.0,51.0,6.8,11.0,0.0513077,,0,,0.21,0.01,-0.33,,Jon Aramburu,ElBufalo,3.0,1.0,3.0,2.0,8.0,1.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14083101,home,Real Sociedad,Jon Martin,vicente-jon-martin,J. Martin,D,31,185,1209,M,1466116,EUR,1145750400,D,31,31,False,47.0,38.0,3.0,,0.0,28.0,30.0,10.0,17.0,3.0,3.0,,,,90.0,53.0,6.2,10.0,0.00384757,,0,,0.09,0.1,-0.3,,Jon Martín,,,,2.0,2.0,2.0,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
14083101,home,Real Sociedad,Igor Zubeldia,igor-zubeldia,I. Zubeldia,D,5,180,881,M,838159,EUR,859680000,D,5,5,False,54.0,43.0,5.0,1.0,0.0,38.0,41.0,5.0,13.0,9.0,2.0,,,,90.0,67.0,6.0,12.0,0.00143355,,0,,0.0,0.04,-0.27,,,,,,,3.0,,1.0,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
14083101,home,Real Sociedad,Sergio Gómez,sergio-gomez,S. Gómez,M,17,171,4445,M,855835,EUR,968025600,D,17,17,False,39.0,28.0,4.0,1.0,0.0,13.0,16.0,15.0,23.0,6.0,3.0,,,,90.0,82.0,7.1,22.0,0.0238154,,1,,0.17,0.07,-0.2,,,sergiogm_10,5.0,,3.0,5.0,11.0,1.0,7.0,4.0,,2.0,2.0,,2.0,2.0,1.0,1.0,1.0,0.0567,0.0,,,,,,,,,,,,,,
14083101,home,Real Sociedad,Jon Gorrotxategi,jon-gorrotxategi,J. Gorrotxategi,M,4,177,607,M,1216309,EUR,1012608000,M,4,4,False,33.0,26.0,4.0,1.0,0.0,19.0,22.0,7.0,11.0,3.0,3.0,,,,90.0,45.0,7.2,11.0,0.00242614,,2,,-0.11,0.12,0.0,,Jon Gorrotxategi,,,,4.0,11.0,5.0,,1.0,,,5.0,3.0,1.0,,,1.0,,1.0,0.2661,0.5,2.0,1.0,1.0,0.7631,,,,,,,,,,
14083101,home,Real Sociedad,Gonçalo Guedes,goncalo-guedes,G. Guedes,F,11,179,3550,M,280979,EUR,849225600,M,11,11,False,9.0,7.0,1.0,,0.0,1.0,1.0,6.0,8.0,,2.0,,,,63.0,17.0,7.8,4.0,0.00678017,,2,,-0.1,0.18,-0.06,,,,1.0,,1.0,2.0,5.0,,,,3.0,1.0,,,,,2.0,1.0,,0.2359,0.54,,1.0,1.0,0.8397,1.0,1.0,,,,,,,,
14083101,home,Real Sociedad,Brais Méndez,brais-mendez,B. Méndez,M,23,184,2013,M,845385,EUR,852595200,M,23,23,False,24.0,18.0,3.0,2.0,1.0,7.0,8.0,11.0,16.0,,2.0,,,,63.0,40.0,7.2,12.0,0.0317092,,2,,0.26,0.12,-0.11,,,,2.0,2.0,3.0,8.0,4.0,,,,1.0,4.0,1.0,,3.0,2.0,3.0,,,0.9181,0.26,,2.0,1.0,1.2201,,,1.0,1.0,2.0,,,,,
14083101,home,Real Sociedad,Carlos Soler,carlos-soler,C. Soler,M,18,180,3724,M,832427,EUR,852163200,M,18,18,False,13.0,10.0,1.0,1.0,0.0,6.0,7.0,4.0,6.0,,,,,,82.0,17.0,6.8,5.0,0.00229089,,1,,-0.02,0.04,-0.15,,,Carlos10Soler,1.0,,1.0,3.0,2.0,1.0,1.0,1.0,,,2.0,,1.0,,,,,0.0202,0.31,,1.0,,0.473,,,,,,,,,,
14083101,home,Real Sociedad,Ander Barrenetxea,ander-barrenetxea,A. Barrenetxea,F,7,174,1646,M,966862,EUR,1009411200,M,7,7,False,9.0,6.0,3.0,2.0,0.0,2.0,3.0,4.0,6.0,,2.0,,,,41.0,24.0,6.5,11.0,0.0155601,,0,,0.33,-0.07,-0.12,,,,1.0,1.0,,8.0,3.0,,1.0,,,2.0,2.0,,4.0,,5.0,2.0,,,,1.0,,,,,,,,,,,,,
