match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,isHome,incidentClass,player_id,player_name,injury,playerName,reason,rescinded,length,from
10390095,FT,7.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
10390095,,7.0,1.0,,89,,,2,,,goal,167751508.0,True,regular,352296.0,Breel Embolo,,,,,,
10390095,,,,,71,,,20,,,substitution,121512331.0,True,regular,,,False,,,,,
10390095,,,,,71,,,20,,,substitution,121512332.0,True,regular,,,False,,,,,
10390095,,,,,64,,,27,,,substitution,121512319.0,False,regular,,,False,,,,,
10390095,,,,,64,,,27,,,substitution,121512320.0,False,regular,,,False,,,,,
10390095,,6.0,1.0,,63,,,28,,,goal,167750642.0,True,regular,352296.0,Breel Embolo,,,,,,
10390095,,,,,61,,,30,,,substitution,121512307.0,True,regular,,,False,,,,,
10390095,,,,,61,,,30,,,substitution,121512306.0,True,regular,,,False,,,,,
10390095,,,,,46,,,45,,,card,120591569.0,False,yellow,14142.0,Thomas Mangani,,Thomas Mangani,Foul,False,,
10390095,,,,,46,,,45,,,substitution,121512255.0,False,regular,,,False,,,,,
10390095,,,,,46,,,45,,,substitution,121512254.0,False,regular,,,False,,,,,
10390095,,,,,46,,,45,,,substitution,121512253.0,True,regular,,,False,,,,,
10390095,HT,5.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
10390095,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,,2.0,
10390095,,5.0,1.0,,35,,,11,,,goal,167749122.0,True,penalty,119192.0,Wissam Ben Yedder,,,,,,penalty
10390095,,,,,33,,,13,,,card,120591457.0,False,yellow,359208.0,Ismaël Diallo,,Ismaël Diallo,Foul,False,,
10390095,,4.0,1.0,,28,,,18,,,goal,167748925.0,True,regular,119192.0,Wissam Ben Yedder,,,,,,
10390095,,3.0,1.0,,21,,,25,,,goal,167748738.0,True,regular,119192.0,Wissam Ben Yedder,,,,,,
10390095,,,,,20,,,26,,,card,120591412.0,True,yellow,1008849.0,Mohamed Camara,,Mohamed Camara,Foul,False,,
10390095,,2.0,1.0,,11,,,35,,,goal,167748480.0,False,regular,901827.0,Youcef Belaïli,,,,,,
10390095,,2.0,0.0,,6,,,40,,,goal,167748366.0,True,regular,873534.0,Krépin Diatta,,,,,,
10390095,,1.0,0.0,,2,,,44,,,goal,167748175.0,True,regular,827243.0,Axel Disasi,,,,,,
