match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_totalContest,stat_wonContest,stat_totalCross,stat_dispossessed,stat_unsuccessfulTouch,stat_accurateCross,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_wasFouled,stat_keyPass,stat_shotValueNormalized,captain,stat_blockedScoringAttempt,player_sofascoreId,stat_shotOffTarget,stat_challengeLost,stat_goals,stat_totalOffside,player_firstName,player_lastName,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_keeperSaveValue,stat_goalkeeperValueNormalized,stat_ownGoals,stat_hitWoodwork
14425843,home,Fulham,Benjamin Lecomte,benjamin-lecomte,B. Lecomte,G,23,186,335,M,123207,EUR,672624000,G,23,23,False,53.0,45.0,13.0,6.0,0.0,44.0,46.0,1.0,7.0,1.0,5.0,1.0,90.0,58.0,6.7,9.0,0,0.08,0.03,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14425843,home,Fulham,Timothy Castagne,timothy-castagne,T. Castagne,D,21,185,2313,M,329417,EUR,818121600,D,21,21,False,57.0,48.0,2.0,2.0,0.0,35.0,40.0,13.0,17.0,1.0,2.0,,70.0,72.0,6.9,9.0,0,0.03,0.02,0.25,3.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14425843,home,Fulham,Issa Diop,issa-diop,I. Diop,D,31,194,838,M,825719,EUR,852768000,D,31,31,False,85.0,81.0,8.0,5.0,0.0,71.0,72.0,10.0,13.0,7.0,3.0,,90.0,97.0,7.4,4.0,0,0.1,0.05,0.28,1.0,4.0,1.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14425843,home,Fulham,Jorge Cuenca,jorge-cuenca,J. Cuenca,D,15,190,660,M,868715,EUR,942796800,D,15,15,False,88.0,80.0,8.0,4.0,0.0,68.0,69.0,12.0,19.0,6.0,,,90.0,104.0,7.5,8.0,0,0.12,0.06,0.35,,1.0,1.0,6.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14425843,home,Fulham,Ryan Sessegnon,ryan-sessegnon,R. Sessegnon,D,30,178,1735,M,836698,EUR,958608000,D,30,30,False,24.0,24.0,,,0.0,12.0,12.0,12.0,12.0,4.0,,,64.0,45.0,6.5,9.0,0,-0.14,0.03,0.19,2.0,,6.0,2.0,,1.0,2.0,2.0,,3.0,,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14425843,home,Fulham,Harrison Reed,harrison-reed,H. Reed,M,6,176,357,M,365802,EUR,791164800,M,6,6,False,70.0,65.0,1.0,1.0,1.0,36.0,38.0,29.0,32.0,4.0,3.0,,90.0,82.0,7.5,6.0,1,0.32,0.03,0.23,,,1.0,3.0,,,2.0,1.0,1.0,,,2.0,,,1.0,1.0,1.0,1.0,1.0,0.01,,,,,,,,,,,,,,,,,
14425843,home,Fulham,Tom Cairney,tom-cairney,T. Cairney,M,10,185,646,M,82566,EUR,664329600,M,10,10,False,92.0,87.0,6.0,3.0,0.0,49.0,49.0,38.0,43.0,2.0,5.0,,90.0,99.0,7.5,5.0,1,0.11,0.53,0.18,,,1.0,3.0,,,,,1.0,1.0,1.0,,,,,,,2.0,2.0,-0.47,True,1.0,,,,,,,,,,,,,,,
14425843,home,Fulham,Adama Traoré,adama-traore,A. Traoré,F,17,178,12799,M,286165,EUR,822528000,M,11,11,False,26.0,21.0,,,0.0,8.0,10.0,13.0,16.0,3.0,8.0,,90.0,47.0,6.6,16.0,4,0.1,0.33,0.24,1.0,,5.0,3.0,,,2.0,2.0,1.0,,,2.0,3.0,4.0,,,2.0,1.0,,-0.55,,1.0,adamatrd,1.0,,,,,,,,,,,,,
14425843,home,Fulham,Harry Wilson,harry-wilson,H. Wilson,M,8,173,4930,M,355528,EUR,858988800,M,8,8,False,29.0,26.0,3.0,3.0,0.0,13.0,14.0,13.0,15.0,,1.0,,64.0,36.0,6.8,5.0,0,0.02,0.15,-0.01,,,,1.0,,1.0,1.0,,,,,1.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,
14425843,home,Fulham,Emile Smith Rowe,emile-smith-rowe,E. Smith Rowe,M,32,182,7267,M,867445,EUR,964742400,M,32,32,False,49.0,47.0,,,0.0,16.0,16.0,31.0,33.0,1.0,2.0,,87.0,58.0,6.8,5.0,2,0.26,0.28,0.15,,,4.0,2.0,,,1.0,1.0,1.0,2.0,1.0,,2.0,,,,,,1.0,-0.47,,2.0,esr,,,,,,,,,,,,,,
14425843,home,Fulham,Raúl Jiménez,raul-jimenez,R. Jiménez,F,7,189,17486,M,192442,EUR,673401600,F,7,7,False,13.0,9.0,1.0,1.0,0.0,4.0,5.0,5.0,8.0,,2.0,,69.0,21.0,7.5,10.0,1,-0.16,-0.25,-0.06,1.0,3.0,5.0,4.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,3.0,,,1.0,,,0.53,,,RJimenez9,,1.0,1.0,1.0,,,,,,,,,,
