match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_errorLeadToAGoal,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,stat_totalCross,stat_aerialWon,stat_duelLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialLost,stat_dispossessed,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_challengeLost,captain,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_bigChanceMissed,stat_totalOffside,stat_blockedScoringAttempt,stat_accurateCross,player_firstName,player_lastName,stat_goalAssist,stat_goals,player_sofascoreId
10433847,home,Sivasspor,Ali Şaşal Vural,ali-sasal-vural,A. Ş. Vural,G,187,62,M,94540,EUR,647568000,G,35,35,False,12.0,9.0,6.0,3.0,7.0,7.0,2.0,5.0,1.0,3.0,1.0,1.0,1.0,2.0,45.0,17.0,5.5,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433847,home,Sivasspor,Murat Paluli,murat-paluli,M. Paluli,D,175,36,M,893014,EUR,776390400,D,2,2,False,38.0,31.0,1.0,,17.0,19.0,14.0,21.0,4.0,4.0,,,,,75.0,54.0,6.4,11.0,0,7,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10433847,home,Sivasspor,Aaron Appindangoyé,aaron-appindangoye,A. Appindangoyé,D,185,334,M,785850,EUR,698544000,D,4,4,False,52.0,41.0,16.0,6.0,29.0,31.0,12.0,21.0,3.0,4.0,,1.0,,,90.0,62.0,6.5,12.0,1,2,,,4.0,,,1.0,2.0,1.0,,1.0,,2.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,
10433847,home,Sivasspor,Dimitris Goutas,dimitris-goutas,D. Goutas,D,189,261,M,257497,EUR,765417600,D,6,6,False,63.0,49.0,9.0,2.0,35.0,41.0,14.0,22.0,10.0,10.0,,2.0,,,90.0,80.0,6.6,17.0,1,6,,3.0,5.0,,,3.0,5.0,4.0,1.0,,,3.0,,1.0,,1.0,2.0,,,,,,,,,,,,
10433847,home,Sivasspor,Ziya Erdal,ziya-erdal,Z. Erdal,D,182,28,M,138312,EUR,568339200,D,58,58,False,19.0,14.0,2.0,1.0,9.0,9.0,5.0,10.0,2.0,2.0,,,,,45.0,33.0,6.2,7.0,0,,,,3.0,,,,2.0,1.0,,2.0,,,,,,3.0,1.0,True,,,,,,,,,,,
10433847,home,Sivasspor,Hakan Arslan,hakan-arslan,H. Arslan,M,186,42,M,60646,EUR,585187200,M,37,37,False,20.0,11.0,2.0,1.0,7.0,10.0,4.0,10.0,5.0,4.0,,,,,45.0,22.0,6.1,9.0,0,,,5.0,4.0,,,,,,,,1.0,1.0,,,,,3.0,,,,,,,,,,,,
10433847,home,Sivasspor,Erdoğan Yeşilyurt,erdogan-yesilyurt,E. Yeşilyurt,D,178,77,M,142541,EUR,752544000,M,17,17,False,36.0,25.0,3.0,1.0,7.0,15.0,18.0,22.0,,7.0,,,,,90.0,53.0,6.4,17.0,3,17,1.0,,2.0,1.0,,,,,1.0,1.0,,,,3.0,,,,,,,,,,,,,,,
10433847,home,Sivasspor,Charis Charisis,charis-charisis,C. Charisis,M,177,130,M,317297,EUR,789868800,M,15,15,False,28.0,24.0,3.0,1.0,18.0,20.0,6.0,9.0,9.0,6.0,,4.0,,,66.0,47.0,6.9,8.0,0,8,1.0,,6.0,3.0,2.0,,3.0,2.0,2.0,,1.0,3.0,,,2.0,,2.0,,,,,,,,,,,,
10433847,home,Sivasspor,Samu Sáiz,samu-saiz,S. Sáiz,M,174,123,M,99527,EUR,664502400,M,24,24,False,44.0,35.0,5.0,3.0,18.0,21.0,17.0,24.0,7.0,8.0,,2.0,,,90.0,63.0,6.9,18.0,1,,1.0,,5.0,7.0,4.0,,1.0,1.0,3.0,,2.0,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,
10433847,home,Sivasspor,Max Gradel,max-gradel,M. Gradel,M,177,1287,M,16590,EUR,565228800,M,7,7,False,22.0,15.0,2.0,1.0,6.0,7.0,9.0,20.0,6.0,7.0,,3.0,,,90.0,43.0,6.5,17.0,3,,5.0,,5.0,1.0,,,3.0,2.0,2.0,1.0,1.0,,1.0,1.0,,1.0,2.0,,,2.0,1.0,3.0,,,,,,,
10433847,home,Sivasspor,Mustapha Yatabaré,mustapha-yatabare,M. Yatabaré,F,186,158,M,51558,EUR,507081600,F,9,9,False,24.0,18.0,,,9.0,12.0,9.0,12.0,4.0,,,1.0,,,90.0,31.0,6.5,9.0,0,9,,2.0,7.0,1.0,1.0,,,,1.0,2.0,1.0,2.0,1.0,,,,2.0,,,,,4.0,,,,,,,
