match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalClearance,stat_keyPass,stat_totalOffside,stat_shotOffTarget,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_goals,captain,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_goodHighClaim,stat_punches,stat_outfielderBlock
11452955,home,Al-Ahli,Edouard Mendy,,,edouard-mendy,E. Mendy,G,16,195.0,19839,M,edou_mendy,845074,EUR,699408000,G,16,16,False,13.0,12.0,2.0,1.0,12.0,12.0,1.0,5.0,1.0,1.0,1.0,90.0,18.0,7.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11452955,home,Al-Ahli,Bassam Al-Hurayji,Mohammed Bassam Alhurayji,,bassam-al-hurayji,B. Al-Hurayji,D,66,175.0,126,M,,1085357,EUR,954288000,D,6,6,False,43.0,35.0,4.0,2.0,17.0,19.0,28.0,11.0,,,,87.0,63.0,7.1,14.0,0,20.0,4.0,2.0,1.0,1.0,7.0,6.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,
11452955,home,Al-Ahli,Merih Demiral,,,merih-demiral,M. Demiral,D,28,190.0,4099,M,merihdemiral,806968,EUR,889056000,D,28,28,False,80.0,70.0,7.0,4.0,26.0,31.0,50.0,8.0,,,,90.0,89.0,7.2,13.0,0,44.0,1.0,,1.0,6.0,4.0,8.0,1.0,,3.0,1.0,,1.0,1.0,,,,2.0,,,,,,,,,,,,,
11452955,home,Al-Ahli,Roger Ibañez,,,roger-ibanez,R. Ibañez,D,3,185.0,2314,M,,888949,EUR,911779200,D,3,3,False,73.0,67.0,5.0,4.0,34.0,37.0,36.0,11.0,,,,90.0,81.0,7.3,8.0,0,33.0,,,1.0,1.0,1.0,1.0,,,,,1.0,,,2.0,,1.0,2.0,1.0,,,,,,,,,,,,
11452955,home,Al-Ahli,Ezgjan Alioski,,,ezgjan-alioski,E. Alioski,D,7,173.0,797,M,,137060,EUR,697852800,D,11,11,False,47.0,43.0,1.0,1.0,11.0,12.0,42.0,4.0,,,,90.0,78.0,7.7,15.0,0,34.0,7.0,2.0,2.0,2.0,9.0,10.0,2.0,2.0,3.0,2.0,,4.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,,,,,,,,,,,
11452955,home,Al-Ahli,Ziyad Aljohani,Ziyad Aljohani,,ziyad-aljohani,Z. Aljohani,M,30,180.0,354,M,,1048372,EUR,1005436800,M,30,30,False,23.0,21.0,,,11.0,12.0,11.0,2.0,,,,45.0,29.0,6.8,3.0,2,10.0,,,,1.0,2.0,2.0,1.0,,,,,,,1.0,1.0,2.0,,,,1.0,1.0,,,,,,,,,
11452955,home,Al-Ahli,Franck Kessié,,,franck-kessie,F. Kessié,M,79,183.0,43381,M,franckkessie,359226,EUR,850953600,M,79,79,False,94.0,81.0,7.0,3.0,34.0,36.0,58.0,8.0,,,,90.0,115.0,8.6,16.0,3,47.0,,,,1.0,4.0,10.0,,1.0,3.0,2.0,2.0,5.0,5.0,,2.0,2.0,,1.0,,,2.0,1.0,1.0,,,,,,,
11452955,home,Al-Ahli,Riyad Mahrez,,,riyad-mahrez,R. Mahrez,M,7,179.0,70718,M,RMahrez,158213,EUR,667094400,M,7,7,False,43.0,36.0,5.0,3.0,8.0,8.0,38.0,2.0,,,,89.0,63.0,7.4,14.0,1,30.0,3.0,2.0,,,6.0,5.0,,4.0,5.0,4.0,,,,1.0,1.0,1.0,,2.0,,1.0,,,,,,,,,,
11452955,home,Al-Ahli,Sumaihan Al-Nabit,,,sumaihan-al-nabit,S. Al-Nabit,M,88,174.0,111,M,,893167,EUR,827884800,M,8,8,False,23.0,18.0,,,9.0,9.0,14.0,2.0,,,,87.0,35.0,6.8,9.0,2,9.0,,,,1.0,4.0,3.0,1.0,,2.0,1.0,,,,3.0,1.0,2.0,,,,1.0,1.0,,,,,,,,,
11452955,home,Al-Ahli,Allan Saint-Maximin,,,allan-saint-maximin,A. Saint-Maximin,F,9,173.0,12636,M,st_maximin,347010,EUR,858124800,M,97,97,False,44.0,37.0,2.0,,10.0,10.0,34.0,4.0,,,,90.0,65.0,6.8,18.0,2,27.0,,,,,6.0,5.0,,1.0,10.0,5.0,1.0,,,3.0,,,,1.0,,1.0,1.0,,,,,,,,,
