match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,stat_keyPass,captain,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_wasFouled,stat_expectedGoalsOnTarget,stat_totalCross,stat_challengeLost,stat_wonContest,stat_interceptionWon,stat_unsuccessfulTouch,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_goals,stat_errorLeadToAShot,stat_totalOffside
14053791,home,Sparta Rotterdam,Joël Drommel,,,joel-drommel,J. Drommel,G,1,189.0,376,M,610396,EUR,848102400,G,1,1,False,50.0,35.0,35.0,20.0,0.0,18.0,21.0,17.0,29.0,1.0,1.0,2.0,14.0,2.0,3.0,1.0,1.0,1.0,90.0,62.0,7.7,15.0,0.00725019,0.043,0,0.1246,0.22,-0.04,0.27,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053791,home,Sparta Rotterdam,Shurandy Sambo,,,shurandy-sambo,S. Sambo,D,12,174.0,235,M,916926,EUR,998179200,D,2,2,False,41.0,37.0,3.0,2.0,0.0,13.0,13.0,24.0,28.0,2.0,3.0,3.0,2.0,,,,,,90.0,55.0,6.9,7.0,0.0164897,,1,,0.17,0.13,0.2,,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0346,-0.39,,,,,,,,,,,,,,,,,,
14053791,home,Sparta Rotterdam,Marvin Young,Marvin,Young ,marvin-young,M. Young,D,3,182.0,187,M,1648759,EUR,1128211200,D,3,3,False,43.0,37.0,1.0,1.0,0.0,25.0,26.0,12.0,17.0,6.0,9.0,13.0,2.0,,,,,,90.0,65.0,7.7,6.0,0.00361154,,1,,-0.12,0.29,0.51,,,1.0,,,1.0,3.0,3.0,1.0,0.043,-0.21,1.0,,,,,,,,,,,,,,,,,
14053791,home,Sparta Rotterdam,Bruno Martins Indi,,,bruno-martins-indi,B. M. Indi,D,4,185.0,169,M,116947,EUR,697507200,D,4,4,False,47.0,40.0,9.0,4.0,0.0,28.0,30.0,12.0,17.0,4.0,4.0,10.0,5.0,,,,,,90.0,66.0,7.4,8.0,0.00257099,,1,,0.16,-0.01,0.68,,1.0,2.0,,1.0,,,,,0.0399,-0.28,,True,1.0,2.0,1.0,0.1709,,,,,,,,,,,,
14053791,home,Sparta Rotterdam,Teo Quintero,,,teo-quintero,T. Q. León,D,5,188.0,438,M,966299,EUR,920332800,D,5,5,False,36.0,32.0,4.0,3.0,0.0,17.0,19.0,15.0,17.0,4.0,8.0,8.0,2.0,,,,,,90.0,68.0,7.6,12.0,0.0151961,,0,,0.17,0.12,0.29,,,3.0,1.0,1.0,,2.0,1.0,1.0,,,,,,,1.0,,1.0,1.0,1.0,1.0,3.0,,,,,,,
14053791,home,Sparta Rotterdam,Julian Baas,,,julian-baas,J. Baas,M,16,184.0,147,M,1046143,EUR,1018915200,M,6,6,False,38.0,31.0,6.0,4.0,0.0,12.0,14.0,19.0,24.0,,2.0,1.0,6.0,,,,,,90.0,51.0,7.1,10.0,0.203039,,1,,0.33,0.15,-0.01,,2.0,4.0,1.0,,,1.0,,,0.0267,-0.06,1.0,,1.0,,1.0,0.0588,5.0,1.0,,1.0,,3.0,,,,,,
14053791,home,Sparta Rotterdam,Pelle Clement,,,pelle-clement,P. Clement,M,6,177.0,70,M,795135,EUR,832464000,M,8,8,False,26.0,22.0,2.0,2.0,0.0,10.0,11.0,12.0,15.0,,2.0,1.0,3.0,,,,,,76.0,36.0,7.0,5.0,0.0112545,,0,,0.07,0.07,0.31,,1.0,4.0,,,,1.0,,1.0,,,,,,2.0,1.0,,,2.0,,,1.0,,,,,,,
14053791,home,Sparta Rotterdam,Mitchell van Bergen,,,mitchell-van-bergen,M. v. Bergen,F,7,170.0,248,M,827662,EUR,935712000,M,7,7,False,27.0,21.0,4.0,1.0,0.0,10.0,13.0,11.0,14.0,,4.0,1.0,6.0,,,,,,90.0,51.0,7.7,12.0,0.421966,,2,,0.5,0.4,0.21,,,3.0,,5.0,1.0,,,,0.0656,-0.04,2.0,,,,,,7.0,2.0,4.0,,,3.0,2.0,1.0,,,,
14053791,home,Sparta Rotterdam,Lance Duijvestijn,,,lance-duijvestijn,L. Duijvestijn,M,70,179.0,148,M,946505,EUR,916358400,M,10,10,False,30.0,23.0,,,0.0,9.0,11.0,14.0,19.0,,6.0,2.0,8.0,,,,,,89.0,44.0,7.2,9.0,0.157792,,2,,0.09,0.3,0.26,,,3.0,1.0,1.0,1.0,3.0,2.0,1.0,0.144,-0.29,1.0,,1.0,,2.0,0.051,,1.0,1.0,,1.0,,,,1.0,,,
14053791,home,Sparta Rotterdam,Ayoub Oufkir,Ayoub,Oufkir,ayoub-oufkir,A. Oufkir,M,24,170.0,550,M,1648756,EUR,1136332800,M,11,11,False,18.0,12.0,1.0,,1.0,2.0,3.0,10.0,15.0,,1.0,1.0,2.0,,,,,,76.0,33.0,6.5,15.0,0.00605414,,4,,-0.67,0.59,0.19,,1.0,5.0,,2.0,1.0,1.0,1.0,2.0,0.2788,-0.13,1.0,,2.0,,,0.3618,4.0,,,,3.0,,1.0,1.0,1.0,,,
