match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_shotOffTarget,stat_bigChanceMissed,captain,stat_hitWoodwork,stat_totalOffside,stat_goodHighClaim,stat_errorLeadToAShot
14131917,home,Famalicão,Simon Elisor,elisor-simon,S. Elisor,F,12,186,169,M,1049526,EUR,932515200,F,12,12,False,14.0,14.0,,,0.0,3.0,3.0,11.0,11.0,,5.0,,,,,,79.0,28.0,7.2,5.0,0.374615,,2,,0.36,0.34,0.13,,4.0,4.0,,2.0,,,,1.0,,1.0,1.0,1.0,3.0,1.0,0.2614,,3.0,-0.51,1.0,,,,,2.0,,1.0,1.0,,,,1.0,,
14131917,home,Famalicão,Gustavo García,gustavo-garcia,G. García,D,2,175,678,M,1002443,EUR,1010102400,D,2,2,True,24.0,20.0,2.0,2.0,0.0,8.0,8.0,12.0,16.0,1.0,2.0,,,,,,45.0,41.0,7.2,13.0,0.0438619,,0,,0.25,-0.09,0.2,,3.0,5.0,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,,,1.0,,2.0,2.0,,,,5.0,1.0,,,,,,,,
14131917,home,Famalicão,Antoine Joujou,joujou-antoine,A. Joujou,F,77,189,199,M,1463265,EUR,1047427200,F,77,77,True,15.0,13.0,,,0.0,4.0,5.0,9.0,10.0,,7.0,,,,,,26.0,26.0,6.8,8.0,0.151765,,0,,0.32,0.04,0.19,,4.0,1.0,,2.0,2.0,,,,,,,,1.0,,,,1.0,,,,,Antoine Joujou,,2.0,,,,,,,,,
14131917,home,Famalicão,Otar Mamageishvili,otar-mamageishvili,O. Mamageishvili,M,15,180,223,M,1006067,EUR,1042588800,M,15,15,True,5.0,2.0,1.0,,0.0,1.0,2.0,1.0,3.0,,,,,,,,11.0,14.0,6.5,8.0,0.00210892,,0,,-0.06,0.04,-0.01,,3.0,1.0,,,1.0,,,,,1.0,1.0,2.0,,,,,,,2.0,,,,,2.0,,,,,,,,,
14131917,home,Famalicão,Umar Abubakar,umar-abubakar,U. Abubakar,F,9,190,169,M,2194737,EUR,1139961600,F,9,9,True,1.0,,1.0,,0.0,,,,1.0,,1.0,,,,,,11.0,4.0,6.3,3.0,,,1,,-0.01,0.09,0.16,,1.0,1.0,,,1.0,,,,,,,1.0,,,0.1074,,,-0.36,,1.0,,Umar Abubakar,,,,,1.0,,,,1.0,,
14131917,home,Famalicão,Ivan Zlobin,ivan-zlobin,I. Zlobin,G,1,191,247,M,788203,EUR,857692800,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131917,home,Famalicão,Ibrahima Ba,ibrahima-ba,I. Ba,D,55,190,178,M,1595506,EUR,1117065600,D,55,55,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibrahima Ba,,,,,,,,,,,
14131917,home,Famalicão,Pedro Santos,pedro-santos,P. Santos,M,80,178,297,M,1120040,EUR,1044835200,F,80,80,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131917,home,Famalicão,Rodrigo Ribeiro,rodrigo-ribeiro,R. Ribeiro,M,19,175,39,M,1479513,EUR,1148601600,M,19,19,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131917,home,Famalicão,Marcos Peña,pena-marcos,M. Peña,M,8,180,49,M,1493216,EUR,1106352000,M,8,8,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Marcos Peña,,,,,,,,,,,
14131917,away,Rio Ave,Cezary Miszta,cezary-miszta,C. Miszta,G,1,192,662,M,938292,EUR,1004400000,G,1,1,False,43.0,31.0,19.0,8.0,0.0,26.0,30.0,5.0,13.0,3.0,5.0,5.0,5.0,3.0,,,90.0,56.0,8.4,12.0,0.00177583,0.7586,0,1.3558,0.1,0.01,0.31,0.57,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,
14131917,away,Rio Ave,Francisco Petrasso,petrasso-francisco,F. Petrasso,D,23,191,153,M,1467139,EUR,1014854400,D,23,23,False,46.0,36.0,13.0,5.0,0.0,32.0,36.0,4.0,10.0,5.0,3.0,,,,,,90.0,54.0,7.2,10.0,0.00284089,,0,,0.15,0.04,0.29,,2.0,4.0,,,1.0,1.0,,,,2.0,,,,2.0,,,,,,1.0,,Francisco Petrasso,,,,,,,,,,,
14131917,away,Rio Ave,Julien Lomboto,lomboto-julien,J. Lomboto,D,63,191,40,M,1478890,EUR,1021248000,D,63,63,False,33.0,30.0,3.0,1.0,0.0,29.0,30.0,1.0,3.0,9.0,1.0,,,,,,59.0,44.0,7.0,3.0,0.00223648,,0,,0.13,0.01,0.55,,3.0,2.0,,,,,,,1.0,,,,,2.0,,,1.0,,1.0,2.0,1.0,,,,,,,,,,,,
