match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,player_sofascoreId,stat_aerialLost,stat_aerialWon,stat_challengeLost,stat_outfielderBlock,captain,stat_shotOffTarget,stat_goalAssist,stat_bigChanceCreated,stat_keyPass,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_errorLeadToAShot,stat_totalOffside
10389950,home,Stade Brestois,Marco Bizot,marco-bizot,M. Bizot,G,40,194,898,M,100390,EUR,668563200,G,40,40,False,20.0,11.0,14.0,5.0,7.0,9.0,4.0,11.0,2.0,9.0,1.0,2.0,3.0,90.0,31.0,6.5,9.0,0.0,0.0,0.0234923,0,-0.1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389950,home,Stade Brestois,Noah Fadiga,fadiga-noah,N. Fadiga,M,27,187,699,M,960437,EUR,944179200,D,99,99,False,40.0,32.0,4.0,,16.0,18.0,18.0,24.0,1.0,4.0,,,,83.0,73.0,6.8,13.0,0.0822,0.0,0.207786,1,,,,2.0,2.0,5.0,7.0,3.0,1.0,3.0,4.0,2.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,
10389950,home,Stade Brestois,Achraf Dari,achraf-dari,A. Dari,D,15,190,8607,M,964795,EUR,925948800,D,4,4,False,74.0,66.0,11.0,8.0,47.0,48.0,19.0,26.0,3.0,6.0,,,,90.0,80.0,6.7,9.0,0.0,0.0,0.00855637,0,,,,,,3.0,3.0,,,,,,1.0,1.0,1.0,dari_achraf,1.0,2.0,1.0,1.0,,,,,,,,,,,
10389950,home,Stade Brestois,Brendan Chardonnet,brendan-chardonnet,B. Chardonnet,D,5,181,234,M,328035,EUR,788054400,D,5,5,False,63.0,50.0,8.0,2.0,38.0,41.0,12.0,22.0,4.0,3.0,,,,90.0,76.0,6.5,14.0,0.0126,0.0,0.0646373,1,,,,,,4.0,7.0,,,1.0,1.0,,1.0,1.0,2.0,,,5.0,2.0,1.0,True,1.0,,,,,,,,,
10389950,home,Stade Brestois,Jere Uronen,jere-uronen,J. Uronen,D,21,177,226,M,138463,EUR,774057600,D,21,21,False,39.0,30.0,4.0,1.0,13.0,15.0,20.0,29.0,1.0,4.0,,,,90.0,69.0,7.3,13.0,0.031,0.0,0.616675,1,,Jere,Uronen,5.0,3.0,3.0,6.0,,1.0,2.0,3.0,1.0,1.0,3.0,,,2.0,,1.0,,,,1.0,1.0,1.0,,,,,,
10389950,home,Stade Brestois,Romain Del Castillo,romain-del-castillo,R. Del Castillo,M,10,172,689,M,825681,EUR,828057600,M,10,10,False,24.0,20.0,2.0,2.0,6.0,6.0,18.0,29.0,,4.0,,,,83.0,56.0,8.3,17.0,0.2276,0.7143,0.284507,2,,,,11.0,4.0,6.0,8.0,1.0,,,3.0,2.0,4.0,1.0,2.0,,2.0,,1.0,1.0,,,,,3.0,4.0,4.0,2.0,1.0,,
10389950,home,Stade Brestois,Mahdi Camara,camara-mahdi,M. Camara,M,45,178,964,M,916041,EUR,899164800,M,45,45,False,29.0,24.0,,,17.0,18.0,7.0,11.0,1.0,10.0,,,,67.0,39.0,6.7,6.0,0.0,0.0,0.00468283,0,,,,,,4.0,3.0,1.0,,1.0,2.0,1.0,,1.0,,,3.0,,,,,,,,,,,,,,
10389950,home,Stade Brestois,Haris Belkebla,haris-belkebla,H. Belkebla,M,93,177,1877,M,580642,EUR,759715200,M,7,7,False,59.0,48.0,1.0,1.0,22.0,25.0,26.0,35.0,1.0,11.0,,,,90.0,72.0,7.0,13.0,0.0,0.0,0.0363291,0,,,,1.0,,6.0,5.0,,,,5.0,3.0,1.0,,3.0,,1.0,,2.0,,,,,,2.0,,,,,,
10389950,home,Stade Brestois,Franck Honorat,franck-honorat,F. Honorat,M,9,180,724,M,280453,EUR,839721600,M,9,9,False,20.0,11.0,1.0,,4.0,5.0,7.0,17.0,,5.0,,,,67.0,32.0,6.2,15.0,0.0,0.0,0.0020457,0,,,,2.0,,6.0,2.0,2.0,,1.0,1.0,,2.0,,2.0,,2.0,1.0,,,,,,,1.0,,,,,,
10389950,home,Stade Brestois,Jérémy Le Douaron,jeremy-le-douaron,J. Le Douaron,F,21,189,290,M,1047296,EUR,893116800,F,22,22,False,7.0,5.0,,,2.0,2.0,3.0,5.0,1.0,,,,,90.0,14.0,6.7,3.0,0.2899,0.0281,0.00366365,3,,,,,,10.0,2.0,,,1.0,1.0,1.0,,,1.0,,9.0,1.0,,,,2.0,,,,1.0,,1.0,,,
10389950,home,Stade Brestois,Islam Slimani,islam-slimani,I. Slimani,F,19,188,7483,M,238708,EUR,582595200,F,13,13,False,28.0,19.0,,,6.0,9.0,13.0,19.0,1.0,1.0,,,,77.0,38.0,6.4,15.0,0.1423,0.0,0.172976,1,,,,,,3.0,2.0,1.0,,,,,5.0,1.0,1.0,islamslimani09,1.0,1.0,,,,1.0,,,,,,,,,
10389950,home,Stade Brestois,Hugo Magnetti,hugo-magnetti,H. Magnetti,M,8,173,194,M,861324,EUR,896486400,M,8,8,True,13.0,9.0,2.0,,4.0,6.0,5.0,10.0,,3.0,,,,23.0,20.0,6.9,7.0,0.0,0.0,0.00346593,0,,,,3.0,,,3.0,,,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,
