match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,captain,stat_shotOffTarget,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_wasFouled,stat_totalContest,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_wonContest,stat_bigChanceMissed,stat_hitWoodwork,player_sofascoreId
10382150,home,RKC Waalwijk,Etienne Vaessen,etienne-vaessen,E. Vaessen,G,1,187,465,M,809408,EUR,806716800,G,1,1,False,35.0,22.0,23.0,10.0,14.0,16.0,8.0,19.0,1.0,1.0,1.0,14.0,7.0,9.0,1.0,90.0,50.0,9.5,14.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10382150,home,RKC Waalwijk,Julian Lelieveld,julian-lelieveld,J. Lelieveld,D,2,184,104,M,798179,EUR,880329600,D,2,2,False,26.0,21.0,1.0,1.0,6.0,7.0,16.0,22.0,1.0,2.0,1.0,6.0,,,,69.0,50.0,7.0,9.0,0,,,3.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,
10382150,home,RKC Waalwijk,Shawn Adewoye,shawn-adewoye,S. Adewoye,D,4,183,156,M,989586,EUR,962236800,D,4,4,False,52.0,46.0,9.0,5.0,31.0,33.0,15.0,19.0,3.0,7.0,3.0,11.0,,,,90.0,71.0,7.9,8.0,1,,,,,2.0,4.0,,,1.0,2.0,4.0,3.0,True,1.0,2.0,2.0,1.0,,,,,,,,,
10382150,home,RKC Waalwijk,Dario Van Den Buijs,dario-van-den-buijs,D. V. D. Buijs,D,33,188,65,M,783468,EUR,810864000,D,24,24,False,43.0,34.0,9.0,3.0,21.0,22.0,14.0,24.0,2.0,7.0,3.0,7.0,,,,90.0,59.0,7.7,11.0,0,,,3.0,1.0,,,,,,2.0,3.0,2.0,,,,,,2.0,,,,,,,,
10382150,home,RKC Waalwijk,Lars Nieuwpoort,lars-nieuwpoort,L. Nieuwpoort,D,,189,9,,339893,EUR,783388800,D,15,15,False,21.0,20.0,3.0,3.0,14.0,15.0,6.0,6.0,,1.0,2.0,3.0,,,,90.0,32.0,7.1,3.0,0,,,,,2.0,2.0,,,,2.0,1.0,1.0,,,2.0,,,,,,,,,,,
10382150,home,RKC Waalwijk,Thierry Lutonda,thierry-lutonda,T. Lutonda,D,5,167,113,M,867246,EUR,972604800,D,5,5,False,33.0,23.0,2.0,1.0,11.0,17.0,12.0,17.0,1.0,5.0,2.0,7.0,,,,90.0,55.0,6.5,19.0,0,,,1.0,,,8.0,2.0,2.0,,,3.0,2.0,,,1.0,1.0,1.0,1.0,3.0,,,,,,,
10382150,home,RKC Waalwijk,Yassin Oukili,oukili-yassin,Y. Oukili,M,5,195,495,M,1010846,EUR,978480000,M,33,33,False,32.0,23.0,5.0,3.0,10.0,12.0,13.0,20.0,1.0,4.0,,9.0,,,,87.0,43.0,7.0,13.0,1,,,,,1.0,4.0,,,,2.0,3.0,1.0,,,4.0,3.0,1.0,,,1.0,,,,,,
10382150,home,RKC Waalwijk,Vurnon Anita,vurnon-anita,V. Anita,M,,166,66,M,15007,EUR,607651200,M,6,6,False,29.0,25.0,1.0,,10.0,11.0,15.0,18.0,,1.0,3.0,6.0,,,,90.0,41.0,6.7,6.0,0,,,,,,3.0,2.0,,,1.0,1.0,,,,2.0,1.0,1.0,,,,,,,,,
10382150,home,RKC Waalwijk,Pelle Clement,pelle-clement,P. Clement,M,6,177,70,M,795135,EUR,832464000,M,14,14,False,34.0,29.0,1.0,,10.0,10.0,19.0,24.0,1.0,2.0,,1.0,,,,87.0,40.0,6.1,10.0,0,,,,,1.0,7.0,1.0,2.0,,,,,,,1.0,1.0,,1.0,2.0,,,,,,,
10382150,home,RKC Waalwijk,Mika Biereth,mika-biereth,M. Biereth,F,14,187,5311,M,1083007,EUR,1044662400,F,9,9,False,14.0,10.0,,,4.0,4.0,6.0,12.0,1.0,3.0,,3.0,,,,70.0,31.0,6.8,14.0,1,Mika Biereth,,2.0,,1.0,4.0,1.0,1.0,,,,,,,6.0,1.0,1.0,2.0,1.0,,1.0,1.0,,,,
