match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_keyPass,stat_outfielderBlock,stat_fouls,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wasFouled,stat_onTargetScoringAttempt,captain,player_lastName,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalOffside,stat_hitWoodwork
11453182,home,Al-Riyadh,Martín Campaña,martin-campana,M. Campaña,G,25,186.0,179,M,243045,EUR,612403200,G,25,25,False,29.0,13.0,21.0,5.0,0.0,9.0,10.0,4.0,19.0,1.0,1.0,6.0,1.0,1.0,1.0,3.0,4.0,90.0,39.0,7.5,16.0,0,,,,,,,,,,,,,,,,,,,,,,,,
11453182,home,Al-Riyadh,Hussain Al-Nuweqi,hussain-al-nuweqi,H. Al-Nuweqi,D,27,170.0,14,M,1525073,EUR,817948800,D,27,27,False,33.0,21.0,5.0,2.0,0.0,6.0,12.0,16.0,23.0,5.0,2.0,3.0,3.0,2.0,,,,90.0,55.0,7.1,16.0,0,Hussain Al-Nuweqi,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
11453182,home,Al-Riyadh,Ahmad Asiri,ahmad-asiri,A. Asiri,D,13,179.0,31,M,350060,EUR,690076800,D,29,29,False,34.0,25.0,8.0,,0.0,23.0,27.0,2.0,7.0,,3.0,2.0,,,,,,90.0,41.0,6.7,9.0,0,,,,1.0,,2.0,,,,,,,1.0,1.0,,,,,,,,,,
11453182,home,Al-Riyadh,Mohammed Al Shwirekh,mohammed-al-shwirekh,M. A. Shwirekh,D,2,179.0,63,M,1519331,EUR,883612800,D,4,4,False,32.0,26.0,5.0,3.0,0.0,19.0,22.0,7.0,10.0,2.0,5.0,3.0,,,,,,90.0,42.0,6.7,7.0,0,Mohammed Al Shwirekh,,,2.0,1.0,4.0,,,,,,,,2.0,1.0,1.0,2.0,,,,,,,
11453182,home,Al-Riyadh,Abdulelah Al Khaibari,abdulelah-al-khaibari,A. A. Khaibari,D,80,174.0,142,M,1519328,EUR,864259200,D,8,8,False,30.0,26.0,4.0,3.0,0.0,11.0,15.0,15.0,17.0,7.0,,1.0,5.0,3.0,,,,90.0,59.0,7.1,13.0,1,Abdulelah Al Khaibari,2.0,,1.0,,8.0,2.0,2.0,3.0,1.0,,,,1.0,,,1.0,1.0,,,,,,
11453182,home,Al-Riyadh,Yahia Al-Shehri,yahia-al-shehri,Y. A. Shehri,M,88,164.0,76,M,196396,EUR,646358400,M,88,88,False,35.0,33.0,,,0.0,13.0,14.0,20.0,27.0,4.0,1.0,5.0,2.0,1.0,,,,89.0,47.0,6.9,9.0,0,,6.0,,,,4.0,3.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,,
11453182,home,Al-Riyadh,Birama Touré,birama-toure,B. Touré,M,60,183.0,134,M,246507,EUR,707788800,M,60,60,False,37.0,27.0,9.0,6.0,0.0,14.0,15.0,13.0,23.0,,4.0,5.0,,,,,,90.0,48.0,6.4,15.0,0,,1.0,,2.0,,6.0,2.0,1.0,1.0,,,,1.0,,,1.0,,,,,,,,
11453182,home,Al-Riyadh,Didier N'Dong,didier-ndong,D. N'Dong,M,,179.0,1107,M,786029,EUR,771811200,M,20,20,False,33.0,26.0,4.0,1.0,0.0,15.0,17.0,11.0,16.0,5.0,1.0,7.0,2.0,2.0,,,,90.0,49.0,6.6,13.0,0,,,,4.0,2.0,9.0,,4.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,
11453182,home,Al-Riyadh,Abdulhadi Al-Harajin,abdulhadi-al-harajin,A. Al-Harajin,M,8,171.0,18,M,818887,EUR,785289600,M,15,15,False,21.0,15.0,2.0,1.0,0.0,3.0,7.0,12.0,15.0,4.0,,5.0,,,,,,75.0,34.0,6.4,11.0,0,,1.0,,,,4.0,,1.0,4.0,1.0,,,,,,,3.0,,,,,,,
11453182,home,Al-Riyadh,Knowledge Musona,knowledge-musona,K. Musona,M,,174.0,675,M,118368,EUR,645926400,F,11,11,False,8.0,7.0,1.0,1.0,0.0,5.0,5.0,2.0,5.0,1.0,,1.0,,,,,,28.0,14.0,6.5,6.0,0,,2.0,,,,4.0,,2.0,1.0,,,,,1.0,,,1.0,,True,,,,,
