match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,player_firstName,player_lastName,stat_outfielderBlock,stat_keyPass,stat_challengeLost,stat_interceptionWon,captain,stat_accurateCross,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_wonTackle,stat_penaltyWon,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_totalOffside,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_hitWoodwork,stat_penaltyConceded
10437992,home,Paços de Ferreira,Marafona,marafona,Marafona,G,28,190,49,M,59715,EUR,547430400,G,28,28,False,27.0,17.0,17.0,7.0,11.0,13.0,6.0,14.0,1.0,9.0,3.0,4.0,1.0,90.0,36.0,7.7,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10437992,home,Paços de Ferreira,Juan Delgado,juan-delgado,J. Delgado,D,15,177,146,M,339695,EUR,731289600,D,15,15,False,36.0,30.0,8.0,5.0,11.0,14.0,19.0,23.0,,4.0,,,,90.0,62.0,7.1,12.0,0,1.0,1.0,2.0,5.0,10.0,7.0,5.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
10437992,home,Paços de Ferreira,Nuno Lima,nuno-lima,N. Lima,D,3,184,122,M,1133301,EUR,984700800,D,3,3,False,63.0,56.0,6.0,4.0,40.0,43.0,16.0,20.0,1.0,5.0,,,,90.0,68.0,7.2,7.0,0,,2.0,6.0,5.0,6.0,,,,,,3.0,Nuno Lima,,1.0,1.0,,,,,,,,,,,,,,,,,,,
10437992,home,Paços de Ferreira,Maracás,maracas,Maracás,D,26,184,121,M,931485,EUR,767404800,D,25,25,False,61.0,57.0,7.0,5.0,42.0,45.0,15.0,16.0,4.0,5.0,,,,90.0,67.0,6.9,4.0,0,,1.0,4.0,4.0,4.0,,,,,,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
10437992,home,Paços de Ferreira,Vitorino Antunes,vitorino-antunes,V. Antunes,D,,175,105,M,28386,EUR,544233600,D,5,5,False,40.0,27.0,3.0,1.0,12.0,17.0,16.0,25.0,1.0,5.0,,,,87.0,67.0,7.6,15.0,2,2.0,,,2.0,2.0,1.0,1.0,,1.0,1.0,3.0,,,,1.0,,2.0,True,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
10437992,home,Paços de Ferreira,Rui Pires,rui-pires,R. Pires,M,8,182,65,M,845751,EUR,890524800,M,26,26,False,42.0,40.0,5.0,5.0,18.0,19.0,22.0,23.0,,3.0,,,,45.0,49.0,7.2,2.0,0,,,1.0,2.0,4.0,,,3.0,,,2.0,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,
10437992,home,Paços de Ferreira,Jordan Holsgrove,jordan-holsgrove,J. Holsgrove,M,10,180,223,M,920684,EUR,936921600,M,6,6,False,50.0,38.0,7.0,3.0,17.0,18.0,22.0,35.0,2.0,4.0,,,,90.0,67.0,7.3,18.0,2,3.0,,,3.0,5.0,5.0,3.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,,,2.0,,1.0,1.0,,,,,,,,,
10437992,home,Paços de Ferreira,Paulo Bernardo,paulo-bernardo,P. Bernardo,M,28,180,1002,M,983554,EUR,1011830400,M,55,55,False,32.0,25.0,2.0,1.0,9.0,12.0,16.0,20.0,,6.0,,,,90.0,46.0,6.9,10.0,4,,1.0,1.0,4.0,7.0,1.0,1.0,2.0,2.0,3.0,,,,,1.0,2.0,,,,,2.0,,,1.0,,1.0,1.0,2.0,,,,,,
10437992,home,Paços de Ferreira,Nicolás Gaitán,nicolas-gaitan,N. Gaitán,M,,173,446,,42455,EUR,572572800,F,10,10,False,24.0,20.0,2.0,2.0,5.0,6.0,19.0,28.0,1.0,2.0,,,,78.0,43.0,7.1,12.0,1,10.0,2.0,1.0,4.0,2.0,1.0,,1.0,1.0,,,,,,3.0,1.0,,,4.0,,,1.0,,,,,,,1.0,,,,,
10437992,home,Paços de Ferreira,Adrián Butzke,adrian-butzke,A. Butzke,F,3,191,100,M,991292,EUR,922752000,F,17,17,False,16.0,9.0,,,3.0,4.0,6.0,13.0,,3.0,,,,76.0,30.0,6.5,15.0,2,1.0,3.0,5.0,7.0,6.0,2.0,,,2.0,1.0,,,,,1.0,,,,,,,1.0,,,,2.0,,1.0,,,,,,
