match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_outfielderBlock,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_totalCross,stat_blockedScoringAttempt,stat_accurateCross,stat_dispossessed,stat_shotOffTarget,captain,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_errorLeadToAShot,stat_totalOffside
13981435,home,Juventus,Michele Di Gregorio,,,michele-di-gregorio,M. Di Gregorio,G,16,187,8129,M,L'UomoTigre,844609,EUR,869961600,G,16,16,False,22.0,15.0,10.0,3.0,0.0,14.0,17.0,1.0,5.0,7.0,1.0,1.0,90.0,30.0,6.3,7.0,0.00038158,0.3064,0,-1.8151,0.01,0.0,-0.22,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981435,home,Juventus,Federico Gatti,Federico Gatti,,federico-gatti,F. Gatti,D,4,190,4940,M,FedericoGatti,1128063,EUR,898646400,D,4,4,False,31.0,28.0,4.0,2.0,0.0,18.0,20.0,10.0,11.0,1.0,,,79.0,43.0,6.2,4.0,0.00384236,,0,,0.08,0.06,-0.34,,2.0,1.0,4.0,3.0,6.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
13981435,home,Juventus,Bremer,,,bremer,Bremer,D,3,188,9433,M,Bremer,885197,EUR,858643200,D,3,3,False,40.0,32.0,5.0,1.0,2.0,24.0,28.0,8.0,12.0,1.0,,,90.0,51.0,6.9,8.0,0.103273,,0,,0.33,0.03,-0.32,,1.0,2.0,2.0,2.0,8.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
13981435,home,Juventus,Lloyd Kelly,,,lloyd-kelly,L. Kelly,D,6,191,3053,M,,865167,EUR,907632000,D,6,6,False,51.0,42.0,7.0,,0.0,26.0,26.0,16.0,25.0,4.0,,,90.0,63.0,6.8,11.0,0.0042056,,1,,0.08,0.01,-0.42,,1.0,,3.0,3.0,5.0,,2.0,1.0,2.0,,1.0,1.0,1.0,2.0,1.0,0.0752,0.2125,0.51,,,,,,,,,,,,
13981435,home,Juventus,Pierre Kalulu,,,pierre-kalulu,P. Kalulu,D,15,183,6630,M,Kalulujr_,965330,EUR,960163200,M,15,15,False,30.0,26.0,,,0.0,12.0,14.0,14.0,16.0,3.0,,,90.0,47.0,6.6,7.0,0.0217946,,1,,0.15,0.32,-0.13,,3.0,1.0,3.0,5.0,3.0,,,1.0,,1.0,,,,3.0,1.0,0.1854,,-0.53,1.0,1.0,,,,,,,,,,
13981435,home,Juventus,Teun Koopmeiners,,,teun-koopmeiners,T. Koopmeiners,M,8,183,6981,M,teunkoopmeiners,803033,EUR,888624000,M,8,8,False,21.0,15.0,1.0,,0.0,6.0,7.0,9.0,14.0,1.0,,,73.0,36.0,6.0,11.0,0.0612611,,1,,-0.05,0.17,-0.01,,3.0,1.0,7.0,2.0,4.0,,,,3.0,1.0,,,1.0,1.0,,0.0634,,-0.27,5.0,,1.0,1.0,1.0,,,,,,,
13981435,home,Juventus,Manuel Locatelli,,,manuel-locatelli,M. Locatelli,M,5,185,8228,M,locamanuel73,363860,EUR,884217600,M,5,5,False,37.0,30.0,6.0,5.0,0.0,15.0,18.0,15.0,19.0,,,,73.0,56.0,7.4,9.0,0.0485497,,2,,0.27,0.06,0.15,,,1.0,3.0,7.0,5.0,,1.0,,1.0,,,,2.0,6.0,4.0,0.052,,0.01,1.0,2.0,1.0,1.0,,True,1.0,,,,,
13981435,home,Juventus,Khéphren Thuram,,,khephren-thuram,K. Thuram,M,19,191,11655,M,k_thuram,904832,EUR,985564800,M,19,19,False,42.0,36.0,,,0.0,15.0,16.0,21.0,26.0,4.0,,,90.0,56.0,7.7,10.0,0.00846612,,1,,-0.13,0.28,-0.12,,1.0,,2.0,4.0,1.0,,3.0,1.0,,,1.0,1.0,,1.0,1.0,0.132,0.7439,0.52,,,,1.0,,,,2.0,2.0,,,
13981435,home,Juventus,Weston McKennie,,,weston-mckennie,W. McKennie,M,22,185,7292,M,west.mckennie,881931,EUR,904262400,M,22,22,False,22.0,19.0,1.0,1.0,0.0,9.0,9.0,10.0,13.0,2.0,,,79.0,40.0,6.6,7.0,0.0161899,,0,,0.06,0.09,0.16,,3.0,1.0,6.0,4.0,2.0,2.0,1.0,,2.0,,,,,3.0,2.0,,,,1.0,,,,,,,1.0,,,,
13981435,home,Juventus,Kenan Yıldız,Kenan Yıldız,,yildiz-kenan,K. Yıldız,M,10,187,82614,M,KenanYıldız,1149011,EUR,1115164800,F,10,10,False,31.0,27.0,1.0,1.0,1.0,13.0,13.0,14.0,18.0,6.0,,,90.0,45.0,8.4,9.0,0.369352,,1,,0.26,0.32,-0.13,,,,2.0,2.0,,,2.0,1.0,,4.0,1.0,1.0,1.0,,,0.0193,0.0357,0.55,2.0,,1.0,,,,1.0,2.0,1.0,1.0,1.0,
