match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialLost,stat_aerialWon,stat_interceptionWon,stat_fouls,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_totalTackle,stat_wonTackle,player_firstName,player_lastName,stat_totalContest,stat_shotOffTarget,captain,stat_totalCross,stat_accurateCross,stat_wonContest,stat_keyPass,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_goodHighClaim,player_sofascoreId,stat_hitWoodwork
10388242,home,VfL Bochum 1848,Manuel Riemann,manuel-riemann,M. Riemann,G,1,186,218,M,24937,EUR,589766400,G,1,1,False,56.0,27.0,43.0,15.0,18.0,26.0,9.0,30.0,11.0,5.0,9.0,90.0,67.0,9.0,29.0,0.0,0.0,0.00877573,0,1.5193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388242,home,VfL Bochum 1848,Konstantinos Stafylidis,konstantinos-stafylidis,K. Stafylidis,D,3,177,196,M,110850,EUR,754790400,D,16,16,False,25.0,16.0,9.0,3.0,14.0,16.0,2.0,9.0,4.0,,,90.0,38.0,6.9,11.0,0.0,0.0,0.00948815,0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10388242,home,VfL Bochum 1848,Ivan Ordets,ivan-ordets,I. Ordets,D,,194,123,M,137673,EUR,710553600,D,20,20,False,27.0,20.0,3.0,2.0,16.0,20.0,4.0,7.0,3.0,,,90.0,40.0,7.2,9.0,0.0,0.0,0.00266305,0,,3.0,3.0,,3.0,1.0,2.0,,2.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,
10388242,home,VfL Bochum 1848,Erhan Mašović,erhan-masovic,E. Mašović,D,4,189,232,M,833213,EUR,911692800,D,4,4,False,23.0,19.0,5.0,2.0,15.0,17.0,4.0,6.0,6.0,,,90.0,34.0,7.4,5.0,0.3837,0.2763,0.00119676,1,,5.0,3.0,1.0,3.0,,,,2.0,,1.0,1.0,1.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,
10388242,home,VfL Bochum 1848,Danilo Soares,danilo-soares,Danilo Soares,M,3,170,111,M,121551,EUR,688694400,D,3,3,False,26.0,19.0,6.0,2.0,14.0,16.0,5.0,10.0,10.0,,,58.0,46.0,6.6,11.0,0.0,0.0,0.00559099,0,,7.0,6.0,3.0,2.0,,1.0,2.0,,,3.0,2.0,1.0,,,4.0,4.0,,,1.0,,,,,,,,,,,,
10388242,home,VfL Bochum 1848,Patrick Osterhage,osterhage-patrick,P. Osterhage,M,6,183,261,M,914755,EUR,949363200,M,6,6,False,20.0,17.0,1.0,1.0,12.0,14.0,5.0,6.0,8.0,,,87.0,30.0,7.2,3.0,0.109,0.0,0.00490226,1,,,4.0,,3.0,1.0,,1.0,,,,,,,,3.0,3.0,,,,1.0,,,,,,,,,,,
10388242,home,VfL Bochum 1848,Anthony Losilla,anthony-losilla,A. Losilla,M,,185,68,M,119179,EUR,510796800,M,8,8,False,19.0,13.0,3.0,2.0,8.0,10.0,5.0,9.0,5.0,,,90.0,31.0,6.6,6.0,0.0,0.0,0.0123313,0,,8.0,4.0,4.0,3.0,2.0,,1.0,2.0,1.0,,2.0,,,,2.0,1.0,,,,,True,,,,,,,,,,
10388242,home,VfL Bochum 1848,Kevin Stöger,kevin-stoger,K. Stöger,M,7,175,715,M,95381,EUR,746409600,M,7,7,False,32.0,20.0,2.0,,8.0,10.0,13.0,25.0,11.0,,,70.0,47.0,7.2,14.0,0.0,0.0,0.134154,0,,7.0,8.0,3.0,1.0,,,1.0,1.0,,,3.0,,,,5.0,3.0,,,2.0,,,3.0,1.0,2.0,2.0,,,,,,
10388242,home,VfL Bochum 1848,Takuma Asano,takuma-asano,T. Asano,M,11,173,2035,M,309546,EUR,784425600,M,11,11,False,5.0,2.0,,,,,2.0,5.0,,,,70.0,18.0,6.2,6.0,0.6594,0.2068,0.00182333,4,,3.0,5.0,1.0,,,2.0,1.0,1.0,2.0,,,,1.0,,1.0,1.0,,,2.0,2.0,,,,1.0,,2.0,1.0,,,,
10388242,home,VfL Bochum 1848,Christopher Antwi-Adjei,christopher-antwi-adjei,C. Antwi-Adjei,M,18,171,469,M,844203,EUR,760579200,F,22,22,False,18.0,14.0,1.0,1.0,5.0,5.0,9.0,16.0,1.0,,,69.0,33.0,6.5,13.0,0.0239,0.0,0.133059,1,,6.0,1.0,,,,2.0,1.0,2.0,,,,1.0,,,,,,,3.0,,,3.0,,,1.0,,1.0,1.0,,,
