match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_duelLost,stat_duelWon,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_fouls,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_aerialWon,stat_totalCross,stat_accurateCross,stat_totalContest,stat_bigChanceCreated,stat_shotOffTarget,stat_goals,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_challengeLost,stat_wonContest,stat_blockedScoringAttempt,stat_dispossessed,stat_bigChanceMissed,stat_totalOffside,stat_wasFouled,captain,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAGoal
13981421,home,Inter,Yann Sommer,yann-sommer,Y. Sommer,G,1,183,12749,M,yannsommer,16206,EUR,598320000,G,1,1,False,30.0,30.0,5.0,5.0,0.0,28.0,28.0,2.0,2.0,1.0,6.0,1.0,3.0,4.0,90.0,41.0,7.5,0.00021903,0.171,0,1.1555,0.07,0.01,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981421,home,Inter,Benjamin Pavard,benjamin-pavard,B. Pavard,D,28,186,10877,M,benpavard21,787505,EUR,827971200,D,5,5,False,84.0,80.0,5.0,3.0,0.0,55.0,57.0,25.0,27.0,2.0,6.0,,,,90.0,96.0,7.4,0.030293,,1,,0.14,0.29,0.36,,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,0.0493,0.2446,1.0,-0.15,,,,,,,,,,,,,,,,,,,,,
13981421,home,Inter,Francesco Acerbi,francesco-acerbi,F. Acerbi,D,15,192,5573,M,,126816,EUR,571449600,D,15,15,False,68.0,65.0,3.0,3.0,0.0,49.0,49.0,16.0,19.0,6.0,4.0,,,,90.0,77.0,7.7,0.125385,,1,,0.25,0.11,0.45,,1.0,1.0,6.0,1.0,2.0,,,,,,3.0,0.0127,0.1146,1.0,-0.12,6.0,,,,,,,,,,,,,,,,,,,,
13981421,home,Inter,Alessandro Bastoni,alessandro-bastoni,A. Bastoni,D,95,190,15274,M,alessandrobastoni,826188,EUR,923961600,D,95,95,False,67.0,63.0,11.0,10.0,1.0,41.0,41.0,22.0,26.0,1.0,2.0,,,,86.0,87.0,9.5,0.0974004,,2,,0.5,0.02,0.29,,1.0,4.0,1.0,1.0,,2.0,1.0,1.0,,2.0,10.0,0.091,0.3537,1.0,0.53,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
13981421,home,Inter,Denzel Dumfries,denzel-dumfries,D. Dumfries,M,2,189,15021,M,ddumfries2,759520,EUR,829785600,M,2,2,False,25.0,24.0,,,0.0,11.0,11.0,13.0,14.0,1.0,3.0,,,,90.0,38.0,7.1,0.0799942,,1,,0.16,0.32,-0.03,,1.0,2.0,4.0,,,2.0,1.0,1.0,,,3.0,0.0245,,1.0,-0.27,1.0,2.0,,2.0,,,,,,,1.0,2.0,1.0,,,,,,,,
13981421,home,Inter,Petar Sučić,petar-sucic,P. Sučić,M,8,184,7937,M,,1091303,EUR,1067040000,M,8,8,False,57.0,52.0,3.0,1.0,1.0,29.0,30.0,23.0,27.0,,2.0,,,,90.0,68.0,7.1,0.0637137,,4,,0.26,0.26,-0.06,,,5.0,4.0,2.0,,,4.0,2.0,,3.0,6.0,0.1041,0.138,2.0,-0.52,,,,,1.0,1.0,,1.0,,,2.0,,1.0,,,,,,,,
13981421,home,Inter,Nicolò Barella,nicolo-barella,N. Barella,M,23,175,21290,M,nicolo_barella,363856,EUR,855273600,M,23,23,False,112.0,102.0,10.0,6.0,1.0,63.0,64.0,39.0,48.0,1.0,7.0,,,,90.0,120.0,7.9,0.0999773,,1,,0.44,0.3,0.21,,,1.0,2.0,,,,2.0,1.0,,,11.0,0.1082,,2.0,0.0,,3.0,2.0,,,1.0,,,,,1.0,,,,,,,,,,
13981421,home,Inter,Henrikh Mkhitaryan,henrikh-mkhitaryan,H. Mkhitaryan,M,22,178,8680,M,micki_taryan,37151,EUR,601344000,M,22,22,False,44.0,39.0,4.0,3.0,0.0,16.0,17.0,23.0,27.0,,4.0,,,,79.0,50.0,7.1,0.260681,,1,,0.45,0.39,-0.08,,1.0,5.0,1.0,,,,1.0,1.0,,1.0,9.0,0.2154,,1.0,-0.53,,1.0,,,,1.0,,1.0,,,2.0,,,1.0,1.0,1.0,,,,,
13981421,home,Inter,Federico Dimarco,federico-dimarco,F. Dimarco,M,32,174,15308,M,dimarco32,284361,EUR,879120000,M,32,32,False,23.0,20.0,2.0,2.0,0.0,11.0,11.0,9.0,12.0,2.0,3.0,,,,66.0,40.0,7.4,0.26154,,0,,0.37,0.03,0.5,,,2.0,1.0,,1.0,,1.0,,,1.0,9.0,,,4.0,,,7.0,4.0,,1.0,,,1.0,,,,,,1.0,,1.0,,,,,
13981421,home,Inter,Marcus Thuram,marcus-thuram,M. Thuram,F,9,192,25521,M,m_thuram,791702,EUR,870825600,F,9,9,False,16.0,12.0,,,0.0,5.0,6.0,7.0,10.0,,2.0,,,,67.0,30.0,8.9,0.0237108,,4,,-0.31,0.34,-0.04,,1.0,8.0,8.0,2.0,,,1.0,,,5.0,8.0,0.619,1.2804,3.0,0.83,3.0,,,2.0,,2.0,2.0,3.0,,,1.0,2.0,,1.0,1.0,1.0,2.0,,,,
