match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_blockedScoringAttempt,stat_hitWoodwork,stat_totalClearance,stat_expectedGoals,stat_challengeLost,stat_dispossessed,stat_interceptionWon,stat_fouls,stat_totalCross,stat_totalContest,stat_wonContest,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_accurateCross,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_totalTackle,stat_wonTackle,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotOffTarget,player_firstName,player_lastName,stat_savedShotsFromInsideTheBox,stat_punches,stat_outfielderBlock,stat_totalOffside
12499806,home,Bayer 04 Leverkusen,Lukáš Hrádecký,lukas-hradecky,L. Hrádecký,G,1,190,2547,M,15219,EUR,627868800,G,1,1,False,True,25.0,22.0,5.0,2.0,0.0,21.0,23.0,1.0,2.0,1.0,9.0,1.0,2.0,1.0,90.0,34.0,6.7,3.0,0.00044312,0,-0.4493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499806,home,Bayer 04 Leverkusen,Edmond Tapsoba,edmond-tapsoba,E. Tapsoba,D,12,193,33838,M,883262,EUR,917913600,D,12,12,False,,111.0,108.0,5.0,5.0,0.0,43.0,44.0,65.0,67.0,2.0,5.0,,,,90.0,120.0,7.0,3.0,0.112783,3,,edmondtapsoba,1.0,2.0,1.0,3.0,1.0,3.0,0.082,,,,,,,,,,,,,,,,,,,,,,,,
12499806,home,Bayer 04 Leverkusen,Jonathan Tah,jonathan-tah,J. Tah,D,4,194,9454,M,227672,EUR,823996800,D,4,4,False,,141.0,133.0,3.0,1.0,0.0,46.0,49.0,87.0,92.0,,6.0,,,,90.0,146.0,6.8,9.0,0.093672,1,,jonatah,,,3.0,1.0,,1.0,0.0211,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12499806,home,Bayer 04 Leverkusen,Piero Hincapié,piero-hincapie,P. Hincapié,D,5,184,31047,M,1002837,EUR,1010534400,D,3,3,False,,115.0,109.0,4.0,1.0,0.0,51.0,52.0,58.0,65.0,5.0,2.0,2.0,,,90.0,124.0,6.4,9.0,0.0829202,0,,pierohincapie,1.0,3.0,4.0,,,,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12499806,home,Bayer 04 Leverkusen,Jeremie Frimpong,jeremie-frimpong,J. Frimpong,M,30,171,32709,M,970361,EUR,976406400,M,30,30,False,,24.0,23.0,,,0.0,10.0,10.0,13.0,17.0,1.0,3.0,1.0,,,45.0,42.0,6.1,10.0,0.0279306,0,,jeremie_frimpong,,,5.0,,,,,,2.0,,,3.0,3.0,,,1.0,,,,,,,,,,,,,,,
12499806,home,Bayer 04 Leverkusen,Exequiel Palacios,exequiel-palacios,E. Palacios,M,25,177,12684,M,822600,EUR,907545600,M,25,25,False,,73.0,68.0,,,1.0,15.0,15.0,54.0,59.0,1.0,4.0,,,,77.0,85.0,8.5,11.0,0.329332,1,,exepalaciosok,,,4.0,,,,0.1814,1.0,3.0,1.0,,1.0,,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4692,4.0,,,,,,,
12499806,home,Bayer 04 Leverkusen,Granit Xhaka,granit-xhaka,G. Xhaka,M,34,185,15706,M,117777,EUR,717552000,M,34,34,False,,123.0,114.0,2.0,1.0,1.0,32.0,33.0,82.0,90.0,3.0,5.0,,,,90.0,130.0,9.0,10.0,0.24156,3,,Granit_Xhaka,,1.0,1.0,,,,0.1661,1.0,,,,,,,,1.0,,,1.0,1.0,2.0,2.0,0.7073,5.0,2.0,,,,,,
12499806,home,Bayer 04 Leverkusen,Alejandro Grimaldo,alejandro-grimaldo,A. Grimaldo,M,20,171,13099,M,177177,EUR,811555200,M,20,20,False,,66.0,59.0,3.0,2.0,0.0,20.0,21.0,41.0,52.0,2.0,5.0,1.0,,,90.0,89.0,7.4,13.0,0.264459,2,,grimaldo35,1.0,,2.0,,,1.0,0.1289,,,,,7.0,2.0,1.0,,,2.0,,1.0,,,,0.0149,1.0,1.0,,,,,,
12499806,home,Bayer 04 Leverkusen,Florian Wirtz,florian-wirtz,F. Wirtz,F,7,175,148971,M,1019322,EUR,1051920000,F,10,10,False,,90.0,71.0,2.0,1.0,1.0,8.0,9.0,64.0,83.0,6.0,4.0,1.0,,,77.0,108.0,8.0,23.0,0.421863,3,,FWirtz,,,4.0,,,,0.1354,,,1.0,1.0,2.0,8.0,5.0,,,1.0,,2.0,,,,0.388,1.0,1.0,,,,,,
12499806,home,Bayer 04 Leverkusen,Aleix García,aleix-garcia,A. García,M,24,173,4597,M,796047,EUR,867456000,F,24,24,False,,75.0,65.0,4.0,4.0,0.0,19.0,21.0,48.0,58.0,1.0,5.0,,,,69.0,83.0,7.2,14.0,0.0788256,0,,AlexGarcia97,,1.0,1.0,,,1.0,,,1.0,,,4.0,,,,1.0,2.0,,,,,,,1.0,,,,,,,
