match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,captain,stat_outfielderBlock,stat_interceptionWon,stat_totalOffside,stat_shotOffTarget,stat_keyPass,stat_challengeLost,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_dispossessed,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_blockedScoringAttempt,stat_goals,stat_punches
13444513,home,Monterey Bay FC,Samuel Gomez,samuel-gomez,S. Gomez,G,18,185.0,2,M,1847337,EUR,946166400.0,G,18,18,False,31.0,25.0,7.0,2.0,0.0,24.0,27.0,1.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,90.0,36.0,6.9,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13444513,home,Monterey Bay FC,Miles Lyons,miles-lyons,M. Lyons,D,15,173.0,5,M,1113514,EUR,1034035200.0,D,15,15,False,29.0,19.0,4.0,1.0,0.0,5.0,10.0,14.0,19.0,3.0,3.0,,,,,61.0,44.0,6.7,11.0,0,Miles Lyons,,1.0,1.0,2.0,1.0,6.0,4.0,1.0,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,
13444513,home,Monterey Bay FC,Alejandro Lara,alejandro-lara,A. Lara,D,4,185.0,3,M,1019788,EUR,905817600.0,D,4,4,False,65.0,60.0,7.0,2.0,0.0,40.0,42.0,20.0,23.0,4.0,2.0,,,,,90.0,77.0,7.0,6.0,0,,,,,3.0,,7.0,1.0,,1.0,,,5.0,True,2.0,1.0,1.0,,,,,,,,,,,,,
13444513,home,Monterey Bay FC,Carlos Guzmán,carlos-guzman,C. Guzmán,D,5,179.0,25,M,796453,EUR,769305600.0,D,5,5,False,43.0,40.0,5.0,5.0,0.0,22.0,24.0,18.0,19.0,1.0,2.0,,,,,61.0,51.0,7.0,5.0,1,,,1.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,2.0,,1.0,,,,,,,,,,,,
13444513,home,Monterey Bay FC,Joel Garcia Jr.,joel-garcia-jr,J. Garcia Jr.,D,22,170.0,4,M,2052766,EUR,1019779200.0,D,22,22,False,43.0,38.0,2.0,1.0,0.0,17.0,20.0,21.0,23.0,,4.0,,,,,90.0,62.0,7.8,8.0,0,Joel Garcia Jr.,,4.0,1.0,,,,5.0,,2.0,2.0,3.0,,,1.0,,,,2.0,,,,,,,,,,,
13444513,home,Monterey Bay FC,Pierce Gallaway,pierce-gallaway,P. Gallaway,M,14,188.0,1,M,1819752,EUR,988156800.0,M,14,14,False,68.0,54.0,7.0,3.0,0.0,27.0,30.0,27.0,38.0,,4.0,,,,,90.0,83.0,7.6,19.0,0,Pierce Gallaway,,1.0,1.0,2.0,6.0,4.0,13.0,,6.0,3.0,2.0,,,,,1.0,,1.0,2.0,1.0,2.0,,,,,,,,
13444513,home,Monterey Bay FC,Luke Ivanovic,ivanovic-luke,L. Ivanovic,F,9,189.0,42,M,965971,EUR,960163200.0,M,31,31,False,16.0,13.0,1.0,,1.0,3.0,4.0,10.0,12.0,2.0,5.0,,,,,61.0,30.0,7.2,6.0,3,,,1.0,1.0,1.0,,3.0,3.0,1.0,2.0,1.0,,1.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,,,,
13444513,home,Monterey Bay FC,Ethan Bryant,ethan-bryant,E. Bryant,M,8,175.0,2,M,935044,EUR,998265600.0,M,8,8,False,42.0,39.0,5.0,4.0,0.0,18.0,18.0,21.0,24.0,2.0,8.0,,,,,90.0,61.0,7.9,8.0,4,,,4.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,,2.0,,,,1.0,,4.0,3.0,,1.0,,,,,,1.0,,,
13444513,home,Monterey Bay FC,Mobi Fehr,mobi-fehr,M. Fehr,M,13,182.0,5,M,155935,EUR,787276800.0,M,13,13,False,58.0,53.0,3.0,3.0,0.0,18.0,18.0,35.0,40.0,1.0,8.0,,,,,83.0,69.0,7.8,9.0,2,,,2.0,1.0,1.0,,5.0,3.0,2.0,1.0,1.0,,1.0,,,,,,1.0,3.0,,2.0,,2.0,,1.0,,1.0,1.0,
13444513,home,Monterey Bay FC,Alex Dixon,alex-dixon,A. Dixon,M,10,173.0,1,M,149257,EUR,634348800.0,M,10,10,False,41.0,33.0,,,2.0,13.0,15.0,20.0,26.0,,10.0,,,,,90.0,54.0,7.5,12.0,4,,,1.0,,2.0,,3.0,2.0,,2.0,2.0,,1.0,,,,2.0,1.0,2.0,1.0,2.0,1.0,,,3.0,2.0,,1.0,,
