match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_totalContest,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_keyPass,captain,stat_aerialLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_lastManTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_challengeLost,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_dispossessed,stat_blockedScoringAttempt,stat_totalOffside,stat_wonContest,stat_bigChanceMissed,stat_punches
12530839,home,Antalyaspor,Sander van de Streek,sander-van-de-streek,S. v. d. Streek,M,22,180.0,186,M,220155,EUR,732931200,M,22,22,True,20.0,17.0,1.0,,0.0,4.0,4.0,13.0,16.0,2.0,7.0,,3.0,,,,,,66.0,30.0,6.9,5.0,0.372197,1,,,,2.0,2.0,,,2.0,2.0,1.0,,1.0,,1.0,,,,2.0,,0.6233,0.4854,,1.0,,,,,,1.0,1.0,
12530839,home,Antalyaspor,Andros Townsend,andros-townsend,A. Townsend,F,30,181.0,595,M,47992,EUR,679622400,F,25,25,True,12.0,11.0,2.0,1.0,0.0,4.0,5.0,7.0,8.0,,2.0,,,,,,,,27.0,17.0,7.0,3.0,0.0398019,0,,1.0,,1.0,,,,1.0,1.0,2.0,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,
12530839,home,Antalyaspor,Mert Yilmaz,mert-yilmaz,M. Yilmaz,D,27,174.0,32,M,881966,EUR,920851200,D,27,27,True,,,,,0.0,,,,,,,,,,,,,,9.0,,6.4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530839,home,Antalyaspor,Emre Uzun,uzun-emre,E. Uzun,M,11,177.0,141,M,1212159,EUR,1119225600,M,20,20,True,,,,,0.0,,,,,,,,,,,,,,9.0,3.0,6.5,2.0,,0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
12530839,home,Antalyaspor,Abdullah Yiğiter,abdullah-yigiter,A. Yiğiter,G,21,189.0,39,M,827515,EUR,951004800,G,21,21,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530839,home,Antalyaspor,Abdurrahim Dursun,abdurrahim-dursun,A. Dursun,D,77,176.0,46,M,883275,EUR,912470400,D,77,77,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530839,home,Antalyaspor,Amar Gerxhaliu,amar-gerxhaliu,A. Gerxhaliu,D,4,193.0,60,M,1123371,EUR,1019779200,D,4,4,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530839,home,Antalyaspor,Bünyamin Balcı,bunyamin-balci,B. Balcı,D,7,180.0,128,M,967214,EUR,959731200,D,7,7,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530839,home,Antalyaspor,Deni Milošević,deni-milosevic,D. Milošević,M,27,182.0,153,M,190403,EUR,794707200,M,58,58,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Deni,Milošević,,,,,,
12530839,home,Antalyaspor,Taha Özmert,taha-ozmert,T. Özmert,F,88,178.0,16,M,1979695,EUR,1147132800,M,88,88,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Taha Özmert,,,,,,,
12530839,away,Sivasspor,Ali Şaşal Vural,ali-sasal-vural,A. Ş. Vural,G,,187.0,62,M,94540,EUR,647568000,G,35,35,False,34.0,30.0,10.0,6.0,0.0,27.0,28.0,3.0,6.0,,,1.0,11.0,1.0,4.0,5.0,,,90.0,48.0,7.7,4.0,0.00204511,0,-0.1831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
12530839,away,Sivasspor,Alaaddin Okumuş,alaaddin-okumus,A. Okumuş,D,22,175.0,23,M,844640,EUR,809136000,D,23,23,False,18.0,15.0,2.0,2.0,0.0,9.0,9.0,7.0,11.0,1.0,3.0,5.0,3.0,,,,,,86.0,34.0,6.4,6.0,0.0169504,0,,2.0,1.0,5.0,2.0,,,1.0,,2.0,,1.0,,,,,,1.0,2.0,,,,,,,,,1.0,,,
12530839,away,Sivasspor,Uroš Radaković,uros-radakovic,U. Radaković,D,26,194.0,313,M,151900,EUR,765072000,D,26,26,False,35.0,30.0,6.0,2.0,0.0,23.0,24.0,7.0,12.0,1.0,3.0,5.0,2.0,,,,,,90.0,47.0,6.4,6.0,0.0172368,1,,1.0,,5.0,,,1.0,1.0,1.0,,,2.0,1.0,,,,,1.0,2.0,0.1397,,1.0,,,,,,,,1.0,
12530839,away,Sivasspor,Noah Sonko Sundberg,noah-sonko-sundberg,N. S. Sundberg,D,20,186.0,238,M,279541,EUR,834019200,D,27,27,False,38.0,35.0,4.0,2.0,0.0,26.0,26.0,9.0,12.0,,4.0,4.0,1.0,,,,,,90.0,49.0,6.6,4.0,0.0203107,0,,,,3.0,,,,2.0,1.0,,,2.0,,,,,,2.0,1.0,,,,,,,,,,,,
12530839,away,Sivasspor,Uğur Çiftçi,ugur-ciftci,U. Çiftçi,D,58,180.0,65,M,142850,EUR,704937600,D,3,3,False,40.0,33.0,4.0,1.0,0.0,15.0,15.0,19.0,28.0,,4.0,4.0,7.0,,,,,,90.0,71.0,7.3,10.0,0.0806839,1,,3.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,True,1.0,,,,,,1.0,2.0,0.0247,,,1.0,,,,1.0,,1.0,,
12530839,away,Sivasspor,Bengali-Fodé Koita,bengali-fode-koita,B. Koita,M,55,186.0,217,M,51407,EUR,656467200,M,55,55,False,20.0,14.0,1.0,1.0,0.0,7.0,8.0,7.0,14.0,3.0,6.0,2.0,5.0,,,,,,90.0,42.0,6.7,14.0,0.00932774,5,,2.0,,8.0,3.0,,,,,,,1.0,1.0,3.0,1.0,,,3.0,2.0,0.5211,0.3787,1.0,,,,2.0,1.0,1.0,1.0,2.0,
12530839,away,Sivasspor,Achilleas Poungouras,achilleas-poungouras,A. Poungouras,D,15,187.0,79,M,783466,EUR,818812800,M,44,44,False,42.0,33.0,3.0,,0.0,23.0,27.0,10.0,15.0,,3.0,1.0,5.0,,,,,,90.0,51.0,6.5,9.0,0.00635297,0,,,,1.0,,,1.0,3.0,2.0,,,1.0,,,,1.0,,,,,,,,Achilleas,Poungouras,,,,,,
12530839,away,Sivasspor,Charis Charisis,charis-charisis,C. Charisis,M,8,177.0,130,M,317297,EUR,789868800,M,8,8,False,43.0,29.0,7.0,3.0,0.0,15.0,17.0,15.0,28.0,1.0,5.0,2.0,6.0,,,,,,89.0,57.0,7.0,17.0,0.092436,1,,2.0,1.0,2.0,,,2.0,1.0,,1.0,,1.0,1.0,,,,,3.0,,0.0193,,,1.0,,,1.0,,,,,
12530839,away,Sivasspor,Garry Rodrigues,garry-rodrigues,G. Rodrigues,M,10,173.0,946,M,787429,EUR,659664000,M,24,24,False,13.0,13.0,1.0,1.0,0.0,5.0,5.0,8.0,9.0,,,,4.0,,,,,,67.0,25.0,6.3,6.0,0.0317789,3,,1.0,,2.0,1.0,,1.0,,,1.0,,,2.0,,,,,,,0.3004,,1.0,2.0,,,,1.0,1.0,,1.0,
12530839,away,Sivasspor,Alex Pritchard,alex-pritchard,A. Pritchard,M,,171.0,97,M,180009,EUR,736387200,F,10,10,False,15.0,10.0,,,1.0,6.0,8.0,6.0,9.0,,3.0,,3.0,,,,,,67.0,27.0,7.2,8.0,0.164808,0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,1.0,1.0,,,,1.0,,,1.0,,,1.0,,
12530839,away,Sivasspor,Rey Manaj,rey-manaj,R. Manaj,F,9,182.0,2059,M,587882,EUR,856742400,F,9,9,False,25.0,20.0,4.0,3.0,0.0,10.0,11.0,10.0,14.0,4.0,8.0,,,,,,,,90.0,40.0,7.3,10.0,0.0589256,5,,,,11.0,2.0,1.0,,1.0,,3.0,,5.0,2.0,1.0,,,,3.0,4.0,0.2992,0.0517,,2.0,,,1.0,2.0,1.0,,,
12530839,away,Sivasspor,Azizbek Turgunboev,azizbek-turgunboev,A. Turgunboev,M,10,173.0,1143,M,971572,EUR,780969600,M,90,90,True,7.0,3.0,2.0,,0.0,1.0,2.0,3.0,8.0,2.0,3.0,2.0,,,,,,,23.0,18.0,6.5,9.0,0.0860578,0,,3.0,1.0,3.0,1.0,,,,,1.0,,2.0,,,,,,,,,,1.0,2.0,,,,,,1.0,,
12530839,away,Sivasspor,Keita Baldé,keita-balde,K. Baldé,F,17,178.0,2085,M,317699,EUR,794620800,F,77,77,True,5.0,3.0,,,0.0,,,3.0,5.0,1.0,2.0,,,,,,,,23.0,10.0,6.8,4.0,0.0320781,1,,,,2.0,,,,,,1.0,,1.0,1.0,,,,,1.0,,0.0589,,,1.0,,,1.0,,,,,
12530839,away,Sivasspor,Queensy Menig,queensy-menig,Q. Menig,F,,174.0,209,M,232318,EUR,808790400,F,11,11,True,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,15.0,4.0,6.4,1.0,0.00391974,0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
12530839,away,Sivasspor,Bekir Turaç Böke,turac-boke,B. T. Böke,F,14,190.0,68,M,997681,EUR,929923200,F,46,46,True,,,,,0.0,,,,,,,,,,,,,,8.0,,6.4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530839,away,Sivasspor,Đorđe Nikolić,dorde-nikolic,Đ. Nikolić,G,,195.0,79,M,797144,EUR,860889600,G,13,13,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530839,away,Sivasspor,Ziya Erdal,ziya-erdal,Z. Erdal,D,,182.0,28,M,138312,EUR,568339200,D,58,58,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530839,away,Sivasspor,Emirhan Başyiğit,emirhan-basyigit,E. Başyiğit,D,5,190.0,94,M,1149004,EUR,1114387200,D,53,53,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Emirhan Basyigit,,,,,,,
12530839,away,Sivasspor,Samba Camara,samba-camara,S. Camara,D,14,190.0,68,M,837301,EUR,721699200,D,14,14,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530839,away,Sivasspor,Özkan Yigiter,ozkan-yigiter,Ö. Yigiter,M,6,190.0,13,M,1131626,EUR,947203200,M,6,6,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530839,away,Sivasspor,Oguzhan Aksoy,oguzhan-aksoy,O. Aksoy,M,25,,9,M,1640657,EUR,1164326400,F,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
