match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelWon,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_aerialLost,stat_outfielderBlock,stat_wonTackle,stat_fouls,stat_clearanceOffLine,player_firstName,player_lastName,stat_accurateCross,stat_totalContest,stat_wonContest,stat_keyPass,stat_dispossessed,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,captain,stat_bigChanceCreated,stat_goals,stat_totalOffside,player_sofascoreId,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot,stat_penaltyConceded
12501591,home,Udinese,Daniele Padelli,daniele-padelli,D. Padelli,G,93,191,196,M,2899,EUR,499046400,G,93,93,False,18.0,13.0,8.0,3.0,0.0,12.0,13.0,1.0,5.0,1.0,1.0,5.0,1.0,2.0,3.0,90.0,24.0,7.5,5.0,0.00019942,0,0.7383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501591,home,Udinese,Kingsley Ehizibue,kingsley-ehizibue,K. Ehizibue,M,19,189,682,M,609206,EUR,801360000,D,19,19,False,25.0,23.0,,,0.0,15.0,15.0,8.0,12.0,,,6.0,,,,83.0,43.0,7.3,6.0,0.00969891,2,,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0514,,,,,,,,,,,,,,,,,,,,,,,,,,
12501591,home,Udinese,Jaka Bijol,jaka-bijol,J. Bijol,D,15,192,2511,M,886930,EUR,918172800,D,29,29,False,47.0,43.0,10.0,6.0,0.0,29.0,29.0,14.0,18.0,3.0,,6.0,,,,90.0,63.0,7.9,4.0,0.00554502,0,,,5.0,9.0,,9.0,1.0,4.0,,1.0,,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12501591,home,Udinese,Oumar Solet,oumar-solet,O. Solet,D,28,192,1946,M,892979,EUR,949881600,D,28,28,False,54.0,53.0,6.0,5.0,0.0,40.0,40.0,13.0,14.0,2.0,1.0,4.0,,,,90.0,63.0,7.9,2.0,0.00479175,2,,,1.0,1.0,2.0,2.0,,,,,0.2889,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
12501591,home,Udinese,Hassane Kamara,hassane-kamara,H. Kamara,M,11,168,1023,M,351434,EUR,762825600,D,11,11,False,41.0,34.0,4.0,2.0,0.0,19.0,22.0,16.0,23.0,2.0,,4.0,,,,90.0,65.0,7.3,15.0,0.012659,0,,4.0,,4.0,,3.0,1.0,3.0,2.0,,,,,3.0,2.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
12501591,home,Udinese,Arthur Atta,atta-arthur,A. Atta,M,14,189,2507,M,1444690,EUR,1042502400,M,14,14,False,20.0,18.0,2.0,2.0,0.0,6.0,6.0,12.0,15.0,3.0,,2.0,,,,59.0,34.0,6.9,5.0,0.0501223,3,,1.0,,3.0,1.0,,,1.0,1.0,1.0,0.3154,1.0,,1.0,1.0,,,,,1.0,1.0,,1.0,1.0,2.0,0.2392,,,,,,,,,,,
12501591,home,Udinese,Sandi Lovrić,sandi-lovric,S. Lovrić,M,4,180,807,M,575852,EUR,891043200,M,8,8,False,55.0,51.0,4.0,3.0,0.0,22.0,22.0,32.0,42.0,7.0,,7.0,,,,90.0,75.0,7.3,14.0,0.288962,2,,9.0,,3.0,1.0,,,1.0,1.0,1.0,0.0395,1.0,,1.0,3.0,,,,3.0,2.0,1.0,5.0,2.0,,,,1.0,,,,,,,,,,
12501591,home,Udinese,Jesper Karlström,jesper-karlstrom,J. Karlström,M,8,179,729,M,227894,EUR,803692800,M,25,25,False,50.0,43.0,4.0,1.0,0.0,26.0,27.0,17.0,23.0,3.0,1.0,6.0,,,,90.0,55.0,6.7,8.0,0.0253271,0,,,2.0,3.0,,2.0,,,,1.0,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,
12501591,home,Udinese,Jürgen Ekkelenkamp,jurgen-ekkelenkamp,J. Ekkelenkamp,M,32,188,1146,M,904887,EUR,954892800,M,32,32,False,23.0,20.0,,,0.0,11.0,13.0,10.0,12.0,5.0,,5.0,,,,83.0,33.0,6.8,7.0,0.049376,1,,2.0,,2.0,,,1.0,2.0,1.0,,0.0242,,,2.0,3.0,,,,1.0,,,1.0,2.0,,,,1.0,,,,,,,,,,
12501591,home,Udinese,Florian Thauvin,florian-thauvin,F. Thauvin,F,24,179,8040,M,148824,EUR,728006400,F,10,10,False,26.0,20.0,6.0,4.0,0.0,3.0,4.0,18.0,28.0,3.0,1.0,,,,,83.0,49.0,8.1,15.0,0.195208,7,,6.0,,2.0,2.0,,,,2.0,1.0,1.463,,,,1.0,,,,1.0,1.0,1.0,5.0,1.0,1.0,3.0,0.9305,2.0,True,1.0,1.0,,,,,,,
