match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_keyPass,captain,stat_goalAssist,stat_aerialWon,stat_challengeLost,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_fouls,player_firstName,player_lastName,stat_bigChanceMissed,stat_shotOffTarget,stat_dispossessed,stat_wasFouled,stat_onTargetScoringAttempt,stat_goals,stat_punches,stat_totalOffside,stat_hitWoodwork,player_sofascoreId
11373434,home,Gillingham,Glenn Morris,glenn-morris,G. Morris,G,1,183.0,14,M,20214,EUR,440726400,G,1,1,False,27.0,7.0,22.0,2.0,5.0,5.0,2.0,22.0,1.0,9.0,1.0,3.0,90.0,34.0,6.5,20.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11373434,home,Gillingham,Cheye Alexander,cheye-alexander,C. Alexander,D,,180.0,4,M,775097,EUR,789350400,D,2,2,False,18.0,13.0,7.0,4.0,8.0,8.0,8.0,16.0,1.0,4.0,,,90.0,42.0,7.0,14.0,0,6.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
11373434,home,Gillingham,Max Ehmer,max-ehmer,M. Ehmer,D,5,188.0,8,M,144209,EUR,697075200,D,5,5,False,17.0,13.0,4.0,1.0,12.0,13.0,1.0,4.0,,2.0,,,90.0,22.0,6.9,4.0,1,,,2.0,4.0,2.0,,,,1.0,,,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
11373434,home,Gillingham,Shadrach Ogie,shadrach-ogie,S. Ogie,D,22,185.0,29,M,987348,EUR,998784000,D,22,22,False,26.0,17.0,11.0,4.0,11.0,13.0,6.0,13.0,1.0,6.0,,,90.0,38.0,6.8,12.0,1,,,1.0,3.0,1.0,,,,1.0,1.0,2.0,1.0,,,1.0,1.0,,,,1.0,,,1.0,1.0,,,,,,,,
11373434,home,Gillingham,Max Clark,max-clark,M. Clark,D,3,180.0,31,M,836797,EUR,822009600,D,3,3,False,26.0,19.0,6.0,2.0,10.0,11.0,14.0,23.0,,6.0,,,90.0,56.0,8.2,13.0,0,8.0,5.0,1.0,6.0,7.0,,,1.0,4.0,2.0,1.0,2.0,,,,5.0,,7.0,6.0,,,,,,,,,,,,,
11373434,home,Gillingham,Ethan Coleman,ethan-coleman,E. Coleman,M,6,188.0,19,M,970418,EUR,949017600,M,18,18,False,27.0,22.0,6.0,2.0,10.0,11.0,13.0,18.0,1.0,8.0,,,90.0,49.0,7.3,8.0,2,2.0,1.0,,3.0,7.0,,,,2.0,4.0,1.0,,,,1.0,,1.0,5.0,5.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,
11373434,home,Gillingham,Robbie McKenzie,robbie-mckenzie,R. McKenzie,M,14,184.0,18,M,895587,EUR,906681600,M,14,14,False,16.0,13.0,4.0,3.0,6.0,7.0,7.0,9.0,1.0,4.0,,,90.0,33.0,8.4,8.0,2,,,1.0,4.0,6.0,2.0,1.0,,,,1.0,,,,2.0,,,3.0,2.0,,,,,,2.0,,2.0,2.0,,,,
11373434,home,Gillingham,Jayden Clarke,jayden-clarke,J. Clarke,M,14,175.0,29,M,1488359,EUR,989280000,M,17,17,False,19.0,14.0,2.0,,2.0,3.0,12.0,19.0,1.0,7.0,,,84.0,34.0,7.3,9.0,0,3.0,,2.0,6.0,10.0,3.0,3.0,,,,,,,,,3.0,,3.0,2.0,,Jayden Clarke,,,,1.0,4.0,,,,,,
11373434,home,Gillingham,George Lapslie,george-lapslie,G. Lapslie,M,32,180.0,122,M,864504,EUR,873417600,M,7,7,False,10.0,8.0,,,5.0,6.0,3.0,4.0,,5.0,,,71.0,17.0,6.3,4.0,0,,,,5.0,2.0,,,,,,1.0,,,,,,,2.0,,4.0,,,,,1.0,,,,,,,
11373434,home,Gillingham,Dom Jefferies,dom-jefferies,D. Jefferies,M,16,179.0,20,M,994672,EUR,1022025600,M,11,11,False,13.0,8.0,1.0,1.0,1.0,3.0,7.0,10.0,,5.0,,,71.0,22.0,7.4,7.0,1,,,,1.0,2.0,2.0,2.0,1.0,,2.0,1.0,1.0,,1.0,,,,,,1.0,,,,1.0,,,,,,,,
