match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_totalOffside,stat_keyPass,player_firstName,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_ownGoals,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_shotOffTarget,player_lastName,stat_bigChanceCreated,stat_blockedScoringAttempt,player_sofascoreId,stat_clearanceOffLine,stat_goalAssist,stat_hitWoodwork,stat_goals
11408413,home,Sporting Braga,Matheus,matheus,Matheus,G,1,190,1473,M,603946,EUR,711504000,G,1,1,False,True,26.0,23.0,7.0,6.0,22.0,25.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,3.0,4.0,3.0,2.0,90.0,36.0,7.0,3.0,0.00025845,0,-1.5557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408413,home,Sporting Braga,Victor Gómez,victor-gomez,V. Gómez,D,2,169,297,M,877918,EUR,954547200,D,2,2,False,,36.0,30.0,6.0,4.0,17.0,20.0,14.0,19.0,1.0,,4.0,7.0,,,,,,80.0,62.0,7.1,14.0,0.166841,0,,3.0,1.0,1.0,1.0,4.0,5.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11408413,home,Sporting Braga,Serdar Saatçı,serdar-saatci,S. Saatçı,D,15,190,434,M,1084880,EUR,1045180800,D,5,5,False,,68.0,59.0,9.0,4.0,42.0,44.0,17.0,24.0,2.0,,2.0,6.0,,,,,,90.0,79.0,6.7,9.0,0.0614733,1,,,,,3.0,7.0,1.0,1.0,,,,1.0,Serdar Saatci,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0864,0.2063,,,,,,,,,,
11408413,home,Sporting Braga,Sikou Niakaté,sikou-niakate,S. Niakaté,D,4,186,1565,M,868235,EUR,931564800,D,4,4,False,,61.0,52.0,12.0,5.0,37.0,39.0,15.0,22.0,3.0,,1.0,6.0,,,,,,90.0,72.0,6.4,11.0,0.0188103,1,,,,,3.0,6.0,2.0,2.0,1.0,1.0,,,,,,,,,,1.0,2.0,0.0195,,1.0,1.0,,,,,,,,
11408413,home,Sporting Braga,Josafat Mendes,josafat-mendes,J. Mendes,D,2,177,330,M,1133258,EUR,1041292800,D,17,17,False,,17.0,17.0,1.0,1.0,9.0,9.0,8.0,9.0,4.0,1.0,,,,,,,,45.0,28.0,6.3,2.0,0.00431996,0,,1.0,,2.0,,2.0,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,
11408413,home,Sporting Braga,Roger Fernandes,roger-fernandes,R. Fernandes,M,78,170,2450,M,1128560,EUR,1132531200,M,11,11,False,,27.0,22.0,2.0,2.0,9.0,11.0,14.0,22.0,6.0,2.0,1.0,3.0,,,,,,90.0,61.0,7.2,18.0,0.0302957,1,,6.0,1.0,,2.0,12.0,2.0,1.0,,4.0,3.0,1.0,,9.0,6.0,,1.0,,,3.0,1.0,0.0357,0.5551,,,,,,,,,,
11408413,home,Sporting Braga,Rodrigo Zalazar,rodrigo-zalazar,R. Zalazar,M,10,174,2789,M,966575,EUR,934416000,M,16,16,False,,30.0,28.0,4.0,4.0,13.0,15.0,16.0,19.0,3.0,1.0,1.0,1.0,,,,,,64.0,46.0,6.5,10.0,0.0164917,3,,4.0,1.0,,2.0,3.0,,,,2.0,,,,1.0,,1.0,1.0,,,1.0,,0.1695,0.2548,1.0,2.0,,,,,,,,
11408413,home,Sporting Braga,João Moutinho,joao-moutinho,J. Moutinho,M,8,171,1563,M,6562,EUR,526521600,M,28,28,False,,74.0,69.0,5.0,5.0,43.0,43.0,26.0,33.0,6.0,4.0,,13.0,,,,,,90.0,92.0,6.9,9.0,0.152432,2,,2.0,,,,7.0,,6.0,5.0,,,1.0,,1.0,1.0,,,,,,1.0,0.0196,,1.0,,,1.0,2.0,,,,,
11408413,home,Sporting Braga,Bruma,bruma,Bruma,F,7,173,2690,M,97012,EUR,782956800,M,7,7,False,,33.0,19.0,1.0,,5.0,5.0,14.0,29.0,7.0,2.0,,3.0,,,,,,90.0,64.0,8.1,21.0,0.123103,4,,1.0,,,,13.0,,5.0,1.0,,,3.0,,11.0,7.0,,4.0,,,1.0,1.0,0.1983,0.266,,,,1.0,,,,,,
11408413,home,Sporting Braga,Abel Ruíz,abel-ruiz,A. Ruíz,F,9,182,1448,M,826013,EUR,949017600,F,9,9,False,,8.0,6.0,,,2.0,2.0,4.0,6.0,2.0,,1.0,2.0,,,,,,45.0,16.0,6.4,4.0,0.00323564,1,,,,,,2.0,1.0,,,,,,,2.0,1.0,1.0,1.0,,,1.0,,0.2413,,1.0,,,,,,,,,
