match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_totalShots,captain,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_possessionLostCtrl,stat_keyPass,player_firstName,player_lastName,stat_aerialWon,stat_dispossessed,stat_shotOffTarget,stat_lastManTackle,stat_unsuccessfulTouch,stat_fouls,stat_blockedScoringAttempt,stat_errorLeadToAGoal,stat_accurateCross,stat_totalOffside,stat_wonContest,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_bigChanceMissed,stat_bigChanceCreated,stat_goals
12624965,home,Al Orobah,Gaëtan Coucke,gaetan-coucke,G. Coucke,G,98,187.0,160,M,794989,EUR,910051200,G,28,28,False,14.0,14.0,1.0,1.0,0.0,13.0,13.0,1.0,1.0,1.0,6.0,1.0,2.0,5.0,1.0,1.0,90.0,27.0,7.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624965,home,Al Orobah,Hamed Al-Maghati,hamed-taleb,H. Al-Maghati,D,11,175.0,9,M,948603,EUR,742694400,D,11,11,False,31.0,21.0,6.0,1.0,0.0,8.0,10.0,13.0,22.0,1.0,3.0,,,,,,76.0,52.0,6.8,0,True,1.0,1.0,6.0,8.0,2.0,3.0,1.0,5.0,2.0,3.0,14.0,1.0,,,,,,,,,,,,,,,,,,
12624965,home,Al Orobah,Ismael Kandouss,ismael-kandouss,I. Kandouss,D,27,192.0,736,M,934196,EUR,879292800,D,3,3,False,56.0,51.0,13.0,10.0,0.0,26.0,28.0,25.0,28.0,11.0,5.0,,,,,,90.0,76.0,7.6,1,,,,4.0,7.0,2.0,,2.0,3.0,3.0,,7.0,,,,4.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
12624965,home,Al Orobah,Kurt Zouma,kurt-zouma,K. Zouma,D,,190.0,2246,M,139227,EUR,783216000,D,5,5,False,48.0,42.0,8.0,6.0,0.0,29.0,31.0,13.0,17.0,3.0,3.0,,,,,,90.0,53.0,6.6,0,,,1.0,3.0,2.0,,,,,,,6.0,,,,2.0,,,,,2.0,,,,,,,,,,
12624965,home,Al Orobah,Hussain Al-Shuweish,hussain-al-showaish,H. Al-Shuweish,D,33,185.0,17,M,818758,EUR,625881600,D,33,33,False,42.0,27.0,15.0,5.0,0.0,13.0,17.0,14.0,25.0,3.0,6.0,,,,,,84.0,51.0,6.2,1,,,3.0,4.0,3.0,,,1.0,2.0,,1.0,15.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,
12624965,home,Al Orobah,Ibrahim Al-Zubaidi,ibrahim-al-zubaidi,I. Al-Zubaidi,D,,172.0,16,M,793916,EUR,623462400,D,13,13,False,18.0,17.0,4.0,3.0,0.0,8.0,9.0,10.0,11.0,1.0,3.0,,,,,,76.0,34.0,7.3,0,,2.0,,1.0,4.0,,,2.0,3.0,3.0,1.0,4.0,2.0,,,,,,,1.0,2.0,,,1.0,1.0,,,,,,
12624965,home,Al Orobah,Fahad Zubaidi,fahad-zubaidi,F. Zubaidi,M,27,175.0,36,M,1445997,EUR,1010880000,M,29,29,False,19.0,12.0,1.0,,0.0,5.0,10.0,7.0,10.0,,5.0,,,,,,66.0,32.0,7.3,1,,1.0,1.0,2.0,9.0,1.0,4.0,,2.0,2.0,2.0,10.0,,Fahad Zubaidi,,1.0,,1.0,,2.0,,,,,,4.0,,,,,
12624965,home,Al Orobah,Mohammed Al-Qarni,mohammed-al-qarni,M. Al-Qarni,M,,174.0,4,M,148870,EUR,627868800,M,6,6,False,63.0,58.0,3.0,1.0,0.0,31.0,32.0,28.0,32.0,3.0,11.0,,,,,,90.0,77.0,7.0,0,,1.0,,5.0,4.0,1.0,2.0,,2.0,1.0,1.0,8.0,2.0,,,,1.0,,,1.0,2.0,,,1.0,,1.0,1.0,,,,
12624965,home,Al Orobah,Karlo Muhar,karlo-muhar,K. Muhar,M,73,188.0,216,M,897590,EUR,821836800,M,73,73,False,57.0,50.0,11.0,6.0,0.0,20.0,21.0,30.0,36.0,1.0,6.0,,,,,,90.0,72.0,7.2,3,,,,2.0,5.0,,,2.0,2.0,1.0,1.0,12.0,1.0,,,2.0,1.0,1.0,,2.0,1.0,1.0,,,,,,1.0,,,
12624965,home,Al Orobah,Cristian Tello,cristian-tello,C. Tello,M,,178.0,644,M,114157,EUR,681868800,M,37,37,False,26.0,17.0,4.0,1.0,0.0,7.0,8.0,11.0,23.0,,2.0,,,,,,84.0,42.0,7.0,2,,5.0,,3.0,2.0,1.0,1.0,,1.0,,,17.0,3.0,,,,1.0,1.0,,3.0,1.0,,,1.0,1.0,1.0,,1.0,,,
