match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_crossNotClaimed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_aerialLost,stat_challengeLost,stat_outfielderBlock,captain,player_sofascoreId,stat_accurateCross,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_keyPass,stat_wonContest,stat_shotOffTarget,stat_dispossessed,stat_goalAssist,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_blockedScoringAttempt,stat_hitWoodwork,stat_clearanceOffLine
11399412,home,NEC Nijmegen,Jasper Cillessen,,,jasper-cillessen,J. Cillessen,G,22,185.0,1498,M,123865,EUR,609206400,G,1,1,False,31.0,20.0,21.0,10.0,10.0,10.0,10.0,21.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,90.0,37.0,7.3,11.0,0.0,0.0,0.00527151,0,0.8747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11399412,home,NEC Nijmegen,Brayann Pereira,,,brayann-pereira,B. Pereira,D,2,172.0,178,M,1012639,EUR,1053475200,D,2,2,False,22.0,17.0,1.0,,9.0,11.0,8.0,15.0,2.0,5.0,,,,,,85.0,44.0,7.0,10.0,0.0,0.0,0.00382125,0,,4.0,1.0,2.0,5.0,1.0,2.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
11399412,home,NEC Nijmegen,Mathias Ross,,,mathias-ross,M. Ross,D,2,190.0,376,M,918435,EUR,979516800,D,4,4,False,36.0,31.0,6.0,2.0,18.0,19.0,13.0,17.0,7.0,4.0,,,,,,90.0,47.0,7.1,6.0,0.0,0.0,0.00651415,0,,,1.0,3.0,3.0,,,,,2.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,
11399412,home,NEC Nijmegen,Bram Nuytinck,,,bram-nuytinck,B. Nuytinck,D,17,190.0,135,M,70930,EUR,641779200,D,17,17,False,30.0,24.0,3.0,,19.0,20.0,5.0,10.0,7.0,1.0,,,,,,90.0,39.0,6.8,6.0,0.0,0.0,0.00139099,0,,,1.0,5.0,1.0,,1.0,,,,1.0,3.0,1.0,1.0,True,,,,,,,,,,,,,,,
11399412,home,NEC Nijmegen,Calvin Verdonk,,,calvin-verdonk,C. Verdonk,D,24,174.0,14345,M,361780,EUR,862012800,D,24,24,False,47.0,33.0,7.0,1.0,21.0,27.0,14.0,25.0,4.0,13.0,,,,,,90.0,82.0,7.5,22.0,0.0,0.0,0.653658,0,,5.0,2.0,7.0,8.0,1.0,3.0,4.0,4.0,2.0,2.0,1.0,3.0,,,c.verdonk,2.0,1.0,1.0,2.0,,,,,,,,,,
11399412,home,NEC Nijmegen,Mees Hoedemakers,,,mees-hoedemakers,M. Hoedemakers,M,4,181.0,102,M,893748,EUR,887760000,M,6,6,False,35.0,29.0,5.0,3.0,19.0,21.0,10.0,14.0,2.0,8.0,,,,,,90.0,46.0,7.0,6.0,0.0271,0.0,0.033413,1,,,1.0,6.0,3.0,1.0,3.0,1.0,1.0,,3.0,1.0,2.0,1.0,,,,,,,1.0,1.0,,,,,,,,
11399412,home,NEC Nijmegen,Dirk Proper,,,dirk-proper,D. Proper,M,71,167.0,193,M,961685,EUR,1014508800,M,71,71,False,47.0,41.0,3.0,2.0,15.0,19.0,26.0,28.0,,5.0,,,,,,90.0,62.0,6.8,11.0,0.0,0.0,0.0443795,0,,,,3.0,3.0,,,2.0,,1.0,,,1.0,1.0,,,,,3.0,,,,2.0,,,,,,,
11399412,home,NEC Nijmegen,Lars Olden Larsen,,,lars-olden-larsen,L. O. Larsen,M,7,175.0,133,M,877456,EUR,905990400,M,14,14,False,23.0,13.0,4.0,,6.0,8.0,7.0,16.0,1.0,2.0,,,,,,68.0,36.0,7.1,12.0,0.0,0.0,0.0453819,0,,1.0,,3.0,4.0,,1.0,4.0,4.0,,1.0,,2.0,,,,,,1.0,1.0,,,,,,,,,,
11399412,home,NEC Nijmegen,Magnus Mattsson,,,magnus-mattsson,M. Mattsson,M,8,174.0,794,M,896117,EUR,919900800,M,8,8,False,38.0,32.0,1.0,1.0,14.0,17.0,18.0,24.0,,7.0,,,,,,90.0,61.0,9.8,11.0,1.3081,2.8713,0.244105,7,,3.0,,4.0,6.0,3.0,1.0,1.0,1.0,2.0,,1.0,1.0,,,,,1.0,,1.0,3.0,1.0,2.0,1.0,2.0,6.0,2.0,,,
11399412,home,NEC Nijmegen,Sontje Hansen,,,sontje-hansen,S. Hansen,M,27,172.0,611,M,1199057,EUR,1021680000,M,10,10,False,21.0,15.0,1.0,,6.0,11.0,9.0,10.0,,5.0,,,,,,75.0,35.0,6.6,12.0,0.0,0.0,0.0221065,0,,,1.0,7.0,6.0,5.0,1.0,2.0,1.0,,1.0,1.0,,,,,,,,,3.0,,3.0,,,,,,,
