match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_topSpeed,stat_kilometersCovered,stat_numberOfSprints,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_metersCoveredWalkingKm,stat_metersCoveredJoggingKm,stat_metersCoveredRunningKm,stat_metersCoveredHighSpeedRunningKm,stat_metersCoveredSprintingKm,stat_totalCross,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_aerialLost,stat_interceptionWon,stat_fouls,stat_keyPass,stat_dispossessed,stat_accurateCross,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotValueNormalized,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_goals,stat_errorLeadToAShot,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_totalOffside,captain,player_firstName,player_lastName,stat_bigChanceMissed,stat_goodHighClaim,stat_hitWoodwork
14566612,away,Arsenal,William Saliba,william-saliba,W. Saliba,D,2,193,43611,M,WSaliba4,941168,EUR,985392000,D,2,2,False,57.0,51.0,1.0,,0.0,35.0,37.0,16.0,20.0,3.0,1.0,1.0,,,90.0,66.0,6.9,6.0,0.00811305,31.464,9.67617,8.0,144.36029451515,13.0,103.74,34.44,,0,,0.21,0.09,0.25,,2.87,4.68,1.39,0.54,0.19,,,4.0,,2.0,2.0,1.0,1.0,63.048497911706,2.0,2.0,1.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,
14566612,away,Arsenal,Cristhian Mosquera,cristhian-mosquera,C. Mosquera,D,3,191,15886,M,,1144630,EUR,1088294400,D,3,3,False,38.0,35.0,2.0,2.0,0.0,29.0,29.0,6.0,9.0,5.0,5.0,,,,75.0,49.0,6.9,5.0,0.00559112,30.852,7.76309,8.0,60.630533743042,8.0,10.29,11.76,,0,,0.07,0.01,0.41,,2.56,3.63,1.01,0.41,0.15,,1.0,7.0,,1.0,3.0,4.0,,,,3.0,,3.0,,1.0,,,,,,,,1.0,,,,,,,,Cristhian Mosquera,,,,
14566612,away,Arsenal,Myles Lewis-Skelly,lewis-skelly-myles,M. Lewis-Skelly,D,49,178,16221,M,myleslewisskelly,1423711,EUR,1159228800,D,49,49,False,27.0,24.0,2.0,1.0,0.0,12.0,14.0,12.0,13.0,1.0,7.0,,,,90.0,42.0,6.8,5.0,0.0770511,32.004,10.09889,6.0,36.3030989974,4.0,8.19,7.455,,1,,-0.02,0.08,0.39,,2.82,5.28,1.44,0.41,0.16,1.0,,1.0,,1.0,3.0,1.0,,,,1.0,1.0,,1.0,,,,,,1.0,0.0377,0.0,,,,,,,,,Myles Lewis-Skelly,,,,
14566612,away,Arsenal,Mikel Merino,mikel-merino,M. Merino,M,23,188,29360,M,mikelmerino,592010,EUR,835401600,M,23,23,False,40.0,32.0,1.0,,0.0,13.0,15.0,19.0,25.0,7.0,4.0,,,,90.0,53.0,6.4,13.0,0.104636,28.8,12.04721,5.0,57.340759365754,6.0,33.81,19.215,,1,,0.1,0.02,-0.1,,2.54,6.12,2.52,0.75,0.1,,6.0,11.0,2.0,2.0,,1.0,1.0,20.49867861595,1.0,1.0,1.0,4.0,1.0,,,4.0,,,1.0,0.0597,0.01,1.0,,,,,,,,,,,,
14566612,away,Arsenal,Martín Zubimendi,martin-zubimendi,M. Zubimendi,M,36,180,26374,M,martin_zubimendi,966837,EUR,917913600,M,36,36,False,67.0,61.0,2.0,2.0,0.0,30.0,33.0,31.0,34.0,2.0,3.0,,,,90.0,73.0,6.5,8.0,0.0561565,30.276,11.50945,8.0,84.82427708337,13.0,19.845,10.92,,0,,0.08,0.11,-0.13,,2.65,6.06,2.02,0.6,0.18,,1.0,6.0,2.0,,,1.0,1.0,,,,,2.0,2.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,
14566612,away,Arsenal,Eberechi Eze,eberechi-eze,E. Eze,F,10,178,55955,M,eze,864921,EUR,899078400,M,10,10,False,14.0,13.0,,,0.0,8.0,8.0,5.0,6.0,2.0,1.0,1.0,,,64.0,26.0,6.4,6.0,0.184778,30.348,7.7863,7.0,29.731500249958,5.0,-9.45,2.205,,2,,-0.03,0.02,-0.03,,1.92,3.74,1.39,0.58,0.15,2.0,,4.0,,1.0,,1.0,,,,,,1.0,,3.0,,,,1.0,,0.1718,0.0,,1.0,,,0.4842,,,,,,,,
14566612,away,Arsenal,Bukayo Saka,bukayo-saka,B. Saka,F,7,178,182020,M,BSaka7,934235,EUR,999648000,F,7,7,False,34.0,23.0,3.0,1.0,1.0,2.0,2.0,21.0,32.0,7.0,3.0,2.0,,,90.0,60.0,6.9,21.0,0.141059,32.04,10.83484,17.0,214.68419397701,18.0,122.01,21.945,,5,,0.09,0.55,0.15,,2.97,4.92,1.73,0.86,0.36,9.0,1.0,4.0,,1.0,,1.0,,152.21384209269,8.0,,,1.0,3.0,2.0,2.0,4.0,3.0,1.0,2.0,0.2052,-0.81,,2.0,,,0.2781,,1.0,True,,,1.0,,
14566612,away,Arsenal,Gabriel Jesus,gabriel-jesus,G. Jesus,F,9,175,74055,M,GabrielJesus,794839,EUR,860025600,F,9,9,False,16.0,14.0,,,0.0,4.0,4.0,10.0,12.0,4.0,1.0,1.0,,,75.0,28.0,7.6,7.0,0.165364,30.348,8.73003,9.0,67.405623734271,7.0,27.195,18.9,,2,,0.22,-0.73,0.17,,2.5,4.06,1.42,0.57,0.18,1.0,2.0,6.0,,,,,,,,4.0,,1.0,2.0,,,2.0,1.0,,,1.2895,0.51,3.0,2.0,2.0,,1.9078,1.0,1.0,,,,,,
14566612,away,Arsenal,Leandro Trossard,leandro-trossard,L. Trossard,F,19,172,31440,M,leandrotrossard,135666,EUR,786499200,F,19,19,False,14.0,11.0,1.0,1.0,0.0,3.0,3.0,8.0,11.0,4.0,2.0,1.0,,,79.0,30.0,6.7,8.0,0.0724939,31.68,9.54974,10.0,94.751372758552,7.0,45.675,25.935,,3,,0.02,0.27,0.14,,2.69,4.38,1.53,0.7,0.25,3.0,,4.0,1.0,1.0,,2.0,1.0,47.110356547211,2.0,1.0,1.0,,,1.0,1.0,2.0,1.0,2.0,1.0,0.1212,-0.41,1.0,,,,,,,,,,,,1.0
14566612,away,Arsenal,Ben White,benjamin-white,B. White,D,4,186,13872,M,benwhite,846036,EUR,876268800,D,4,4,True,9.0,6.0,3.0,1.0,0.0,2.0,2.0,4.0,7.0,,,,,,26.0,11.0,6.8,4.0,0.00525336,31.392,3.47907,4.0,16.412247848276,2.0,-1.47,5.25,,0,,0.12,-0.08,0.13,,0.9,1.78,0.49,0.23,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
