match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_unsuccessfulTouch,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_duelLost,stat_challengeLost,stat_totalContest,stat_errorLeadToAShot,stat_wasFouled,stat_fouls,stat_totalOffside,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_shotOffTarget,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_dispossessed,stat_wonContest,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_keyPass,stat_onTargetScoringAttempt,stat_bigChanceCreated,player_sofascoreId,stat_goodHighClaim
10434100,home,Trabzonspor,Uğurcan Çakır,ugurcan-cakir,U. Çakır,G,1,192,4886,M,754330,EUR,828662400,G,1,1,False,True,36.0,20.0,23.0,7.0,17.0,19.0,3.0,17.0,1.0,1.0,1.0,9.0,1.0,3.0,5.0,1.0,90.0,51.0,8.2,18.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10434100,home,Trabzonspor,Jens Stryger Larsen,jens-stryger-larsen,J. Stryger Larsen,D,17,180,369,M,44848,EUR,667094400,D,19,19,False,,26.0,23.0,2.0,2.0,14.0,16.0,9.0,10.0,1.0,2.0,2.0,1.0,,,,,69.0,31.0,6.0,4.0,0,,,4.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10434100,home,Trabzonspor,Hüseyin Türkmen,huseyin-turkmen,H. Türkmen,D,4,183,128,M,913994,EUR,883612800,D,4,4,False,,47.0,40.0,6.0,2.0,32.0,33.0,8.0,14.0,1.0,3.0,6.0,2.0,,,,,90.0,58.0,7.3,7.0,0,,,1.0,,,,,1.0,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,
10434100,home,Trabzonspor,Stefano Denswil,stefano-denswil,S. Denswil,D,4,188,263,M,97404,EUR,736732800,D,24,24,False,,41.0,37.0,,,29.0,31.0,8.0,10.0,2.0,4.0,,4.0,,,,,90.0,47.0,7.3,4.0,1,,,1.0,,,,1.0,1.0,,2.0,,1.0,,1.0,,,,,,,,,,,,
10434100,home,Trabzonspor,Eren Elmalı,eren-elmali,E. Elmalı,D,17,180,4102,M,981483,EUR,962928000,D,18,18,False,,31.0,24.0,2.0,,11.0,13.0,14.0,21.0,1.0,5.0,,6.0,,,,,90.0,57.0,6.6,15.0,1,,,5.0,,4.0,,,,,,1.0,1.0,1.0,,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,,,,
10434100,home,Trabzonspor,Manolis Siopis,manolis-siopis,M. Siopis,M,6,168,971,M,136675,EUR,768873600,M,6,6,False,,49.0,46.0,3.0,2.0,26.0,26.0,20.0,23.0,,8.0,2.0,9.0,2.0,,,,90.0,67.0,7.2,7.0,0,,,5.0,2.0,4.0,,3.0,,,,1.0,2.0,,,,,1.0,1.0,3.0,,,1.0,,,,
10434100,home,Trabzonspor,Bruno Peres,bruno-peres,B. Peres,D,13,178,204,M,243175,EUR,636249600,M,33,33,False,,23.0,21.0,2.0,2.0,13.0,13.0,8.0,12.0,,3.0,,2.0,,,,,56.0,36.0,6.8,6.0,0,,,2.0,1.0,1.0,,1.0,,,,2.0,1.0,1.0,,2.0,,,1.0,1.0,,,,,,,
10434100,home,Trabzonspor,Abdülkadir Ömür,abdulkadir-omur,A. Ömür,M,10,168,642,M,826155,EUR,930268800,M,10,10,False,,35.0,31.0,2.0,2.0,11.0,11.0,21.0,25.0,,4.0,1.0,8.0,,,,,88.0,45.0,7.4,5.0,3,,,4.0,2.0,2.0,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,3.0,1.0,,,
10434100,home,Trabzonspor,Anastasios Bakasetas,anastasios-bakasetas,A. Bakasetas,M,11,180,2113,M,114076,EUR,741225600,M,11,11,False,,56.0,41.0,5.0,1.0,23.0,26.0,20.0,38.0,1.0,9.0,1.0,5.0,1.0,,,,90.0,80.0,7.2,24.0,2,,,6.0,2.0,1.0,,4.0,1.0,,,,3.0,1.0,2.0,8.0,2.0,1.0,2.0,1.0,,,2.0,,,,
10434100,home,Trabzonspor,Lazar Marković,lazar-markovic,L. Marković,M,50,175,330,M,98461,EUR,762566400,M,50,50,False,,33.0,26.0,1.0,1.0,10.0,11.0,17.0,24.0,,5.0,,5.0,1.0,,,,90.0,56.0,6.3,15.0,2,,,8.0,3.0,2.0,,2.0,1.0,,,1.0,2.0,1.0,1.0,2.0,1.0,,4.0,1.0,1.0,,1.0,1.0,,,
10434100,home,Trabzonspor,Maximiliano Gómez,maximiliano-gomez,M. Gómez,F,9,186,1052,M,805245,EUR,839980800,F,30,30,False,,13.0,9.0,,,1.0,1.0,9.0,14.0,2.0,8.0,,,1.0,,,,88.0,26.0,7.3,6.0,1,,,12.0,2.0,2.0,,3.0,4.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,6.0,,2.0,,,3.0,,1.0,,
10434100,home,Trabzonspor,Mahmoud Trézéguet,mahmoud-trezeguet,M. Trézéguet,M,7,179,38551,M,295361,EUR,780969600,M,27,27,True,,7.0,4.0,,,,1.0,4.0,8.0,,5.0,,3.0,1.0,,,,34.0,22.0,7.3,7.0,2,,,2.0,,3.0,,,1.0,,,1.0,2.0,1.0,,2.0,,,1.0,3.0,,,,2.0,,mahmoudtrezeguet,
