match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_onTargetScoringAttempt,stat_goals,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,stat_aerialLost,stat_wasFouled,stat_bigChanceCreated,stat_goalAssist,stat_outfielderBlock,stat_bigChanceMissed,stat_shotOffTarget,stat_totalOffside,stat_goodHighClaim,stat_errorLeadToAGoal,stat_blockedScoringAttempt
11409211,home,Estoril Praia,Daniel Figueira,,,daniel-figueira,D. Figueira,G,99,189,80,M,862060,EUR,900892800,G,99,99,False,True,26.0,11.0,18.0,4.0,9.0,13.0,2.0,13.0,2.0,7.0,2.0,2.0,1.0,1.0,90.0,36.0,7.0,15.0,0.0,0.0,0.00051915,0,0.8468,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409211,home,Estoril Praia,Volnei Feltes,,,feltes-volnei,V. Feltes,D,30,188,64,M,1065440,EUR,955756800,D,5,5,False,,37.0,25.0,9.0,4.0,18.0,22.0,7.0,15.0,5.0,5.0,,,,,90.0,64.0,6.9,22.0,0.0,0.0,0.0813296,0,,3.0,9.0,5.0,2.0,3.0,3.0,2.0,1.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,
11409211,home,Estoril Praia,Bernardo Vital,,,vital-bernardo,B. Vital,D,13,187,192,M,1065442,EUR,978048000,D,3,3,False,,25.0,24.0,2.0,2.0,18.0,18.0,6.0,7.0,3.0,,,,,,45.0,30.0,6.6,1.0,0.0,0.0,0.0017683,0,,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
11409211,home,Estoril Praia,Eliaquim Mangala,,,eliaquim-mangala,E. Mangala,D,,188,392,M,42892,EUR,666403200,D,22,22,False,,38.0,34.0,5.0,3.0,26.0,29.0,8.0,9.0,8.0,3.0,,,,,90.0,52.0,7.8,4.0,0.8218,0.9873,0.00496974,1,,2.0,1.0,3.0,,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,
11409211,home,Estoril Praia,Tiago Araújo,,,tiago-araujo,T. Araújo,D,20,184,265,M,997024,EUR,985651200,D,78,78,False,,36.0,27.0,8.0,1.0,16.0,17.0,12.0,23.0,5.0,4.0,,,,,90.0,66.0,7.1,17.0,0.0,0.0,0.0125735,0,,1.0,2.0,5.0,1.0,1.0,1.0,2.0,,2.0,,,,,4.0,1.0,2.0,2.0,,,,,,,,,,,
11409211,home,Estoril Praia,Ivan Pavlić,,,ivan-pavlic,I. Pavlić,M,14,185,97,M,1103764,EUR,1005350400,M,28,28,False,,10.0,5.0,1.0,,5.0,6.0,,4.0,1.0,1.0,,,,,39.0,17.0,6.3,7.0,0.0,0.0,3.413e-05,0,,,5.0,2.0,1.0,1.0,,1.0,,,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,,
11409211,home,Estoril Praia,Jordan Holsgrove,,,jordan-holsgrove,J. Holsgrove,M,10,180,223,M,920684,EUR,936921600,M,8,8,False,,59.0,56.0,8.0,6.0,38.0,39.0,18.0,24.0,1.0,5.0,,,,,90.0,70.0,7.7,8.0,0.0,0.0,0.214429,0,,,6.0,3.0,,,1.0,2.0,2.0,,2.0,1.0,,,4.0,,1.0,,3.0,1.0,1.0,,,,,,,,
11409211,home,Estoril Praia,Rafik Guitane,,,rafik-guitane,R. Guitane,F,99,170,2125,M,826210,EUR,927676800,M,10,10,False,,20.0,13.0,2.0,2.0,5.0,6.0,8.0,14.0,,5.0,,,,,82.0,38.0,6.8,14.0,0.0,0.0,0.00454631,0,,,6.0,7.0,,3.0,1.0,,,1.0,,,,,,,7.0,4.0,,3.0,,,,,,,,,
11409211,home,Estoril Praia,Joao Marques,,,marques-joao,J. Marques,M,11,179,304,M,1087321,EUR,1013558400,M,33,33,False,,23.0,22.0,,,7.0,8.0,15.0,15.0,,6.0,,,,,90.0,39.0,8.3,4.0,0.161,0.0826,0.430345,1,,,3.0,9.0,1.0,2.0,,4.0,3.0,,1.0,3.0,1.0,,,,1.0,1.0,,4.0,2.0,1.0,1.0,,,,,,
11409211,home,Estoril Praia,Heriberto Tavares,,,heriberto-tavares,H. Tavares,F,91,180,195,M,845789,EUR,856310400,M,91,91,False,,9.0,5.0,1.0,,3.0,3.0,2.0,8.0,,,,,,,39.0,17.0,6.0,8.0,0.2854,0.0,0.00060152,1,,,5.0,3.0,3.0,1.0,,2.0,,,,,,,2.0,,1.0,,,1.0,,,,1.0,1.0,1.0,,,
