match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_accurateCross,stat_aerialLost,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_shotOffTarget,stat_goals,stat_wasFouled,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_penaltyWon,stat_totalOffside,stat_penaltyConceded,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_punches,stat_outfielderBlock
12512903,home,FC Porto,Diogo Costa,diogo-costa,D. Costa,G,99,186,12694,M,diogomcosta99,843115,EUR,937699200,G,99,99,False,True,32.0,30.0,5.0,3.0,0.0,29.0,30.0,1.0,2.0,9.0,1.0,90.0,38.0,7.0,2.0,0.00511576,0,0.5446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12512903,home,FC Porto,Martim Fernandes,martim-fernandes,M. Fernandes,D,52,181,1999,M,,1142585,EUR,1137542400,D,52,52,False,,56.0,49.0,3.0,1.0,0.0,14.0,15.0,35.0,44.0,3.0,,90.0,84.0,7.6,15.0,0.0835959,0,,,,3.0,1.0,3.0,7.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12512903,home,FC Porto,Zé Pedro,ze-pedro,Z. Pedro,D,32,187,663,M,,945448,EUR,865555200,D,97,97,False,,104.0,93.0,3.0,1.0,0.0,50.0,52.0,44.0,53.0,3.0,,90.0,109.0,7.3,11.0,0.0843887,0,,,,1.0,3.0,3.0,4.0,1.0,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12512903,home,FC Porto,Otávio,otavio,Otávio,D,6,188,1431,M,,1069159,EUR,1019347200,D,4,4,False,,95.0,92.0,5.0,3.0,0.0,49.0,52.0,43.0,43.0,3.0,,90.0,103.0,7.3,4.0,0.0302901,1,,,,,1.0,5.0,5.0,,,2.0,1.0,,1.0,3.0,1.0,,1.0,,,3.0,1.0,0.0217,0.0996,,,,,,,,,,,,,
12512903,home,FC Porto,Wenderson Galeno,wenderson-galeno,W. Galeno,M,13,178,4340,M,w_galeno90,845754,EUR,877478400,D,13,13,False,,60.0,55.0,4.0,3.0,0.0,13.0,13.0,43.0,49.0,5.0,,90.0,86.0,8.1,11.0,0.681561,2,,,,2.0,,8.0,5.0,,,5.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,0.8206,0.7793,1.0,1.0,1.0,1.0,,,,,,,,,
12512903,home,FC Porto,Stephen Eustaquio,stephen-eustaquio,S. Eustaquio,M,6,178,1808,M,,886223,EUR,851126400,M,6,6,False,,35.0,30.0,1.0,,0.0,15.0,15.0,15.0,21.0,1.0,,61.0,44.0,6.9,8.0,0.0467953,0,,,,1.0,,3.0,6.0,,1.0,1.0,,,,4.0,2.0,,1.0,1.0,,,,,,,,,2.0,,,,,,,,,
12512903,home,FC Porto,Alan Varela,alan-varela,A. Varela,M,22,177,5689,M,alan_varela01,1066560,EUR,994204800,M,22,22,False,,92.0,85.0,4.0,2.0,0.0,24.0,26.0,61.0,69.0,3.0,,90.0,99.0,7.5,10.0,0.464344,1,,Alan Varela,,3.0,,3.0,1.0,,,,,1.0,,1.0,,,2.0,2.0,,1.0,,0.0627,,,1.0,,,,,,,,,,,
12512903,home,FC Porto,Gonçalo Borges,goncalo-borges,G. Borges,F,11,184,1083,M,,979221,EUR,985824000,M,70,70,False,,12.0,12.0,,,1.0,2.0,2.0,12.0,15.0,3.0,,61.0,28.0,7.2,10.0,0.597974,3,,,,5.0,,5.0,,,2.0,2.0,,,,,,3.0,1.0,4.0,2.0,,,0.1515,,1.0,,,,3.0,,,,,,,,
12512903,home,FC Porto,Nico González,nico-gonzalez,N. González,M,14,186,19859,M,nico14,954056,EUR,1010016000,M,16,16,False,,59.0,58.0,,,0.0,7.0,7.0,51.0,52.0,3.0,,83.0,67.0,7.4,2.0,0.127876,3,,,,,,4.0,3.0,,,,,1.0,,2.0,,1.0,2.0,,,3.0,,0.9185,,,2.0,,1.0,1.0,1.0,1.0,,,,,,
12512903,home,FC Porto,Iván Jaime,ivan-jaime,I. Jaime,M,11,180,1015,M,,951986,EUR,969926400,M,17,17,False,,32.0,30.0,,,0.0,6.0,6.0,25.0,29.0,1.0,,83.0,54.0,7.4,14.0,0.228501,3,,,,3.0,1.0,6.0,3.0,,2.0,4.0,1.0,,,1.0,1.0,4.0,1.0,3.0,1.0,,1.0,0.2369,0.8233,,,1.0,1.0,2.0,,,,,,,,
12512903,home,FC Porto,Danny Namaso,danny-namaso,D. Namaso,F,19,182,4899,M,,867440,EUR,967420800,F,19,19,False,,23.0,20.0,1.0,1.0,0.0,5.0,5.0,15.0,18.0,1.0,,75.0,32.0,7.4,4.0,0.00799548,3,,,,,1.0,4.0,2.0,,1.0,,,,,,,,3.0,,,,2.0,0.8667,0.7104,,1.0,1.0,1.0,,,,,,,,,
12512903,home,FC Porto,Vasco Sousa,vasco-sousa,V. Sousa,M,15,169,899,M,,1006995,EUR,1049328000,M,15,15,True,,18.0,15.0,,,0.0,3.0,4.0,12.0,14.0,4.0,,29.0,21.0,6.7,3.0,0.189153,1,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,0.0493,,,,,2.0,1.0,,,,,,,,
12512903,home,FC Porto,Pepê,pepe,Pepê,F,11,175,5029,M,pepe,882664,EUR,856742400,F,11,11,True,,18.0,17.0,3.0,2.0,0.0,3.0,3.0,14.0,15.0,1.0,,29.0,18.0,6.9,1.0,0.0636769,0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,
12512903,home,FC Porto,Fran Navarro,fran-navarro,F. Navarro,F,39,179,1028,M,,914772,EUR,886464000,F,21,21,True,,3.0,3.0,,,0.0,1.0,1.0,2.0,2.0,,,15.0,5.0,6.2,1.0,0.0136911,1,,,,,,,,,,,,,,,,1.0,,,,,,0.3433,,,1.0,,,,1.0,,,,,,,
12512903,home,FC Porto,André Franco,andre-franco,A. Franco,M,10,177,622,M,,851286,EUR,892339200,M,20,20,True,,18.0,16.0,1.0,,0.0,2.0,2.0,14.0,16.0,2.0,,13.0,23.0,6.6,5.0,0.036042,0,,,,,,3.0,,,2.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
12512903,home,FC Porto,Evanilson,evanilson,Evanilson,F,9,181,7635,M,evanilsonlima99,998490,EUR,939168000,F,30,30,True,,3.0,2.0,,,0.0,2.0,2.0,,1.0,,,13.0,7.0,6.4,4.0,2.598e-05,0,,,,,,3.0,1.0,,,1.0,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,
12512903,home,FC Porto,Cláudio Ramos,claudio-ramos,C. Ramos,G,14,183,1032,M,,116372,EUR,690249600,G,14,14,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12512903,home,FC Porto,David Carmo,david-carmo,D. Carmo,D,16,196,2256,M,,892235,EUR,932342400,D,26,26,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12512903,home,FC Porto,João Mário,joao-mario,J. Mário,D,17,178,3148,M,,902031,EUR,946857600,D,23,23,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12512903,home,FC Porto,Marko Grujić,marko-grujic,M. Grujić,M,4,190,1584,M,,280835,EUR,829353600,M,8,8,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
