match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,captain,stat_aerialLost,stat_goals,stat_totalClearance,player_firstName,stat_aerialWon,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_wasFouled,player_lastName,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_totalOffside,stat_lastManTackle,stat_savedShotsFromInsideTheBox,stat_punches,stat_outfielderBlock,stat_errorLeadToAShot
12450233,home,Paris Saint-Germain,Gianluigi Donnarumma,gianluigi-donnarumma,G. Donnarumma,G,25,196,69953,M,donnarumma,824509,EUR,919900800,G,1,1,False,21.0,17.0,5.0,2.0,0.0,16.0,18.0,1.0,3.0,3.0,1.0,90.0,24.0,6.5,4.0,0.00075703,0,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450233,home,Paris Saint-Germain,Achraf Hakimi,hakimi-achraf,A. Hakimi,D,2,181,124757,M,AHakimi,814594,EUR,910137600,D,2,2,False,54.0,51.0,,,0.0,17.0,17.0,34.0,39.0,6.0,,62.0,69.0,7.3,8.0,0.139936,2,,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.1616,0.166,3.0,,,,,,,,,,,,,,,,,,,,
12450233,home,Paris Saint-Germain,Marquinhos,marquinhos,Marquinhos,D,5,183,36538,M,marquinhosm5,155995,EUR,768873600,D,5,5,False,94.0,88.0,11.0,8.0,0.0,68.0,73.0,20.0,22.0,5.0,,90.0,100.0,7.4,8.0,0.00636219,1,,1.0,2.0,,,,,,1.0,,,,,0.3506,0.965,,True,2.0,1.0,1.0,,,,,,,,,,,,,,,,
12450233,home,Paris Saint-Germain,Lucas Beraldo,lucas-beraldo,L. Beraldo,D,4,182,17502,M,lberaldo,1108441,EUR,1069632000,D,35,35,False,93.0,93.0,1.0,1.0,0.0,80.0,80.0,13.0,13.0,4.0,,90.0,105.0,7.3,1.0,0.006381,2,,,2.0,6.0,,,,,,,,1.0,1.0,0.1693,,,,1.0,,4.0,Lucas Beraldo,2.0,2.0,3.0,3.0,1.0,,,,,,,,,,
12450233,home,Paris Saint-Germain,Nuno Mendes,nuno-mendes,N. Mendes,D,25,180,37370,M,nunomendes_5,989768,EUR,1024444800,D,25,25,False,55.0,51.0,5.0,3.0,0.0,29.0,30.0,22.0,25.0,7.0,,62.0,72.0,7.2,5.0,0.160257,2,,,3.0,5.0,2.0,2.0,1.0,,,1.0,1.0,,,0.0545,,1.0,,,,1.0,,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,
12450233,home,Paris Saint-Germain,Désiré Doué,desire-doue,D. Doué,F,14,181,91970,M,DD14,1154605,EUR,1117756800,M,14,14,False,44.0,39.0,1.0,1.0,1.0,14.0,14.0,26.0,34.0,8.0,,75.0,66.0,8.7,15.0,0.569746,1,,4.0,4.0,7.0,,1.0,,,1.0,,1.0,5.0,1.0,0.0903,0.5115,3.0,,1.0,1.0,,Désiré Doué,1.0,,4.0,1.0,2.0,,1.0,1.0,1.0,,,,,,
12450233,home,Paris Saint-Germain,Fabián Ruiz,fabian-ruiz,F. Ruiz,M,8,189,21859,M,fabianruiz52,784655,EUR,828489600,M,8,8,False,70.0,68.0,3.0,3.0,0.0,39.0,40.0,29.0,30.0,7.0,,90.0,78.0,7.4,2.0,0.193283,1,,,1.0,3.0,1.0,2.0,2.0,,,1.0,,,,0.0459,,2.0,,,,1.0,,,,1.0,1.0,,,,,,,,,,,
12450233,home,Paris Saint-Germain,João Neves,joao-neves,J. Neves,M,87,174,37142,M,joao_neves,1190933,EUR,1096243200,M,87,87,False,38.0,35.0,1.0,1.0,1.0,20.0,21.0,15.0,17.0,4.0,,63.0,54.0,7.8,6.0,0.317169,3,,,4.0,3.0,1.0,3.0,2.0,,1.0,1.0,3.0,1.0,,0.4376,0.5826,2.0,,1.0,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,
12450233,home,Paris Saint-Germain,Ousmane Dembélé,ousmane-dembele,O. Dembélé,F,10,178,239383,M,ODembélé,818244,EUR,863654400,F,10,10,False,34.0,26.0,2.0,2.0,1.0,5.0,6.0,27.0,38.0,2.0,,63.0,62.0,8.9,19.0,0.545071,5,,10.0,7.0,2.0,1.0,4.0,1.0,,3.0,1.0,1.0,1.0,,0.6119,1.1521,5.0,,,1.0,,,,1.0,,,1.0,,6.0,3.0,,1.0,,,,,
12450233,home,Paris Saint-Germain,Gonçalo Ramos,goncalo-ramos,G. Ramos,F,9,185,23725,M,goncaloramos88,934510,EUR,992995200,F,9,9,False,27.0,21.0,,,0.0,9.0,10.0,12.0,17.0,1.0,,90.0,40.0,6.8,9.0,0.125381,5,,,4.0,5.0,,2.0,,2.0,3.0,,,1.0,1.0,0.7977,1.4376,1.0,,1.0,,,,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,
