match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_hitWoodwork,stat_fouls,stat_expectedGoals,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_shotValueNormalized,player_sofascoreId,captain,stat_aerialLost,stat_bigChanceMissed,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_totalTackle,stat_wonTackle,stat_outfielderBlock,player_lastName,stat_accurateCross,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_penaltyWon,stat_totalOffside,stat_errorLeadToAShot,stat_penaltyFaced,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded
14771918,home,Al-Qadsiah,Koen Casteels,koen-casteels,K. Casteels,G,1,197.0,1420,M,70987,EUR,709430400.0,G,1,1,False,34.0,27.0,13.0,7.0,0.0,27.0,30.0,4.0,1.0,1.0,12.0,1.0,1.0,1.0,3.0,90.0,48.0,7.3,7.0,0.00019986,44.952387435249,7.0,10.08,6.615,0.0519,0,0.0809,0.1,0.02,0.25,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14771918,home,Al-Qadsiah,Mohammed Abu Al-Shamat,mohammed-waheeb-abu-al-shamat,M. A. Al-Shamat,M,2,170.0,199,M,1804369,EUR,1029024000.0,D,2,2,False,56.0,43.0,7.0,4.0,0.0,19.0,21.0,35.0,,2.0,2.0,,,,,78.0,69.0,6.9,16.0,0.0487425,163.12225418291,19.0,77.49,25.095,,2,,0.3,0.34,-0.06,,Mohammed Waheeb Abu Al-Shamat,24.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0716,55.563778607154,3.0,1.0,-0.54,,,,,,,,,,,,,,,,,,,,,,,
14771918,home,Al-Qadsiah,Nacho Fernández,nacho-fernandez,N. Fernández,D,6,180.0,14931,M,69404,EUR,632620800.0,D,6,6,False,49.0,43.0,3.0,1.0,0.0,30.0,33.0,16.0,5.0,7.0,4.0,3.0,,,,90.0,64.0,7.2,8.0,0.0100944,66.169038988089,11.0,22.89,9.45,,1,,0.14,0.07,0.32,,,13.0,,4.0,,,,,,1.0,,,2.0,0.2333,,,,-0.33,nachofdez90,True,2.0,1.0,8.0,1.0,2.0,,,,,,,,,,,,,,,,
14771918,home,Al-Qadsiah,Gastón Álvarez,gaston-alvarez,G. Álvarez,D,17,184.0,492,M,980578,EUR,953856000.0,D,17,17,False,49.0,49.0,,,0.0,40.0,40.0,9.0,2.0,6.0,2.0,1.0,,,,90.0,69.0,7.5,1.0,0.00232514,54.701337196271,11.0,11.97,4.935,,0,,0.16,0.03,0.39,,,9.0,,2.0,,1.0,,,,,,,1.0,,,,,,,,,,9.0,1.0,,3.0,3.0,,,,,,,,,,,,,,
14771918,home,Al-Qadsiah,Yasir Al-Shahrani,yasir-al-shahrani,Y. Al-Shahrani,D,12,171.0,762,M,160923,EUR,706752000.0,D,12,12,False,59.0,50.0,,,0.0,27.0,30.0,29.0,1.0,2.0,3.0,,,,,69.0,71.0,7.1,11.0,0.00857123,100.66832171395,14.0,67.2,15.96,,0,,0.14,0.06,0.33,,,23.0,,1.0,1.0,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
14771918,home,Al-Qadsiah,Christopher Baah,christopher-baah,C. Baah,M,22,172.0,2658,M,1477662,EUR,1102982400.0,D,22,22,False,37.0,34.0,2.0,2.0,0.0,14.0,14.0,23.0,,3.0,5.0,2.0,,,,69.0,58.0,6.7,12.0,0.206637,89.494243591675,13.0,28.77,11.025,,2,,0.32,0.1,0.2,,Christopher Baah,20.0,2.0,7.0,,3.0,4.0,1.0,,1.0,,,1.0,0.6656,14.333412747842,1.0,1.0,-0.55,,,,2.0,2.0,,2.0,,,,,1.0,1.0,0.3318,,,,,,,,,
14771918,home,Al-Qadsiah,Nahitan Nández,nahitan-nandez,N. Nandez,M,8,175.0,1910,M,589620,EUR,820108800.0,M,8,8,False,61.0,50.0,5.0,2.0,0.0,26.0,27.0,34.0,,5.0,4.0,4.0,,,,84.0,81.0,8.1,16.0,0.186158,248.29645235461,24.0,105.42,23.73,,3,,0.43,0.15,0.14,,,24.0,3.0,7.0,,,4.0,1.0,,1.0,,,2.0,0.1493,41.718887494079,2.0,,0.54,,,2.0,,1.0,1.0,,,,,,1.0,2.0,0.2117,1.0,,,,,,,,
14771918,home,Al-Qadsiah,Julian Weigl,julian-weigl,J. Weigl,M,5,186.0,1193,M,237068,EUR,810518400.0,M,5,5,False,72.0,65.0,9.0,7.0,0.0,29.0,31.0,41.0,1.0,5.0,9.0,2.0,,,,90.0,83.0,8.4,8.0,0.0456692,76.580228581611,13.0,2.73,3.675,,0,,0.58,-0.23,0.21,,,36.0,,2.0,1.0,,1.0,,,,,,,,,,2.0,,,,,,3.0,2.0,,2.0,1.0,,,,,,,1.0,,,,,,,
14771918,home,Al-Qadsiah,Musab Al Juwayr,musab-fahd-aljuwayr,M. A. Juwayr,M,10,175.0,850,M,1106234,EUR,1056067200.0,M,10,10,False,80.0,68.0,7.0,4.0,2.0,22.0,24.0,56.0,,4.0,8.0,,,,,90.0,100.0,8.1,22.0,0.687392,134.38907665112,21.0,56.805,16.38,,2,,0.58,0.26,0.15,,Musab Fahz Aljuwayr,46.0,7.0,2.0,,1.0,2.0,1.0,2.0,1.0,1.0,,,0.3672,30.890681909605,3.0,5.0,0.01,,,,1.0,,1.0,2.0,3.0,2.0,,,1.0,,,,,,,,,,,
14771918,home,Al-Qadsiah,Julián Quiñones,julian-quinones,J. Quiñones,F,33,180.0,6539,M,843114,EUR,859161600.0,F,33,33,False,31.0,24.0,1.0,,0.0,12.0,13.0,18.0,1.0,5.0,4.0,3.0,,,,90.0,51.0,7.5,12.0,0.0276334,33.242793628208,6.0,5.04,4.2,,3,,-0.43,0.27,0.0,,,12.0,1.0,3.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,0.1984,6.721753417078,1.0,,0.48,julianquinones33,,,,1.0,1.0,3.0,,,,,,2.0,0.9758,1.0,,1.0,,,,,,
