match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_outfielderBlock,stat_aerialLost,stat_totalContest,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_wonContest,stat_penaltyConceded,stat_totalOffside,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_errorLeadToAShot,stat_expectedGoalsOnTarget,stat_goals,player_firstName,player_lastName,stat_bigChanceMissed,stat_errorLeadToAGoal,stat_punches,stat_penaltyWon
12499652,home,Bayer 04 Leverkusen,Lukáš Hrádecký,lukas-hradecky,L. Hrádecký,G,1,190,2547,M,15219,EUR,627868800,G,1,1,False,True,12.0,10.0,4.0,2.0,0.0,10.0,10.0,2.0,3.0,2.0,1.0,3.0,90.0,18.0,6.7,2.0,7.409e-05,0,-0.0421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499652,home,Bayer 04 Leverkusen,Jonathan Tah,jonathan-tah,J. Tah,D,4,194,9454,M,227672,EUR,823996800,D,4,4,False,,74.0,68.0,1.0,,0.0,20.0,22.0,54.0,3.0,,,,90.0,94.0,6.9,8.0,0.189752,2,,jonatah,50.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0756,,,,,,,,,,,,,,,,,,,,
12499652,home,Bayer 04 Leverkusen,Robert Andrich,robert-andrich,R. Andrich,M,8,189,3316,M,168903,EUR,780192000,D,8,8,False,,76.0,72.0,7.0,6.0,0.0,19.0,21.0,55.0,8.0,,,,70.0,85.0,7.5,4.0,0.0597004,1,,,53.0,,,2.0,1.0,6.0,1.0,,1.0,,,3.0,3.0,2.0,1.0,0.0892,1.0,,,,,,,,,,,,,,,,,,,
12499652,home,Bayer 04 Leverkusen,Edmond Tapsoba,edmond-tapsoba,E. Tapsoba,D,12,193,33838,M,883262,EUR,917913600,D,12,12,False,,100.0,94.0,3.0,3.0,0.0,21.0,23.0,77.0,7.0,,,,90.0,116.0,7.4,10.0,0.151963,1,,edmondtapsoba,73.0,,,3.0,4.0,3.0,,,,1.0,2.0,2.0,,,,0.0219,1.0,2.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,
12499652,home,Bayer 04 Leverkusen,Jeremie Frimpong,jeremie-frimpong,J. Frimpong,M,30,171,32709,M,970361,EUR,976406400,M,30,30,False,,23.0,20.0,2.0,,0.0,4.0,4.0,24.0,4.0,,,,77.0,50.0,6.1,14.0,0.173994,0,,jeremie_frimpong,20.0,5.0,4.0,1.0,9.0,4.0,,2.0,,,,1.0,1.0,1.0,1.0,,,,7.0,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,
12499652,home,Bayer 04 Leverkusen,Granit Xhaka,granit-xhaka,G. Xhaka,M,34,185,15706,M,117777,EUR,717552000,M,34,34,False,,119.0,111.0,10.0,9.0,0.0,13.0,14.0,109.0,8.0,,,,90.0,136.0,7.7,14.0,0.294435,1,,Granit_Xhaka,98.0,4.0,,,,2.0,,,,1.0,1.0,,1.0,,1.0,0.0212,,,,,,1.0,,,,,,,,,,,,,,
12499652,home,Bayer 04 Leverkusen,Exequiel Palacios,exequiel-palacios,E. Palacios,M,25,177,12684,M,822600,EUR,907545600,M,25,25,False,,108.0,101.0,1.0,,2.0,21.0,22.0,86.0,5.0,,,,70.0,113.0,8.5,8.0,0.311866,0,,exepalaciosok,80.0,,,,2.0,,,1.0,,,,,,,,,,,,,1.0,6.0,,,1.0,2.0,,,,,,,,,,
12499652,home,Bayer 04 Leverkusen,Alejandro Grimaldo,alejandro-grimaldo,A. Grimaldo,M,20,171,13099,M,177177,EUR,811555200,M,20,20,False,,91.0,83.0,2.0,,0.0,7.0,10.0,94.0,6.0,,,,90.0,124.0,8.1,21.0,0.439968,4,,grimaldo35,80.0,13.0,4.0,,2.0,5.0,1.0,,1.0,2.0,,,3.0,1.0,1.0,0.1934,,1.0,1.0,4.0,,2.0,1.0,,,1.0,1.0,1.0,0.0824,,,,,,,
12499652,home,Bayer 04 Leverkusen,Jonas Hofmann,jonas-hofmann,J. Hofmann,F,7,176,2115,M,142390,EUR,711072000,F,7,7,False,,28.0,26.0,,,0.0,4.0,4.0,24.0,1.0,,,,60.0,36.0,7.7,4.0,0.218122,4,,,22.0,,,,1.0,1.0,,,,2.0,,,,,1.0,0.3232,,,,1.0,1.0,1.0,,,,,2.0,,0.639,1.0,,,,,,
12499652,home,Bayer 04 Leverkusen,Florian Wirtz,florian-wirtz,F. Wirtz,F,7,175,148971,M,1019322,EUR,1051920000,F,10,10,False,,95.0,86.0,2.0,2.0,0.0,10.0,11.0,88.0,6.0,,,,90.0,126.0,7.8,23.0,0.394635,5,,FWirtz,76.0,4.0,,1.0,11.0,7.0,,3.0,,3.0,,,1.0,1.0,1.0,0.2327,,3.0,9.0,2.0,,1.0,4.0,,,,2.0,,0.1452,,,,,,,
