match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_outfielderBlock,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,stat_dispossessed,stat_totalContest,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_keyPass,stat_bigChanceCreated,stat_accurateCross,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_penaltyWon,stat_totalOffside,stat_penaltyFaced,stat_lastManTackle,stat_penaltyConceded
14572633,home,FC Porto,Diogo Costa,diogo-costa,D. Costa,G,99,186,12685,M,diogomcosta99,843115,EUR,937699200,G,99,99,False,True,36.0,27.0,15.0,6.0,0.0,24.0,25.0,3.0,11.0,1.0,11.0,2.0,1.0,2.0,2.0,90.0,48.0,6.6,11.0,0.00089834,0.0363,0,-0.4803,0.05,0.01,-0.05,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572633,home,FC Porto,Martim Fernandes,martim-fernandes,M. Fernandes,D,52,181,2004,M,,1142585,EUR,1137542400,D,52,52,False,,19.0,16.0,,,0.0,11.0,13.0,5.0,6.0,3.0,1.0,,,,,45.0,30.0,6.3,6.0,0.0057615,,0,,-0.05,0.01,-0.14,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14572633,home,FC Porto,Jan Bednarek,jan-bednarek,J. Bednarek,D,5,189,7025,M,janbednarek_,286085,EUR,829267200,D,5,5,False,,39.0,35.0,1.0,,0.0,20.0,21.0,15.0,18.0,2.0,3.0,,,,,45.0,41.0,6.5,4.0,0.00999674,,0,,0.06,0.23,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572633,home,FC Porto,Dominik Prpić,dominik-prpic,D. Prpić,D,21,188,2249,M,,1146484,EUR,1084924800,D,21,21,False,,60.0,54.0,4.0,2.0,0.0,27.0,29.0,27.0,31.0,6.0,3.0,,,,,90.0,76.0,7.2,6.0,0.0179457,,2,,0.22,0.38,-0.05,,,,,3.0,3.0,4.0,8.0,,,1.0,1.0,1.0,4.0,2.0,1.0,2.0,0.0559,-0.15,,,,,,,,,,,,,,,,,
14572633,home,FC Porto,Zaidu Sanusi,zaidu-sanusi,Z. Sanusi,D,12,182,2628,M,,987510,EUR,866160000,D,12,12,False,,46.0,42.0,,,0.0,20.0,22.0,22.0,24.0,,8.0,,,,,90.0,63.0,5.8,10.0,0.0137959,,2,,0.05,-0.2,-0.39,,,,1.0,,1.0,7.0,3.0,2.0,,2.0,,,2.0,1.0,,1.0,0.0453,-0.25,2.0,2.0,1.0,1.0,,,,,,,,,,,,,
14572633,home,FC Porto,Stephen Eustaquio,stephen-eustaquio,S. Eustaquio,M,46,178,1809,M,,886223,EUR,851126400,M,6,6,False,,41.0,33.0,3.0,1.0,0.0,13.0,14.0,20.0,27.0,,1.0,,,,,90.0,48.0,6.6,8.0,0.0103341,,0,,0.08,0.05,-0.18,,,,,,,4.0,4.0,3.0,,,,,2.0,1.0,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,
14572633,home,FC Porto,Pablo Rosario,pablo-rosario,P. Rosario,M,13,188,1205,M,,804472,EUR,852595200,M,13,13,False,,58.0,47.0,8.0,3.0,0.0,12.0,15.0,35.0,43.0,2.0,8.0,,,,,90.0,67.0,7.0,11.0,0.132654,,0,,0.27,0.41,-0.16,,,,,,1.0,6.0,4.0,4.0,1.0,,,1.0,3.0,1.0,,2.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,
14572633,home,FC Porto,Rodrigo Mora,mora-rodrigo,R. Mora,M,86,168,13992,M,,1410240,EUR,1178323200,M,86,86,False,,19.0,13.0,,,0.0,7.0,10.0,6.0,9.0,3.0,5.0,,,,,90.0,42.0,7.8,14.0,0.162932,,4,,0.23,0.31,-0.11,,Rodrigo Mora,,4.0,,1.0,4.0,6.0,1.0,,3.0,,,4.0,3.0,,1.0,1.146,0.49,2.0,1.0,1.0,3.0,4.0,,1.0,1.0,2.0,1.0,1.0,0.9952,,,,,
14572633,home,FC Porto,William Gomes,william-gomes,W. Gomes,F,7,171,4704,M,,1639250,EUR,1142380800,F,7,7,False,,10.0,7.0,2.0,1.0,0.0,4.0,4.0,3.0,6.0,,,,,,,61.0,27.0,6.9,13.0,0.0376891,,3,,0.02,0.03,-0.01,,William Gomes Carvalho Santos,,4.0,,,3.0,1.0,,,,1.0,,,,,1.0,0.8277,0.31,1.0,2.0,,4.0,,,,1.0,,2.0,1.0,0.7457,,,,,
14572633,home,FC Porto,Deniz Gül,deniz-gul,D. Gül,F,27,190,3438,M,,1407720,EUR,1088726400,F,27,27,False,,7.0,4.0,1.0,,0.0,2.0,3.0,2.0,4.0,,2.0,,,,,73.0,13.0,7.0,4.0,0.0107643,,2,,-0.09,0.38,-0.01,,,,,2.0,,3.0,2.0,,,,1.0,,,,1.0,1.0,0.0551,-0.25,,1.0,,1.0,,,,1.0,,1.0,,0.0667,1.0,,,,
14572633,home,FC Porto,Ángel Alarcón,angel-alarcon,Á. Alarcón,M,77,175,1314,M,,1153261,EUR,1084579200,F,47,47,False,,17.0,14.0,2.0,1.0,0.0,6.0,7.0,8.0,10.0,,2.0,,,,,61.0,22.0,6.6,4.0,0.0291364,,2,,0.05,0.37,-0.03,,Ángel,Alarcón,1.0,,,3.0,1.0,2.0,,1.0,1.0,,1.0,1.0,,1.0,0.1437,-0.54,,,,,1.0,,,,,,,,,,,,
14572633,home,FC Porto,Alberto Costa,alberto-baio,A. Costa,D,20,185,2739,M,,1160957,EUR,1064793600,D,20,20,True,,22.0,17.0,,,0.0,4.0,5.0,13.0,17.0,1.0,2.0,,,,,45.0,32.0,7.0,8.0,0.031059,,0,,-0.11,0.3,-0.01,,Alberto Baio,,1.0,,1.0,1.0,4.0,,,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
