match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_dispossessed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_aerialLost,stat_interceptionWon,stat_accurateCross,stat_unsuccessfulTouch,stat_keyPass,captain,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_punches,stat_outfielderBlock,player_sofascoreId
13472760,home,Juventude,Jandrei,,,jandrei,Jandrei,G,93,186.0,1016,M,874979,EUR,730944000,G,13,13,False,18.0,16.0,11.0,9.0,0.0,12.0,13.0,4.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,90.0,24.0,6.9,3.0,0.0007846,0,0.1918,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472760,home,Juventude,Ewerthon,,,ewerton,Ewerthon,D,2,171.0,176,M,992512,EUR,971222400,D,2,2,False,32.0,26.0,4.0,1.0,0.0,10.0,12.0,16.0,20.0,,2.0,2.0,1.0,,,,60.0,48.0,6.5,10.0,0.0125077,3,,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0497,,,,,,,,,,,,,,,,,
13472760,home,Juventude,Luan Freitas,,,luan-freitas,Luan Freitas,D,4,184.0,248,M,986064,EUR,979948800,D,3,3,False,49.0,47.0,,,0.0,34.0,36.0,13.0,13.0,2.0,7.0,4.0,1.0,,,,90.0,58.0,7.1,3.0,0.00751323,0,,,2.0,,,,3.0,2.0,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,
13472760,home,Juventude,Rodrigo Sam,,,rodrigo-sam,R. Sam,D,34,185.0,108,M,794640,EUR,806544000,D,34,34,False,57.0,49.0,2.0,,0.0,40.0,43.0,9.0,14.0,8.0,9.0,3.0,1.0,,,,90.0,65.0,6.7,8.0,0.00373943,0,,,4.0,,,,,,3.0,,,,,,3.0,1.0,2.0,,,,,,,,,,,
13472760,home,Juventude,Marcelo Hermes,,,marcelo-hermes,M. Hermes,D,22,177.0,288,M,783490,EUR,791596800,D,22,22,False,48.0,38.0,5.0,2.0,0.0,20.0,23.0,18.0,25.0,1.0,3.0,5.0,,,,,90.0,75.0,7.4,18.0,0.0816711,0,,11.0,4.0,,,,2.0,2.0,2.0,,,,,,1.0,2.0,1.0,4.0,1.0,5.0,,,,,,,,
13472760,home,Juventude,Igor Formiga,,,igor-formiga,Igor Formiga,D,32,175.0,269,M,1009030,EUR,915753600,M,32,32,False,28.0,20.0,,,0.0,4.0,4.0,16.0,24.0,4.0,11.0,8.0,2.0,,,,90.0,62.0,7.1,21.0,0.0908836,1,,8.0,7.0,1.0,1.0,,4.0,2.0,2.0,,0.0064,1.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,,,,,,,,,
13472760,home,Juventude,Caique Gonçalves,,,caique-goncalves,Caique,M,95,178.0,364,M,871032,EUR,813283200,M,95,95,False,39.0,34.0,4.0,4.0,0.0,20.0,21.0,14.0,18.0,1.0,11.0,3.0,7.0,,,,90.0,57.0,7.2,8.0,0.00563945,0,,,4.0,,,,2.0,2.0,2.0,,,1.0,2.0,1.0,1.0,,1.0,,2.0,2.0,,,,,,,,
13472760,home,Juventude,Luis Mandaca,Luis Mandaca,,luis-mandaca,L. Mandaca,M,44,178.0,388,M,1116677,EUR,1001980800,M,44,44,False,53.0,46.0,10.0,8.0,0.0,15.0,15.0,31.0,38.0,3.0,10.0,6.0,1.0,,,,90.0,70.0,7.6,11.0,0.0422462,3,,1.0,6.0,,,3.0,2.0,2.0,3.0,,0.1208,1.0,6.0,4.0,,,1.0,,1.0,2.0,,,,,,,,
13472760,home,Juventude,Lucas Fernandes,,,lucas-fernandes,Lucas Fernandes,M,33,176.0,222,M,837871,EUR,874713600,M,33,33,False,21.0,20.0,1.0,1.0,0.0,10.0,10.0,10.0,11.0,,3.0,2.0,,,,,74.0,28.0,6.9,3.0,0.00909121,1,,,5.0,,1.0,,1.0,1.0,2.0,,0.0275,,3.0,2.0,,2.0,1.0,,1.0,1.0,,,,,,,,
13472760,home,Juventude,Nenê,,,nene,Nenê,M,10,181.0,1562,M,5672,EUR,364348800,F,10,10,False,20.0,12.0,2.0,1.0,0.0,3.0,3.0,9.0,17.0,,,1.0,,,,,45.0,29.0,6.5,15.0,0.0128778,0,,4.0,1.0,,,,,,,,,,1.0,,,,1.0,,2.0,,True,,,,,,,
