match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,player_sofascoreId,stat_aerialLost,stat_dispossessed,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,captain,stat_shotOffTarget,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_onTargetScoringAttempt,player_firstName,player_lastName,stat_blockedScoringAttempt,stat_goals,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork
10382048,home,FC Twente,Lars Unnerstall,lars-unnerstall,L. Unnerstall,G,1,198,265,M,94835,EUR,648432000,G,1,1,False,28.0,13.0,22.0,7.0,6.0,6.0,7.0,22.0,1.0,1.0,1.0,9.0,1.0,4.0,5.0,1.0,1.0,1.0,90.0,35.0,7.5,15.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382048,home,FC Twente,Joshua Brenet,joshua-brenet,J. Brenet,D,30,181,142,M,296438,EUR,764121600,D,20,20,False,36.0,19.0,10.0,1.0,8.0,13.0,11.0,23.0,1.0,4.0,,12.0,,,,,,,90.0,65.0,6.4,21.0,0,4.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
10382048,home,FC Twente,Mees Hilgers,mees-hilgers,M. Hilgers,D,2,185,8875,M,1014288,EUR,989712000,D,2,2,False,34.0,30.0,6.0,3.0,25.0,26.0,5.0,8.0,3.0,6.0,1.0,5.0,,,,,,,90.0,46.0,7.0,5.0,0,9.0,2.0,,,4.0,,,2.0,,meeshilgerss,4.0,1.0,2.0,3.0,3.0,,,,,,,,,,,,,
10382048,home,FC Twente,Robin Pröpper,robin-propper,R. Pröpper,D,3,190,269,M,196082,EUR,748742400,D,3,3,False,38.0,29.0,6.0,1.0,21.0,23.0,8.0,15.0,2.0,3.0,3.0,3.0,,,,,,,90.0,50.0,6.2,10.0,1,7.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,2.0,,1.0,,,True,1.0,,,,,,,,,,,
10382048,home,FC Twente,Gijs Smal,gijs-smal,G. Smal,D,5,183,339,M,860160,EUR,872985600,D,5,5,False,36.0,20.0,13.0,4.0,10.0,17.0,11.0,23.0,,3.0,,4.0,,,,,,,90.0,61.0,7.6,22.0,2,2.0,1.0,1.0,,,,2.0,,4.0,,,,,1.0,,,1.0,1.0,4.0,1.0,1.0,,,,,,,
10382048,home,FC Twente,Daan Rots,daan-rots,D. Rots,M,11,179,509,M,1048430,EUR,996019200,M,11,11,False,19.0,14.0,,,7.0,7.0,7.0,12.0,,2.0,,,,,,,,,62.0,33.0,6.7,6.0,4,7.0,1.0,,,2.0,,1.0,,,,5.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,,2.0,,,,
10382048,home,FC Twente,Ramiz Zerrouki,ramiz-zerrouki,R. Zerrouki,M,6,183,8083,M,989882,EUR,896140800,M,8,8,False,56.0,40.0,9.0,3.0,22.0,26.0,19.0,33.0,3.0,10.0,1.0,12.0,,,,,,,90.0,85.0,7.3,23.0,0,6.0,1.0,,,2.0,4.0,3.0,,3.0,rramizz_,4.0,1.0,,4.0,3.0,,,,3.0,1.0,,,,,,,,
10382048,home,FC Twente,Mathias Kjølø,mathias-kjolo,M. Kjølø,M,4,174,167,M,966546,EUR,993600000,M,21,21,False,41.0,32.0,2.0,1.0,17.0,22.0,15.0,19.0,1.0,4.0,2.0,7.0,,,,,,,90.0,57.0,6.6,11.0,1,4.0,2.0,,,1.0,1.0,1.0,,,,1.0,1.0,,2.0,2.0,,,,,,,,,1.0,,,,
10382048,home,FC Twente,Václav Černý,vaclav-cerny,V. Černý,M,18,182,3495,M,280631,EUR,877046400,F,7,7,False,32.0,26.0,5.0,4.0,11.0,13.0,16.0,22.0,,,,3.0,,,,,,,62.0,45.0,8.4,13.0,4,8.0,3.0,,,,2.0,,,1.0,,2.0,3.0,,,,,2.0,,3.0,1.0,2.0,,,,2.0,,,
10382048,home,FC Twente,Ricky van Wolfswinkel,ricky-van-wolfswinkel,R. van Wolfswinkel,F,9,186,794,M,35193,EUR,601862400,F,9,9,False,29.0,21.0,,,10.0,14.0,11.0,15.0,3.0,4.0,2.0,4.0,,,,,,,90.0,39.0,6.6,10.0,1,6.0,1.0,,,1.0,2.0,,,,,5.0,,,1.0,,,,,,,,,,1.0,,,,
