match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_unsuccessfulTouch,captain,stat_totalCross,stat_dispossessed,stat_blockedScoringAttempt,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,stat_onTargetScoringAttempt,stat_interceptionWon,stat_expectedGoalsOnTarget,stat_totalContest,stat_outfielderBlock,stat_shotOffTarget,stat_goals,stat_wonContest,stat_errorLeadToAShot,stat_keyPass,stat_bigChanceMissed,stat_bigChanceCreated,stat_penaltyMiss,stat_accurateCross,stat_penaltySave,stat_penaltyFaced,stat_penaltyConceded,stat_totalOffside
14053582,home,Excelsior,Stijn van Gassel,,,stijn-van-gassel,S. van Gassel,G,1,185,166,M,367118,EUR,845596800,G,1,1,False,42.0,25.0,35.0,18.0,0.0,9.0,9.0,16.0,33.0,1.0,2.0,13.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,90.0,57.0,8.5,17.0,0.0215975,68.795614517021,11.0,33.39,9.03,0.8683,0,0.4931,0.31,0.03,-0.12,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053582,home,Excelsior,Ilias Bronkhorst,Ilias,Bronkhorst,ilias-bronkhorst,I. Bronkhorst,D,2,185,69,M,899644,EUR,863222400,D,2,2,False,2.0,1.0,1.0,,0.0,,,1.0,2.0,1.0,,,,,,,,,,15.0,7.0,6.5,2.0,0.00347941,,,,,,0,,0.02,,-0.05,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053582,home,Excelsior,Casper Widell,,,widell-casper,C. Widell,D,4,192,137,M,1031721,EUR,1052092800,D,4,4,False,31.0,23.0,8.0,6.0,0.0,16.0,17.0,7.0,14.0,2.0,7.0,1.0,,,,,,,,90.0,44.0,6.6,11.0,0.0379348,45.490283707992,8.0,-3.045,3.465,,1,,0.33,0.0,0.31,,1.0,1.0,4.0,,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.1231,-0.44,,,,,,,,,,,,,,,,,,
14053582,home,Excelsior,Rick Meissen,Rick Meijssen,,rick-meissen,R. Meissen,D,3,193,44,M,1048906,EUR,1014508800,D,3,3,False,37.0,34.0,6.0,4.0,0.0,22.0,23.0,12.0,14.0,3.0,3.0,4.0,1.0,,,,,,,90.0,45.0,6.5,3.0,0.00448922,78.356261901318,12.0,17.535,9.765,,1,,0.03,0.04,-0.47,,3.0,2.0,6.0,2.0,,,,,,,,,1.0,0.1791,0.26,1.0,1.0,0.705,,,,,,,,,,,,,,,
14053582,home,Excelsior,Nolan Martens,,,nolan-martens,N. Martens,M,2,180,83,M,1153163,EUR,1089158400,D,17,17,False,24.0,15.0,4.0,2.0,0.0,8.0,13.0,7.0,11.0,3.0,4.0,4.0,,,,,,,,84.0,43.0,6.4,14.0,0.00318159,68.123704694505,9.0,35.805,18.795,,0,,-0.1,-0.23,-0.18,,1.0,1.0,5.0,2.0,,,2.0,,,,2.0,2.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,
14053582,home,Excelsior,Noah Naujoks,,,noah-naujoks,N. Naujoks,M,10,183,201,M,1048487,EUR,1020297600,M,10,10,False,14.0,10.0,,,0.0,1.0,1.0,9.0,13.0,8.0,3.0,,3.0,,,,,,,66.0,34.0,7.6,6.0,0.00656612,6.470270473481,1.0,-2.1,-2.1,,5,,-0.08,0.01,0.16,,1.0,4.0,1.0,,1.0,,1.0,,1.0,,1.0,1.0,,0.307,0.3,2.0,1.0,0.2731,,,2.0,1.0,,,,,,,,,,,
14053582,home,Excelsior,Adam Carlén,,,adam-carlen,A. Carlén,M,6,193,65,M,991039,EUR,962064000,M,6,6,False,29.0,17.0,3.0,,0.0,9.0,12.0,8.0,17.0,6.0,4.0,5.0,2.0,,,,,,,90.0,42.0,6.8,14.0,0.0067072,26.586643836822,5.0,-9.135,-0.525,,0,,-0.08,-0.07,0.22,,2.0,4.0,4.0,,1.0,,1.0,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,
14053582,home,Excelsior,Irakli Yegoian,Irakli Yegoian,,yegoian-irakli,I. Yegoian,M,23,168,314,M,1384483,EUR,1079654400,M,23,23,False,36.0,30.0,,,1.0,16.0,16.0,14.0,20.0,7.0,,6.0,2.0,,,,,,,90.0,60.0,6.4,13.0,0.0413347,95.314225513996,11.0,33.81,22.995,,2,,0.17,-0.31,-0.26,,2.0,1.0,6.0,,3.0,,,2.0,2.0,,2.0,,,0.1133,-0.11,,3.0,,4.0,,,,2.0,1.0,1.0,,,,,,,,
14053582,home,Excelsior,Derensili Sanches Fernandes,,,derensili-sanches-fernandes,D. S. Fernandes,M,30,176,146,M,1046142,EUR,991008000,F,30,30,False,19.0,16.0,1.0,,0.0,5.0,5.0,11.0,14.0,2.0,1.0,4.0,1.0,,,,,,,84.0,30.0,6.7,8.0,0.0802183,139.47976256039,13.0,106.89,29.505,,1,,-0.07,0.51,0.18,,1.0,,3.0,,2.0,,1.0,1.0,,,,,,0.507,-0.51,,1.0,,2.0,,1.0,,1.0,,1.0,1.0,,,,,,,
14053582,home,Excelsior,Szymon Włodarczyk,,,szymon-wlodarczyk,S. Włodarczyk,F,9,189,1140,M,1009285,EUR,1041724800,F,9,9,False,9.0,6.0,,,0.0,1.0,1.0,5.0,8.0,1.0,3.0,1.0,,,,,,,,66.0,23.0,5.8,10.0,0.222495,32.144476057637,2.0,-18.48,5.67,,1,,0.3,0.02,-0.02,,2.0,1.0,5.0,,4.0,,1.0,2.0,,,,,1.0,0.7884,-0.89,1.0,,0.6382,,,,,,,2.0,1.0,1.0,1.0,,,,,
