match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,captain,stat_fouls,stat_aerialWon,stat_challengeLost,stat_interceptionWon,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_shotOffTarget,stat_blockedScoringAttempt,player_firstName,player_lastName,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_outfielderBlock
11067629,home,Bahia,Marcos Felipe,marcos-felipe,M. Felipe,G,1,189,1142,M,358524,EUR,829353600,G,22,22,False,32.0,27.0,15.0,10.0,21.0,25.0,6.0,7.0,1.0,14.0,2.0,4.0,1.0,1.0,1.0,90.0,45.0,7.4,5.0,0.0,0.0,0.0109512,0,0.6494,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067629,home,Bahia,Gilberto,gilberto,Gilberto,D,2,181,1500,M,261687,EUR,731462400,D,2,2,False,29.0,25.0,3.0,2.0,8.0,8.0,17.0,21.0,,6.0,,,,,,76.0,60.0,6.5,14.0,0.0,0.0,0.0342895,0,,1.0,4.0,5.0,3.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,,,,,,,,,,,,,,,,,
11067629,home,Bahia,Kanu,kanu,Kanu,D,4,186,926,M,871705,EUR,857692800,D,4,4,False,58.0,54.0,5.0,2.0,40.0,41.0,14.0,17.0,,3.0,,,,,,90.0,64.0,6.8,4.0,0.0,0.0,0.00383194,0,,,1.0,5.0,,,,2.0,1.0,,3.0,1.0,True,1.0,,,,,,,,,,,,,,,
11067629,home,Bahia,Vitor Hugo,vitor-hugo,V. Hugo,D,14,187,899,M,794838,EUR,674697600,D,31,31,False,43.0,37.0,5.0,3.0,28.0,31.0,9.0,12.0,4.0,2.0,,,,,,90.0,54.0,7.0,6.0,0.0,0.0,0.00929426,0,,,2.0,6.0,,,,3.0,3.0,,1.0,,,1.0,2.0,1.0,2.0,,,,,,,,,,,,
11067629,home,Bahia,Camilo Cándido,camilo-candido,C. Cándido,D,13,174,364,M,924073,EUR,802051200,D,38,38,False,33.0,25.0,5.0,3.0,4.0,8.0,22.0,30.0,3.0,5.0,,,,,,80.0,56.0,7.6,12.0,0.0431,0.0,0.181878,1,,1.0,3.0,6.0,,1.0,1.0,4.0,2.0,,,2.0,,2.0,1.0,,2.0,1.0,5.0,1.0,1.0,,,,,,,,
11067629,home,Bahia,Rezende,rezende,Rezende,D,5,186,736,M,868030,EUR,789004800,M,5,5,False,57.0,52.0,2.0,2.0,26.0,28.0,26.0,29.0,2.0,7.0,,,,,,90.0,78.0,7.2,7.0,0.1054,0.0,0.0260197,2,,1.0,9.0,7.0,1.0,1.0,,4.0,3.0,,1.0,1.0,,4.0,2.0,2.0,3.0,1.0,,,1.0,1.0,,,,,,,
11067629,home,Bahia,Thaciano,thaciano,Thaciano,M,16,182,1796,M,872039,EUR,800236800,M,16,16,False,33.0,25.0,3.0,2.0,9.0,10.0,16.0,24.0,,5.0,,,,,,76.0,44.0,6.5,13.0,0.0233,0.0,0.0117014,1,,2.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,,2.0,,2.0,2.0,,1.0,,1.0,,,,,,,,
11067629,home,Bahia,Ademir,ademir,Ademir,F,7,172,1700,M,922546,EUR,792892800,M,7,7,False,33.0,27.0,1.0,1.0,4.0,4.0,25.0,36.0,,2.0,,,,,,75.0,59.0,7.2,15.0,0.0738,0.0,0.504417,3,,2.0,6.0,8.0,1.0,4.0,3.0,2.0,1.0,1.0,3.0,3.0,,2.0,,,1.0,,7.0,2.0,1.0,2.0,,,,,,,
11067629,home,Bahia,Cauly,cauly,Cauly,M,8,175,2903,M,255873,EUR,811123200,M,8,8,False,49.0,42.0,2.0,2.0,7.0,8.0,36.0,45.0,,6.0,,,,,,90.0,68.0,8.8,15.0,0.1468,0.5748,0.308245,3,,1.0,4.0,7.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,5.0,,1.0,1.0,,,1.0,4.0,1.0,,1.0,,,1.0,2.0,1.0,1.0,
11067629,home,Bahia,Rafael Ratão,rafael-ratao,R. Ratão,F,18,182,3402,M,352838,EUR,817689600,M,11,11,False,26.0,21.0,,,5.0,6.0,16.0,21.0,,5.0,,,,,,85.0,46.0,7.7,11.0,0.6546,0.9999,0.028707,4,,,4.0,10.0,2.0,2.0,1.0,5.0,3.0,2.0,1.0,,,,3.0,1.0,,,1.0,,1.0,1.0,,,,2.0,1.0,,
