match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_aerialWon,stat_outfielderBlock,stat_aerialLost,stat_interceptionWon,stat_wasFouled,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_lastManTackle,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_expectedGoalsOnTarget,player_sofascoreId,stat_errorLeadToAShot
14065073,home,1. FC Köln,Jakub Kamiński,,,jakub-kaminski,J. Kamiński,M,16,178,5205,M,801263,EUR,1023235200,F,16,16,False,,20.0,15.0,,,0.0,4.0,7.0,11.0,13.0,3.0,,,90.0,36.0,7.9,11.0,0.172304,,3,,-0.15,0.27,0.17,,3.0,2.0,1.0,1.0,1.0,,1.0,,2.0,,,2.0,,0.7655,4.0,0.47,,,2.0,,1.0,5.0,2.0,,,1.0,2.0,1.0,,0.6377,jakub.kaminskii,
14065073,home,1. FC Köln,Joel Schmied,,,schmied-joel,J. Schmied,D,2,188,152,M,965950,EUR,906508800,D,2,2,True,,21.0,17.0,1.0,,0.0,12.0,14.0,5.0,7.0,,,,45.0,22.0,6.1,4.0,0.00262669,,0,,0.0,-0.08,-0.2,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
14065073,home,1. FC Köln,Tom Krauß,,,tom-krauss,T. Krauß,M,5,182,398,M,930272,EUR,993168000,M,5,5,True,,12.0,10.0,1.0,,0.0,8.0,9.0,2.0,3.0,,,,31.0,20.0,6.3,2.0,0.00247957,,2,,-0.06,0.04,-0.13,,3.0,3.0,,,,,2.0,,,3.0,2.0,,1.0,0.1006,,-0.51,,,1.0,,,,,1.0,,,,,,,,
14065073,home,1. FC Köln,Jusuf Gazibegović,,,jusuf-gazibegovic,J. Gazibegović,D,22,174,1222,M,907530,EUR,952732800,D,25,25,True,,6.0,5.0,,,0.0,4.0,5.0,1.0,1.0,,,,22.0,14.0,6.4,3.0,0.0333733,,0,,0.16,0.02,-0.14,,,,,,,,,,2.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,
14065073,home,1. FC Köln,Said El Mala,,,el-mala-said,S. E. Mala,M,13,185,2512,M,1800475,EUR,1156550400,M,13,13,True,,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,1.0,,,22.0,8.0,7.2,4.0,0.00038382,,1,,-0.05,-0.46,-0.1,,4.0,,1.0,2.0,,,,,,,,1.0,,0.0517,,0.54,,,,,,,,1.0,,,1.0,1.0,,0.1191,,
14065073,home,1. FC Köln,Ragnar Ache,,,ragnar-ache,R. Ache,F,9,182,1324,M,877544,EUR,901584000,F,9,9,True,,4.0,4.0,,,0.0,1.0,1.0,3.0,3.0,,,,14.0,8.0,6.5,,0.0300149,,0,,-0.06,-0.12,0.2,,2.0,1.0,,,,,,,2.0,,,,,,1.0,,1.0,,2.0,,,,,,,,,,,,,
14065073,home,1. FC Köln,Ron-Robert Zieler,,,ron-robert-zieler,R. Zieler,G,20,188,175,M,41615,EUR,603244800,G,20,20,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14065073,home,1. FC Köln,Cenk Özkaçar,,,cenk-ozkacar,C. Özkaçar,D,39,190,731,M,953097,EUR,970790400,D,39,39,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14065073,home,1. FC Köln,Linton Maina,,,linton-maina,L. Maina,M,37,173,490,M,921033,EUR,930096000,M,37,37,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14065073,home,1. FC Köln,Luca Waldschmidt,,,luca-waldschmidt,L. Waldschmidt,F,7,181,704,M,319861,EUR,832464000,F,7,7,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14065073,away,SC Freiburg,Noah Atubolu,,,noah-atubolu,N. Atubolu,G,1,190,1842,M,980626,EUR,1022284800,G,1,1,False,,38.0,26.0,22.0,10.0,0.0,22.0,24.0,4.0,14.0,7.0,2.0,2.0,90.0,47.0,7.0,13.0,0.00822746,0.0459,0,-1.307,0.18,0.01,-0.27,-0.61,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
14065073,away,SC Freiburg,Lukas Kübler,,,lukas-kubler,L. Kübler,D,17,183,237,M,142525,EUR,715132800,D,17,17,False,,47.0,42.0,7.0,4.0,0.0,27.0,28.0,15.0,19.0,7.0,,,85.0,72.0,6.2,8.0,0.0241155,,0,,0.17,0.0,-0.65,,2.0,4.0,,,,,,,3.0,3.0,1.0,,,,,,,1.0,1.0,3.0,1.0,2.0,,1.0,,,,,,,,
14065073,away,SC Freiburg,Matthias Ginter,,,matthias-ginter,M. Ginter,D,28,189,887,M,142259,EUR,758937600,D,28,28,False,,68.0,63.0,6.0,4.0,0.0,43.0,44.0,20.0,24.0,1.0,,,90.0,77.0,6.1,6.0,0.0802411,,1,,0.04,0.0,-0.49,,4.0,5.0,,,,,1.0,,4.0,,,,1.0,0.0178,,-0.25,5.0,1.0,3.0,,,1.0,,,,,,,,,,
14065073,away,SC Freiburg,Philipp Lienhart,,,philipp-lienhart,P. Lienhart,D,3,189,690,M,576266,EUR,837043200,D,3,3,False,,83.0,74.0,8.0,1.0,0.0,53.0,54.0,21.0,29.0,1.0,,,90.0,96.0,6.0,15.0,0.0128843,,0,,-0.11,0.15,-0.6,,2.0,4.0,,,,,,,4.0,3.0,2.0,,1.0,,,,1.0,,2.0,,,1.0,,,,,,,,,,
14065073,away,SC Freiburg,Christian Günter,,,christian-gunter,C. Günter,D,30,184,352,M,142231,EUR,730857600,D,30,30,False,True,36.0,34.0,1.0,,1.0,17.0,18.0,17.0,18.0,1.0,,,90.0,57.0,6.0,13.0,0.390673,,1,,0.36,0.01,-0.8,,2.0,,,1.0,,1.0,1.0,,,,,2.0,,0.0199,4.0,-0.03,,,,,,11.0,3.0,1.0,,,,,1.0,,,
14065073,away,SC Freiburg,Maximilian Eggestein,,,maximilian-eggestein,M. Eggestein,M,8,181,429,M,569784,EUR,850003200,M,8,8,False,,56.0,45.0,2.0,1.0,0.0,19.0,22.0,26.0,34.0,2.0,,,90.0,65.0,7.4,11.0,0.0663051,,3,,-0.07,0.08,-0.26,,1.0,4.0,,,,,1.0,1.0,,,,,,0.2116,,0.49,4.0,,1.0,,,,,,,,1.0,1.0,,0.7867,,
14065073,away,SC Freiburg,Johan Manzambi,Johan Manzambi,,johan-manzambi,J. Manzambi,M,44,182,2015,M,1518931,EUR,1129248000,M,44,44,False,,43.0,37.0,5.0,4.0,0.0,17.0,20.0,20.0,23.0,2.0,,,90.0,63.0,7.0,13.0,0.52602,,0,,0.3,0.29,-0.36,,3.0,10.0,2.0,,,,,,,1.0,,3.0,1.0,,2.0,,2.0,,1.0,,7.0,3.0,1.0,,,,,,,,,1.0
14065073,away,SC Freiburg,Eren Dinkçi,,,eren-dinkci,E. Dinkçi,M,8,188,848,M,1067120,EUR,1008201600,M,18,18,False,,16.0,12.0,3.0,2.0,0.0,7.0,10.0,5.0,6.0,5.0,,,45.0,24.0,6.3,8.0,0.18703,,1,,-0.04,0.19,-0.05,,4.0,,1.0,,,,1.0,,,,,,1.0,0.0123,1.0,-0.03,,,2.0,1.0,,4.0,1.0,,,,,,,,,
14065073,away,SC Freiburg,Yuito Suzuki,,,yuito-suzuki,Y. Suzuki,F,14,175,2199,M,1020422,EUR,1003968000,M,14,14,False,,14.0,10.0,1.0,,0.0,2.0,2.0,8.0,12.0,3.0,,,69.0,21.0,5.9,9.0,0.0181814,,0,,-0.1,0.09,-0.16,,5.0,,2.0,1.0,,,,,,,,1.0,2.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,
14065073,away,SC Freiburg,Vincenzo Grifo,,,vincenzo-grifo,V. Grifo,M,32,181,2068,M,171961,EUR,734140800,M,32,32,False,,45.0,39.0,4.0,3.0,0.0,23.0,24.0,16.0,21.0,3.0,,,69.0,57.0,7.0,11.0,0.10498,,1,,0.05,0.25,-0.06,,1.0,4.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,0.0418,1.0,-0.1,1.0,1.0,,,1.0,4.0,1.0,,,,,,,,,
14065073,away,SC Freiburg,Lucas Höler,,,lucas-holer,L. Höler,F,9,184,586,M,280009,EUR,773798400,F,9,9,False,,19.0,12.0,,,0.0,6.0,9.0,6.0,10.0,,,,85.0,32.0,6.3,9.0,0.024733,,3,,-0.22,0.33,0.19,,10.0,7.0,,2.0,2.0,,2.0,,2.0,,,2.0,2.0,0.2862,,-0.56,3.0,,8.0,,2.0,,,,,,1.0,,1.0,0.1477,,
14065073,away,SC Freiburg,Merlin Röhl,,,merlin-rohl,M. Röhl,M,34,191,736,M,1064082,EUR,1025827200,M,34,34,True,,21.0,18.0,2.0,2.0,0.0,6.0,6.0,12.0,15.0,1.0,,,45.0,30.0,6.2,8.0,0.0318386,,0,,-0.21,0.04,-0.13,,3.0,2.0,1.0,,,,,,,,,3.0,1.0,,,,2.0,1.0,1.0,,,1.0,,,,,,,,,,
14065073,away,SC Freiburg,Anthony Jung,,,anthony-jung,A. Jung,D,5,186,138,M,103442,EUR,689126400,D,5,5,True,,35.0,31.0,2.0,1.0,0.0,14.0,15.0,17.0,20.0,,,,21.0,36.0,6.6,4.0,0.102377,,0,,0.17,0.07,-0.15,,,1.0,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,
14065073,away,SC Freiburg,Nicolas Höfler,,,nicolas-hofler,N. Höfler,M,27,181,162,M,49639,EUR,636940800,M,27,27,True,,25.0,22.0,,,0.0,7.0,8.0,15.0,17.0,3.0,,,21.0,30.0,6.7,3.0,0.0144978,,1,,-0.07,0.01,-0.04,,,4.0,,1.0,1.0,,1.0,,3.0,,,,,0.0432,,-0.17,3.0,,,,,,,,,,,,,,,
14065073,away,SC Freiburg,Philipp Treu,,,treu-philipp,P. Treu,M,29,172,176,M,979820,EUR,975801600,D,29,29,True,,7.0,7.0,,,0.0,2.0,2.0,5.0,5.0,1.0,,,11.0,8.0,6.7,1.0,0.00408989,,0,,-0.01,-0.03,0.13,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
14065073,away,SC Freiburg,Junior Adamu,,,chukwubuike-adamu,J. Adamu,F,9,183,1129,M,902381,EUR,991785600,F,20,20,True,,1.0,1.0,,,0.0,,,1.0,1.0,,,,11.0,3.0,6.5,,0.00029174,,1,,0.0,0.0,0.0,,,,,,,,1.0,,,,,,,0.2805,,-0.23,,,,,,,,,,,,,,,,
14065073,away,SC Freiburg,Florian Müller,,,florian-muller,F. Müller,G,21,190,205,M,842858,EUR,879379200,G,21,21,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14065073,away,SC Freiburg,Jordy Makengo,,,makengo-jordy,J. Makengo,D,33,191,319,M,1131339,EUR,996710400,D,33,33,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14065073,away,SC Freiburg,Cyriaque Irié,Cyriaque Irié,,cyriaque-irie,C. Irié,M,22,184,7203,M,1508537,EUR,1119225600,F,22,22,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14065073,away,SC Freiburg,Derry Scherhant,,,derry-scherhant,D. Scherhant,F,7,184,373,M,1131002,EUR,1036886400,F,7,7,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
