match_id,side,team,player_name,player_firstName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,player_lastName,stat_aerialLost,stat_lastManTackle,stat_wasFouled,stat_fouls,stat_totalCross,stat_challengeLost,stat_totalContest,stat_totalOffside,stat_keyPass,captain,stat_accurateCross,stat_blockedScoringAttempt,stat_wonContest,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,player_sofascoreId,stat_punches,stat_errorLeadToAShot
14064414,home,RC Lens,Robin Risser,Robin Risser,robin-risser,R. Risser,G,40,193,833,M,1387161,EUR,1101945600,G,40,40,False,34.0,25.0,13.0,4.0,0.0,24.0,28.0,1.0,6.0,5.0,1.0,1.0,90.0,38.0,6.7,9.0,0.00033017,0.004,0,0.0091,0.01,0.0,0.13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14064414,home,RC Lens,Ismaelo Ganiou,,ganiou-pierre,I. Ganiou,D,25,185,4755,M,1408080,EUR,1110758400,D,25,25,False,70.0,60.0,7.0,3.0,0.0,41.0,45.0,19.0,25.0,2.0,,,90.0,83.0,8.4,13.0,0.0065994,,1,,0.2,0.06,0.47,,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,0.2335,0.7394,0.52,,,,,,,,,,,,,,,,,,,,
14064414,home,RC Lens,Samson Baidoo,,samson-baidoo,S. Baidoo,D,6,190,1272,M,1099117,EUR,1080691200,D,6,6,False,58.0,55.0,2.0,1.0,0.0,50.0,51.0,5.0,7.0,6.0,,,90.0,66.0,7.1,3.0,0.00276565,,0,,0.03,0.09,0.33,,2.0,2.0,2.0,,,,2.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
14064414,home,RC Lens,Malang Sarr,,malang-sarr,M. Sarr,D,20,182,2159,M,826203,EUR,917049600,D,20,20,False,86.0,68.0,11.0,3.0,0.0,50.0,61.0,18.0,25.0,2.0,,,90.0,95.0,6.9,19.0,0.00637492,,0,,0.07,0.09,0.6,,1.0,4.0,3.0,,,,2.0,,2.0,1.0,1.0,1.0,,,,,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
14064414,home,RC Lens,Ruben Aguilar,,ruben-aguilar,R. Aguilar,M,2,172,407,M,579576,EUR,735782400,M,2,2,False,45.0,41.0,,,0.0,26.0,27.0,15.0,18.0,8.0,,,90.0,71.0,6.4,12.0,0.0109992,,0,,-0.1,0.09,-0.08,,,6.0,3.0,1.0,,,,,2.0,2.0,1.0,2.0,,,,,,,1.0,4.0,4.0,1.0,1.0,2.0,,,,,,,,,,,
14064414,home,RC Lens,Mamadou Sangare,Mamadou Sangare,mamadou-sangare,M. Sangare,M,8,181,4819,M,1064697,EUR,1025049600,M,8,8,False,68.0,67.0,3.0,2.0,0.0,47.0,47.0,20.0,21.0,8.0,,,90.0,81.0,7.9,2.0,0.260243,,0,,0.44,0.08,-0.04,,1.0,5.0,9.0,,,,3.0,,,5.0,5.0,,,,,,,,3.0,1.0,,4.0,,,1.0,,,,,,,,,,
14064414,home,RC Lens,Adrien Thomasson,,adrien-thomasson,A. Thomasson,M,28,177,523,M,231946,EUR,755481600,M,28,28,False,53.0,43.0,2.0,2.0,0.0,27.0,29.0,16.0,24.0,7.0,,,90.0,80.0,6.3,20.0,0.0505747,,2,,-0.19,0.15,-0.22,,,12.0,8.0,1.0,,,,,1.0,5.0,4.0,1.0,0.1968,,-0.54,,,,3.0,2.0,4.0,5.0,4.0,,,True,1.0,2.0,,,,,,,
14064414,home,RC Lens,Matthieu Udol,,matthieu-udol,M. Udol,D,14,178,453,M,787827,EUR,827280000,M,14,14,False,51.0,41.0,9.0,4.0,1.0,30.0,32.0,11.0,19.0,9.0,,,90.0,80.0,7.6,16.0,0.201155,,0,,0.47,0.11,0.17,,1.0,6.0,6.0,1.0,,,,,3.0,2.0,,1.0,,,,,3.0,,2.0,,3.0,,3.0,,4.0,,1.0,,1.0,1.0,,,,,
14064414,home,RC Lens,Florian Thauvin,,florian-thauvin,F. Thauvin,F,24,179,8040,M,148824,EUR,728006400,F,10,10,False,24.0,20.0,2.0,1.0,0.0,9.0,10.0,11.0,14.0,5.0,,,75.0,48.0,6.6,17.0,0.2107,,5,,0.32,0.21,-0.07,,,5.0,3.0,2.0,1.0,,,,,1.0,1.0,6.0,0.9623,0.2327,-0.65,,,,1.0,,2.0,1.0,3.0,,1.0,,,2.0,1.0,,2.0,2.0,,,
14064414,home,RC Lens,Wesley Saïd,,wesley-said,W. Saïd,F,22,171,742,M,227862,EUR,798249600,F,22,22,False,28.0,26.0,,,0.0,15.0,16.0,11.0,12.0,3.0,,,75.0,39.0,6.6,9.0,0.499756,,0,,-0.52,0.55,-0.05,,,5.0,3.0,2.0,,,,,,2.0,1.0,1.0,,,,,1.0,,,1.0,3.0,,2.0,1.0,1.0,,,,1.0,1.0,,,,,
