match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,captain,stat_challengeLost,stat_bigChanceMissed,stat_shotOffTarget,player_firstName,player_lastName,stat_accurateCross,stat_aerialWon,stat_dispossessed,stat_totalContest,stat_errorLeadToAShot,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_wonTackle,stat_bigChanceCreated,stat_outfielderBlock,stat_goodHighClaim,stat_punches,stat_totalOffside,stat_clearanceOffLine,stat_goalAssist,player_sofascoreId
11067488,home,Bahia,Marcos Felipe,marcos-felipe,M. Felipe,G,1,189,1142,M,358524,EUR,829353600,G,22,22,False,29.0,20.0,21.0,12.0,15.0,17.0,5.0,12.0,5.0,2.0,5.0,90.0,39.0,6.9,9.0,0.0,0.0,0.00062885,0,0.4125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067488,home,Bahia,Cicinho,cicinho,Cicinho,D,2,168,196,M,243271,EUR,599097600,D,40,40,False,39.0,33.0,4.0,,13.0,16.0,20.0,24.0,1.0,,,90.0,64.0,6.4,10.0,0.0,0.0,0.0171519,0,,1.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11067488,home,Bahia,Kanu,kanu,Kanu,D,4,186,926,M,871705,EUR,857692800,D,4,4,False,47.0,41.0,11.0,7.0,24.0,28.0,17.0,19.0,4.0,,,90.0,58.0,6.3,6.0,0.3417,0.0,0.00765643,2,,,,5.0,,4.0,2.0,,,,3.0,,True,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
11067488,home,Bahia,Vitor Hugo,vitor-hugo,V. Hugo,D,14,187,899,M,794838,EUR,674697600,D,31,31,False,40.0,34.0,5.0,1.0,21.0,23.0,13.0,17.0,,,,90.0,48.0,6.6,6.0,0.0624,0.0,0.00672729,1,,,,1.0,2.0,3.0,1.0,2.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
11067488,home,Bahia,Ryan,ryan,Ryan,D,,177,222,M,1086990,EUR,1021334400,D,66,66,False,29.0,22.0,3.0,3.0,14.0,17.0,9.0,14.0,5.0,,,80.0,44.0,5.9,10.0,0.0,0.0,0.0320377,0,,2.0,2.0,10.0,3.0,2.0,1.0,,,,3.0,,,3.0,,,Ryan,,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,
11067488,home,Bahia,Kayky,kayky,Kayky,M,37,175,2624,M,1106151,EUR,1055203200,M,37,37,False,20.0,16.0,,,6.0,7.0,10.0,16.0,6.0,,,65.0,44.0,6.8,14.0,0.9885,0.9871,0.0201875,3,,3.0,,10.0,8.0,,,,,2.0,2.0,,,1.0,,1.0,Kayky,,,1.0,4.0,8.0,,5.0,1.0,1.0,1.0,,,,,,,,,
11067488,home,Bahia,Nicolás Acevedo,nicolas-acevedo,N. Acevedo,M,26,173,1112,M,959620,EUR,924048000,M,26,26,False,51.0,42.0,9.0,4.0,19.0,24.0,23.0,27.0,8.0,,,90.0,69.0,6.8,12.0,0.0279,0.0,0.0332572,2,,,3.0,6.0,7.0,1.0,2.0,4.0,2.0,,2.0,1.0,,,,1.0,,,,,,4.0,,3.0,,1.0,,1.0,,,,,,,,
11067488,home,Bahia,Rezende,rezende,Rezende,D,5,186,736,M,868030,EUR,789004800,M,5,5,False,25.0,17.0,2.0,,5.0,8.0,12.0,18.0,4.0,,,76.0,35.0,6.7,11.0,0.05,0.0,0.459634,1,,1.0,,7.0,3.0,1.0,,2.0,,,2.0,3.0,,3.0,,,,,,1.0,1.0,1.0,,,,1.0,,2.0,1.0,,,,,,,
11067488,home,Bahia,Thaciano,thaciano,Thaciano,M,16,182,1796,M,872039,EUR,800236800,M,16,16,False,27.0,23.0,4.0,4.0,9.0,9.0,14.0,18.0,4.0,,,80.0,45.0,7.6,8.0,0.0154,0.0,0.216809,1,,,2.0,4.0,10.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,,,,1.0,,,,3.0,1.0,4.0,,4.0,,,,,1.0,,,,,,,
11067488,home,Bahia,Cauly,cauly,Cauly,M,8,175,2903,M,255873,EUR,811123200,F,8,8,False,51.0,43.0,4.0,3.0,9.0,10.0,35.0,49.0,6.0,,,90.0,83.0,8.2,24.0,0.3191,0.0854,0.229486,3,,8.0,1.0,4.0,7.0,,2.0,,7.0,,1.0,5.0,,,,1.0,,,1.0,,2.0,7.0,,7.0,2.0,,,,,1.0,,,,,,
