match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_dispossessed,stat_totalContest,stat_unsuccessfulTouch,stat_fouls,stat_aerialWon,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_challengeLost,stat_aerialLost,stat_keyPass,captain,stat_accurateCross,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_wonContest,stat_goals,player_sofascoreId,stat_goalAssist,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox,stat_saves,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceMissed
11252733,home,Charlotte FC,Kristijan Kahlina,,,kristijan-kahlina,K. Kahlina,G,1,188,290,M,797985,EUR,711936000,G,1,1,False,33.0,21.0,17.0,7.0,16.0,18.0,5.0,15.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,90.0,39.0,6.9,12.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11252733,home,Charlotte FC,Christopher Hegardt,Christopher Hegardt,,christopher-hegardt,C. Hegardt,M,14,175,26,M,1034889,EUR,1010275200,D,19,19,False,30.0,28.0,4.0,4.0,12.0,13.0,16.0,18.0,,,3.0,,,,,63.0,39.0,6.5,8.0,0,1.0,3.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11252733,home,Charlotte FC,Derrick Jones,,,derrick-jones,D. Jones,M,,190,52,M,844982,EUR,857347200,D,20,20,False,34.0,27.0,8.0,3.0,14.0,19.0,13.0,15.0,4.0,3.0,7.0,,,,,90.0,46.0,6.8,11.0,0,,4.0,3.0,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
11252733,home,Charlotte FC,Jan Sobociński,,,jan-sobocinski,J. Sobociński,D,,186,195,M,920687,EUR,921542400,D,2,2,False,34.0,28.0,5.0,3.0,18.0,21.0,10.0,13.0,6.0,4.0,3.0,2.0,,,,90.0,45.0,7.2,6.0,0,,3.0,,,,2.0,2.0,1.0,1.0,2.0,2.0,,1.0,,,,,,,,,,,,,,,,
11252733,home,Charlotte FC,Hamady Diop,Hamady Diop,,diop-hamady,H. Diop,D,5,183,44,M,1468455,EUR,1023321600,D,32,32,False,28.0,25.0,2.0,1.0,10.0,12.0,15.0,16.0,1.0,1.0,3.0,,,,,63.0,45.0,6.9,8.0,0,,2.0,,,2.0,,,,2.0,1.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,
11252733,home,Charlotte FC,Brandt Bronico,,,brandt-bronico,B. Bronico,M,13,173,56,M,873709,EUR,803606400,M,13,13,False,22.0,17.0,2.0,1.0,7.0,10.0,10.0,13.0,3.0,1.0,1.0,1.0,,,,90.0,28.0,6.3,7.0,0,1.0,5.0,1.0,,,1.0,1.0,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,
11252733,home,Charlotte FC,Harrison Afful,,,harrison-afful,H. Afful,D,,168,100,,32741,EUR,522547200,M,25,25,False,21.0,19.0,1.0,,7.0,7.0,13.0,15.0,2.0,1.0,2.0,,,,,45.0,33.0,6.7,4.0,0,1.0,1.0,1.0,,,,,,,2.0,,,,,,True,1.0,,,,,,,,,,,,
11252733,home,Charlotte FC,Ben Bender,,,benjamin-bender,B. Bender,M,16,183,75,M,982691,EUR,983923200,M,15,15,False,34.0,29.0,4.0,4.0,10.0,10.0,19.0,24.0,5.0,4.0,7.0,,,,,90.0,47.0,6.8,9.0,0,,8.0,2.0,,2.0,6.0,2.0,1.0,,3.0,,,,1.0,,,,,,,,,,,,,,,
11252733,home,Charlotte FC,Orrin McKinze Gaines II.,,,orrin-mckinze-gaines-ii,O. M. G. II.,F,,181,20,M,818397,EUR,888796800,F,17,17,False,21.0,19.0,,,3.0,3.0,16.0,22.0,,,1.0,,,,,77.0,28.0,6.8,7.0,2,4.0,5.0,,,,2.0,,,,,,,,3.0,,,,1.0,1.0,,,,,,,,,,
11252733,home,Charlotte FC,Enzo Copetti,,,enzo-copetti,E. Copetti,F,22,178,454,M,860045,EUR,821750400,F,9,9,False,24.0,12.0,4.0,1.0,1.0,3.0,12.0,23.0,5.0,,1.0,3.0,,,,90.0,34.0,6.9,16.0,1,2.0,5.0,1.0,,2.0,2.0,2.0,,1.0,,,,,2.0,1.0,,1.0,,1.0,,,,,,,,,,
