match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_keyPass,stat_unsuccessfulTouch,stat_bigChanceMissed,stat_shotOffTarget,stat_totalOffside,stat_goalAssist,stat_savedShotsFromInsideTheBox,stat_errorLeadToAGoal
11396232,home,1. FSV Mainz 05,Robin Zentner,robin-zentner,R. Zentner,G,27,193,298,M,174345,EUR,783302400,G,27,27,False,True,29.0,17.0,15.0,3.0,16.0,19.0,1.0,10.0,1.0,1.0,2.0,11.0,1.0,2.0,1.0,1.0,1.0,90.0,43.0,7.1,12.0,0.0007283,0,0.3674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396232,home,1. FSV Mainz 05,Dominik Kohr,dominik-kohr,D. Kohr,D,31,183,342,M,152206,EUR,759974400,D,31,31,False,,24.0,19.0,5.0,2.0,17.0,20.0,2.0,4.0,1.0,6.0,2.0,3.0,,,,,,54.0,34.0,6.9,5.0,0.00275728,0,,3.0,4.0,1.0,3.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
11396232,home,1. FSV Mainz 05,Sepp van den Berg,sepp-van-den-berg,S. van den Berg,D,4,192,2107,M,924378,EUR,1008806400,D,3,3,False,,45.0,38.0,2.0,,33.0,37.0,5.0,8.0,9.0,11.0,9.0,3.0,,,,,,90.0,59.0,7.3,7.0,0.00183466,0,,3.0,5.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
11396232,home,1. FSV Mainz 05,Andreas Hanche-Olsen,andreas-hanche-olsen,A. Hanche-Olsen,D,25,185,370,M,794294,EUR,853459200,D,25,25,False,,61.0,50.0,10.0,2.0,47.0,55.0,3.0,6.0,3.0,4.0,2.0,1.0,,,,,,90.0,67.0,7.6,11.0,0.00116591,1,,3.0,6.0,,1.0,1.0,,2.0,1.0,,,2.0,,,1.0,1.0,0.4505,0.8417,,,,,,,,,,,,,
11396232,home,1. FSV Mainz 05,Anthony Caci,anthony-caci,A. Caci,M,19,184,357,M,846471,EUR,867715200,M,19,19,False,,40.0,33.0,5.0,2.0,18.0,20.0,16.0,25.0,,2.0,2.0,4.0,,,,,,75.0,64.0,7.1,14.0,0.218729,1,,1.0,4.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,0.0741,,5.0,1.0,2.0,1.0,1.0,1.0,,,,,,,
11396232,home,1. FSV Mainz 05,Leandro Barreiro,leandro-barreiro,L. Barreiro,M,18,170,2537,M,906800,EUR,946857600,M,8,8,False,,37.0,31.0,3.0,2.0,14.0,15.0,17.0,22.0,3.0,6.0,2.0,5.0,,,,,,85.0,53.0,6.9,11.0,0.0284627,0,,1.0,6.0,,,,1.0,2.0,1.0,3.0,2.0,,,,,,,,,,1.0,,,2.0,3.0,,,,,,
11396232,home,1. FSV Mainz 05,Nadiem Amiri,nadiem-amiri,N. Amiri,M,10,180,2793,M,327755,EUR,846374400,M,18,18,False,,66.0,58.0,9.0,6.0,32.0,33.0,27.0,39.0,,5.0,1.0,6.0,,,,,,90.0,89.0,8.1,16.0,0.225256,4,,,2.0,1.0,,,3.0,1.0,,3.0,2.0,1.0,,,1.0,,0.2518,0.0984,6.0,1.0,,3.0,,4.0,,1.0,3.0,,,,
11396232,home,1. FSV Mainz 05,Phillipp Mwene,phillipp-mwene,P. Mwene,M,2,170,470,M,138126,EUR,759801600,M,2,2,False,,29.0,27.0,2.0,1.0,10.0,12.0,18.0,19.0,,,2.0,3.0,,,,,,85.0,43.0,6.6,7.0,0.144384,1,,,3.0,1.0,,,,1.0,2.0,,,,,,1.0,,0.1365,0.2339,2.0,1.0,,,,,1.0,1.0,,1.0,,,
11396232,home,1. FSV Mainz 05,Brajan Gruda,gruda-brajan,B. Gruda,M,10,178,2919,M,1198075,EUR,1085961600,F,43,43,False,,27.0,24.0,3.0,2.0,6.0,6.0,19.0,23.0,,4.0,,3.0,,,,,,75.0,48.0,8.1,13.0,0.373959,2,,1.0,7.0,,1.0,1.0,2.0,2.0,1.0,3.0,1.0,,Brajan Gruda,,2.0,1.0,0.375,0.9768,2.0,1.0,2.0,2.0,,2.0,5.0,,,1.0,,,
11396232,home,1. FSV Mainz 05,Jae-sung Lee,jae-sung-lee,J. Lee,F,7,180,2646,M,537552,EUR,713404800,F,7,7,False,,36.0,30.0,3.0,1.0,12.0,14.0,18.0,23.0,2.0,3.0,,2.0,,,,,,90.0,46.0,8.4,9.0,0.132573,6,,3.0,7.0,,1.0,1.0,,2.0,,1.0,,,,,3.0,2.0,1.5737,1.4973,1.0,,1.0,1.0,1.0,2.0,,3.0,2.0,,1.0,,
11396232,home,1. FSV Mainz 05,Jonathan Burkardt,jonathan-burkardt,J. Burkardt,F,9,181,3956,M,939830,EUR,963273600,F,29,29,False,,20.0,18.0,1.0,1.0,6.0,6.0,12.0,15.0,1.0,4.0,,4.0,,,,,,90.0,35.0,7.0,11.0,0.276442,1,,4.0,7.0,,,,,,,5.0,3.0,,,,1.0,,0.2227,0.7619,1.0,,1.0,1.0,,1.0,4.0,1.0,,,1.0,,
11396232,home,1. FSV Mainz 05,Edimilson Fernandes,edimilson-fernandes,E. Fernandes,M,6,190,345,M,330099,EUR,829526400,M,20,20,True,,31.0,29.0,1.0,,22.0,23.0,7.0,8.0,2.0,5.0,2.0,1.0,,,,,,36.0,40.0,6.9,3.0,0.00586826,0,,1.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,
11396232,home,1. FSV Mainz 05,Tom Krauß,tom-krauss,T. Krauß,M,5,182,398,M,930272,EUR,993168000,M,14,14,True,,13.0,10.0,1.0,,7.0,7.0,3.0,6.0,,1.0,,2.0,,,,,,15.0,17.0,6.8,4.0,0.0198282,1,,,2.0,,,,1.0,1.0,,1.0,,,,,,,0.2195,,,,,,1.0,1.0,,,,,1.0,,
11396232,home,1. FSV Mainz 05,Silvan Widmer,silvan-widmer,S. Widmer,M,30,182,532,M,157377,EUR,731289600,D,30,30,True,,9.0,8.0,1.0,1.0,5.0,5.0,4.0,6.0,,1.0,,,,,,,,15.0,15.0,7.2,2.0,0.321987,1,,1.0,1.0,,1.0,,,1.0,,,,,,,,,0.3793,,2.0,1.0,,1.0,,1.0,,1.0,1.0,,1.0,,
11396232,home,1. FSV Mainz 05,Josuha Guilavogui,josuha-guilavogui,J. Guilavogui,D,,188,210,M,45686,EUR,653702400,M,23,23,True,,23.0,22.0,1.0,1.0,18.0,18.0,4.0,5.0,1.0,1.0,,,,,,,,10.0,23.0,6.6,1.0,0.00184348,0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
11396232,home,1. FSV Mainz 05,Ludovic Ajorque,ludovic-ajorque,L. Ajorque,F,19,196,1365,M,343971,EUR,762134400,F,17,17,True,,10.0,9.0,,,4.0,5.0,5.0,5.0,,1.0,,,,,,,,10.0,12.0,6.7,1.0,0.0312068,0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11396232,home,1. FSV Mainz 05,Lasse Riess,lasse-riess,L. Riess,G,1,191,83,M,1069252,EUR,996192000,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396232,home,1. FSV Mainz 05,Matondo-Merveille Papela,matondo-merveille-papela,M. Papela,M,21,174,63,M,930279,EUR,979776000,M,24,24,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
