match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_challengeLost,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,player_sofascoreId,stat_bigChanceCreated,stat_shotOffTarget,stat_hitWoodwork,captain,stat_goodHighClaim,stat_goals,stat_lastManTackle,stat_totalOffside,stat_clearanceOffLine
12441706,home,Almere City FC,Nordin Bakker,nordin-bakker,N. Bakker,G,31,196.0,132,M,945955,EUR,878256000,G,1,1,False,40.0,22.0,37.0,19.0,0.0,3.0,4.0,19.0,36.0,11.0,4.0,6.0,90.0,48.0,7.4,18.0,0.0165864,0,0.3084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12441706,home,Almere City FC,Marvin Martins,marvin-martins,Martins,D,,185.0,95,M,537854,EUR,792979200,D,27,27,False,24.0,18.0,1.0,,0.0,8.0,11.0,11.0,16.0,1.0,,,90.0,46.0,6.4,13.0,0.149098,0,,3.0,1.0,1.0,4.0,4.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
12441706,home,Almere City FC,Joey Jacobs,joey-jacobs,J. Jacobs,D,3,183.0,24,M,930838,EUR,955324800,D,3,3,False,35.0,27.0,9.0,4.0,0.0,11.0,12.0,16.0,23.0,3.0,,,90.0,47.0,6.8,8.0,0.0679641,2,,,,4.0,3.0,4.0,4.0,,2.0,,,,,1.0,1.0,2.0,1.0,1.0,1.0,0.2917,0.2744,,,,,,,,,,,,,,,,
12441706,home,Almere City FC,James Lawrence,james-lawrence,J. Lawrence,D,4,188.0,53,M,193462,EUR,714441600,D,15,15,False,26.0,26.0,2.0,2.0,0.0,20.0,20.0,6.0,6.0,2.0,,,60.0,29.0,6.6,,0.00147002,0,,,,5.0,,6.0,1.0,,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
12441706,home,Almere City FC,Vasilios Zagaritis,vassilis-zagaritis,V. Zagaritis,D,19,178.0,227,M,1064426,EUR,988934400,D,14,14,False,49.0,42.0,6.0,4.0,0.0,19.0,21.0,25.0,36.0,6.0,,,90.0,82.0,6.8,17.0,0.14838,2,,8.0,2.0,,2.0,3.0,4.0,,3.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,0.0468,,,,1.0,3.0,1.0,2.0,,,,,,,,,,
12441706,home,Almere City FC,Anas Tahiri,anas-tahiri,A. Tahiri,M,19,179.0,260,M,544156,EUR,800496000,M,8,8,False,44.0,36.0,6.0,4.0,0.0,5.0,7.0,31.0,37.0,5.0,,,71.0,51.0,6.7,9.0,0.0477506,0,,,,,,1.0,,,3.0,,,1.0,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,
12441706,home,Almere City FC,Thom Haye,thom-haye,T. Haye,M,33,187.0,10984,M,149666,EUR,792288000,M,19,19,False,61.0,56.0,8.0,6.0,0.0,19.0,19.0,41.0,48.0,7.0,,,90.0,83.0,7.6,10.0,0.284536,3,,6.0,4.0,,1.0,2.0,5.0,1.0,1.0,4.0,3.0,1.0,,3.0,1.0,1.0,,1.0,1.0,0.4805,0.3075,,,1.0,,,1.0,thomhaye,1.0,1.0,,,,,,,
12441706,home,Almere City FC,Junior Kadile,kadile-junior,J. Kadile,M,11,182.0,132,M,999033,EUR,1039996800,M,11,11,False,21.0,15.0,3.0,2.0,0.0,2.0,2.0,13.0,24.0,3.0,,,71.0,45.0,6.8,17.0,0.0416107,6,,5.0,,2.0,,6.0,4.0,1.0,1.0,1.0,1.0,3.0,,,,,,1.0,1.0,0.3109,,,,1.0,4.0,2.0,4.0,,,2.0,1.0,,,,,,
12441706,home,Almere City FC,Thomas Robinet,thomas-robinet,T. Robinet,M,9,180.0,359,M,790802,EUR,840326400,M,9,9,False,27.0,16.0,1.0,,0.0,5.0,7.0,11.0,21.0,,,,90.0,43.0,6.7,15.0,0.021786,4,,1.0,,4.0,4.0,7.0,9.0,3.0,1.0,4.0,2.0,,,,1.0,1.0,,1.0,,0.3796,0.3149,,,,1.0,1.0,1.0,,,2.0,,True,,,,,
12441706,home,Almere City FC,Ali Jasim,elaibi-ali-jasim,A. Jasim,M,14,182.0,8498,M,1066729,EUR,1074556800,M,12,12,False,34.0,27.0,,,0.0,3.0,5.0,24.0,29.0,1.0,,,60.0,49.0,6.3,16.0,0.030723,0,,,,1.0,1.0,9.0,3.0,2.0,,1.0,1.0,2.0,,1.0,,,,,1.0,,,Ali Jasim Elaibi,,2.0,4.0,,,ali_jasim.7,,,,,,,,,
