match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_progressiveBallCarriesCount,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_fouls,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_keyPass,stat_accurateCross,stat_shotOffTarget,stat_outfielderBlock,stat_unsuccessfulTouch,stat_expectedGoals,stat_shotValueNormalized,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_goals,stat_penaltyWon,stat_hitWoodwork,stat_blockedScoringAttempt,stat_goodHighClaim,stat_penaltyFaced,stat_penaltyConceded,stat_clearanceOffLine,stat_errorLeadToAShot
14062188,home,FC Bayern München,Manuel Neuer,manuel-neuer,M. Neuer,G,1,193,36498,M,MNeuer,8959,EUR,512265600,G,1,1,False,True,25.0,19.0,11.0,6.0,0.0,17.0,18.0,2.0,7.0,1.0,2.0,5.0,1.0,1.0,3.0,3.0,1.0,1.0,90.0,34.0,7.6,6.0,0.00089624,18.920073717532,3.0,6.7112930174452,0.0,0.8697,0,1.4294,0.08,0.01,-0.35,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14062188,home,FC Bayern München,Josip Stanišić,josip-stanisic,J. Stanišić,D,44,186,9022,M,josip_stanisic,927407,EUR,954633600,D,44,44,False,,42.0,35.0,4.0,3.0,0.0,12.0,15.0,23.0,27.0,10.0,2.0,5.0,,1.0,,,,,90.0,63.0,7.7,10.0,0.0350008,85.325824325043,11.0,33.727344179499,2.0,,0,,-0.12,0.28,0.4,,,,2.0,1.0,3.0,4.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,19.232500344542,31.0555425353,1.0,,,,,,,,,,,,,,,,,,,,
14062188,home,FC Bayern München,Dayot Upamecano,dayot-upamecano,D. Upamecano,D,2,185,14152,M,Upamecano,798583,EUR,909446400,D,2,2,False,,62.0,54.0,8.0,5.0,0.0,22.0,25.0,32.0,37.0,4.0,2.0,9.0,,,,,,,90.0,68.0,7.2,9.0,0.0303952,155.28377800626,17.0,33.391066795154,0.0,,0,,0.31,0.2,-0.21,,,,1.0,1.0,1.0,2.0,1.0,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
14062188,home,FC Bayern München,Jonathan Tah,jonathan-tah,J. Tah,D,4,194,9454,M,jonatah,227672,EUR,823996800,D,4,4,False,,28.0,28.0,1.0,1.0,0.0,12.0,12.0,16.0,16.0,1.0,6.0,,,,,,,,63.0,36.0,6.4,,0.0243335,56.299712105131,9.0,12.824160755671,0.0,,0,,0.15,0.03,-0.13,,,,,1.0,1.0,3.0,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
14062188,home,FC Bayern München,Alphonso Davies,alphonso-davies,A. Davies,D,19,185,29613,M,ADavies19,843665,EUR,973123200,D,19,19,False,,34.0,33.0,,,0.0,16.0,16.0,17.0,18.0,6.0,3.0,9.0,,2.0,,,,,80.0,55.0,6.5,3.0,0.0479803,165.89617877077,15.0,70.534742577434,2.0,,2,,-0.07,0.21,-0.12,,,,1.0,3.0,3.0,4.0,,,,,1.0,,1.0,1.0,1.0,17.87297062411,43.48908299553,,1.0,2.0,1.0,2.0,0.1272,-0.55,,,,,,,,,,,,,,
14062188,home,FC Bayern München,Joshua Kimmich,joshua-kimmich,J. Kimmich,M,6,176,42486,M,Jok_32,259117,EUR,792201600,M,6,6,False,,68.0,64.0,5.0,3.0,0.0,22.0,23.0,42.0,45.0,5.0,1.0,7.0,,,,,,,90.0,86.0,8.2,10.0,0.651029,213.21712648011,22.0,88.359734627352,2.0,,1,,0.8,0.17,0.25,,,,6.0,,1.0,2.0,1.0,,,,2.0,,4.0,3.0,1.0,30.076364011881,57.718406552175,2.0,2.0,1.0,,,0.0873,-0.17,1.0,,,,,,,,,,,,,
14062188,home,FC Bayern München,Aleksandar Pavlović,aleksandar-pavlovic,A. Pavlović,M,45,186,10825,M,alekspavlovic_,1142251,EUR,1083542400,M,45,45,False,,70.0,65.0,9.0,8.0,0.0,13.0,13.0,52.0,57.0,6.0,1.0,8.0,,1.0,,,,,90.0,82.0,8.1,7.0,0.0819724,245.97781517587,24.0,151.35508285266,3.0,,2,,0.69,0.24,-0.06,,,,,1.0,4.0,4.0,1.0,,,,,,1.0,,2.0,40.873482478307,88.564579515332,1.0,,2.0,,2.0,0.2842,-0.33,,,,,,,,,,,,,,
14062188,home,FC Bayern München,Michael Olise,michael-olise,M. Olise,M,17,184,79532,M,MOlise,978838,EUR,1008115200,M,17,17,False,,26.0,23.0,2.0,1.0,1.0,6.0,7.0,17.0,19.0,7.0,,5.0,,2.0,,,,,63.0,48.0,7.9,14.0,0.696253,254.60769810641,20.0,145.43541082886,5.0,,1,,0.84,0.38,-0.01,,,,4.0,1.0,1.0,5.0,,2.0,4.0,2.0,,,2.0,2.0,,27.053659041035,93.161225231626,4.0,1.0,,,2.0,0.0427,0.21,1.0,1.0,1.0,0.8784,,,,,,,,,,
14062188,home,FC Bayern München,Serge Gnabry,serge-gnabry,S. Gnabry,M,7,176,19183,M,sergegnabry,187433,EUR,805680000,M,7,7,False,,22.0,18.0,,,0.0,5.0,5.0,13.0,17.0,,1.0,1.0,,,,,,,63.0,27.0,6.5,5.0,0.425943,55.948034973493,7.0,-15.595117664608,0.0,,3,,0.32,0.09,-0.07,,,,,1.0,,3.0,1.0,,1.0,,,,,,,,,1.0,,3.0,,,0.1592,-0.52,1.0,,1.0,,,,,,,,,,,
14062188,home,FC Bayern München,Luis Díaz,luis-diaz,L. Díaz,F,14,178,143501,M,LuisDíaz,883537,EUR,853113600,M,14,14,False,,43.0,39.0,2.0,1.0,0.0,4.0,4.0,35.0,39.0,9.0,,5.0,,2.0,,,,,90.0,69.0,10.0,11.0,0.632806,266.69213239669,29.0,141.54477508308,8.0,,5,,0.69,0.6,-0.16,,,,3.0,,,6.0,2.0,,10.0,7.0,1.0,,,,1.0,25.405486892563,121.04796458268,6.0,2.0,1.0,,2.0,1.0741,1.0,1.0,4.0,1.0,1.8472,1.0,3.0,2.0,,,,,,,
