match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_shotOffTarget,stat_outfielderBlock,stat_expectedGoals,stat_keyPass,captain,stat_challengeLost,stat_blockedScoringAttempt,stat_totalOffside,stat_errorLeadToAShot,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_punches,stat_bigChanceCreated,stat_bigChanceMissed
12514019,home,CF Estrela Amadora,Bruno Brígido,bruno-brigido,B. Brígido,G,1,187,51,M,329079,EUR,668476800,G,30,30,False,20.0,18.0,3.0,1.0,0.0,17.0,17.0,1.0,3.0,8.0,1.0,1.0,2.0,1.0,1.0,90.0,29.0,6.0,2.0,0.00011737,0,-0.1062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514019,home,CF Estrela Amadora,Danilo Veiga,danilo-veiga,D. Veiga,D,17,183,380,M,1002045,EUR,1032912000,D,77,77,False,42.0,33.0,8.0,1.0,0.0,18.0,19.0,18.0,29.0,4.0,,,,,,86.0,74.0,6.7,18.0,0.0420331,0,,,,6.0,3.0,1.0,2.0,4.0,8.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
12514019,home,CF Estrela Amadora,Tiago Gabriel,tiago-gabriel,T. Gabriel,D,44,194,1285,M,1651825,EUR,1104019200,D,44,44,False,49.0,40.0,11.0,5.0,0.0,29.0,31.0,11.0,19.0,,1.0,,,,,90.0,69.0,6.9,12.0,0.00351316,1,,Tiago Gabriel,,1.0,,2.0,4.0,3.0,7.0,1.0,,,8.0,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,0.1608,,,,,,,,,,,,
12514019,home,CF Estrela Amadora,Till Cissokho,till-cissokho,T. Cissokho,D,,200,62,M,859022,EUR,949968000,D,3,3,False,57.0,48.0,6.0,2.0,0.0,31.0,33.0,17.0,24.0,8.0,,,,,,90.0,64.0,6.4,10.0,0.00782286,0,,,,,,1.0,3.0,2.0,4.0,1.0,,,4.0,,,,,1.0,,,,,,,,,,,,,,,,
12514019,home,CF Estrela Amadora,Nilton Varela,nilton-varela,N. Varela,M,75,182,76,M,998414,EUR,990748800,D,25,25,False,22.0,15.0,2.0,1.0,0.0,7.0,7.0,10.0,18.0,2.0,,,,,,62.0,50.0,6.5,16.0,0.149269,1,,,,3.0,2.0,,1.0,3.0,6.0,,5.0,2.0,1.0,,1.0,1.0,1.0,2.0,,1.0,,0.0227,1.0,,,,,,,,,,,
12514019,home,CF Estrela Amadora,Manuel Keliano,keliano-manuel,M. Keliano,M,42,185,351,M,1464131,EUR,1042675200,M,42,42,False,30.0,25.0,2.0,1.0,0.0,15.0,15.0,10.0,15.0,1.0,,,,,,45.0,36.0,6.3,7.0,0.0121706,0,,Manuel Keliano,,,,,,3.0,1.0,,,,1.0,,1.0,1.0,2.0,,3.0,,,,,,,,,,,,,,,
12514019,home,CF Estrela Amadora,Léo Cordeiro,leo-cordeiro,L. Cordeiro,M,22,174,96,M,869461,EUR,812160000,M,22,22,False,69.0,60.0,7.0,3.0,0.0,34.0,36.0,26.0,33.0,8.0,,,,,,90.0,83.0,6.8,12.0,0.0237711,3,,,,,,2.0,1.0,4.0,4.0,1.0,,,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,0.0532,,True,1.0,2.0,,,,,,,,
12514019,home,CF Estrela Amadora,Gustavo Henrique,gustavo-henrique,G. Henrique,F,,176,39,M,1066975,EUR,927504000,M,11,11,False,20.0,13.0,1.0,,1.0,3.0,5.0,10.0,17.0,2.0,,,,,,62.0,34.0,6.8,14.0,0.0335188,1,,,,2.0,,1.0,3.0,3.0,4.0,,1.0,,,1.0,,,3.0,1.0,,1.0,,0.0211,1.0,,1.0,,1.0,,,,,,,
12514019,home,CF Estrela Amadora,Alan Ruiz,alan-ruiz,A. Ruiz,M,,181,154,M,158255,EUR,745718400,M,10,10,False,55.0,37.0,6.0,3.0,0.0,12.0,18.0,25.0,46.0,3.0,,,,,,90.0,87.0,7.6,32.0,0.0452875,4,,,,9.0,,6.0,5.0,8.0,12.0,,4.0,3.0,5.0,,2.0,2.0,4.0,2.0,1.0,3.0,,0.1719,2.0,,,1.0,,1.0,,,,,,
12514019,home,CF Estrela Amadora,Nani,nani,Nani,F,17,177,2178,M,17740,EUR,532569600,M,17,17,False,24.0,19.0,2.0,1.0,0.0,4.0,6.0,15.0,22.0,3.0,,,,,,71.0,39.0,7.3,13.0,0.257118,1,,,,4.0,,3.0,1.0,5.0,3.0,1.0,,,,1.0,,,3.0,2.0,,,,0.05,2.0,,1.0,,1.0,,1.0,1.0,0.1312,,,
