match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,player_firstName,player_lastName,stat_shotOffTarget,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_shotValueNormalized,stat_challengeLost,stat_totalContest,stat_wonContest,stat_wasFouled,stat_totalCross,stat_fouls,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_keyPass,stat_accurateCross,stat_hitWoodwork,stat_bigChanceCreated,stat_goals,stat_penaltyWon,stat_totalOffside,stat_penaltyFaced,stat_punches,stat_penaltyConceded
13981588,home,Milan,Mike Maignan,mike-maignan,M. Maignan,G,16,190,15444,M,MMaignan,191210,EUR,804729600,G,16,16,False,True,26.0,19.0,10.0,4.0,0.0,17.0,18.0,2.0,8.0,1.0,1.0,12.0,1.0,1.0,90.0,39.0,7.0,7.0,0.00084761,50.304859334589,10.0,26.67,6.195,-0.0008,0,0.0427,0.08,0.0,0.25,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981588,home,Milan,Fikayo Tomori,fikayo-tomori,F. Tomori,D,23,185,7146,M,fikayotomori,788255,EUR,882489600,D,23,23,False,,57.0,54.0,4.0,3.0,0.0,33.0,34.0,21.0,23.0,,1.0,1.0,,,86.0,70.0,7.3,5.0,0.0134577,99.00012933083,15.0,54.075,12.6,,0,,0.28,0.08,0.29,,1.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981588,home,Milan,Koni De Winter,de-winter-koni,K. De Winter,D,5,191,3255,M,,1001828,EUR,1023840000,D,5,5,False,,57.0,51.0,3.0,,0.0,38.0,40.0,13.0,17.0,4.0,5.0,3.0,,,90.0,69.0,7.0,8.0,0.0022258,267.82351321629,27.0,121.905,21.42,,1,,-0.03,0.04,0.27,,,1.0,1.0,5.0,1.0,,1.0,,,1.0,1.0,1.0,0.1005,42.179402435084,2.0,-0.34,,,,,,,,,,,,,,,,,,,,
13981588,home,Milan,Strahinja Pavlović,strahinja-pavlovic,S. Pavlović,D,31,194,8727,M,strahinjapavlovic,965893,EUR,990662400,D,31,31,False,,30.0,26.0,3.0,2.0,0.0,20.0,21.0,6.0,9.0,1.0,6.0,4.0,,,90.0,49.0,6.9,9.0,0.00115675,95.751665326039,10.0,49.98,38.955,,0,,-0.02,0.06,0.14,,2.0,7.0,2.0,5.0,,2.0,2.0,,,,1.0,1.0,,52.743943579681,2.0,,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,
13981588,home,Milan,Alexis Saelemaekers,alexis-saelemaekers,A. Saelemaekers,M,56,180,7592,M,AS56,901891,EUR,930441600,M,56,56,False,,29.0,25.0,,,0.0,14.0,15.0,11.0,14.0,,6.0,2.0,,,76.0,44.0,7.0,8.0,0.0210895,124.27180448495,12.0,46.83,36.12,,1,,0.03,0.05,0.2,,,2.0,,,1.0,,3.0,,,1.0,1.0,1.0,0.0176,36.517294313791,1.0,-0.06,,2.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,
13981588,home,Milan,Ruben Loftus-Cheek,ruben-loftus-cheek,R. Loftus-Cheek,M,8,191,7232,M,rlc,284441,EUR,822355200,M,8,8,False,,28.0,26.0,1.0,,0.0,4.0,4.0,22.0,24.0,,3.0,1.0,,,71.0,41.0,6.3,5.0,0.0201192,70.462345317883,9.0,42.42,21.21,,2,,-0.45,0.32,-0.06,,1.0,5.0,1.0,1.0,,3.0,,,,,,2.0,0.1546,32.10759611107,2.0,-0.47,1.0,,,3.0,,2.0,1.0,1.0,1.0,0.1136,1.0,,,,,,,,,
13981588,home,Milan,Luka Modrić,luka-modric,L. Modrić,M,14,173,354764,M,LModric10,15466,EUR,495072000,M,14,14,False,,50.0,42.0,6.0,5.0,0.0,14.0,15.0,28.0,35.0,,2.0,2.0,,,70.0,63.0,7.6,13.0,0.172005,170.89297001763,19.0,102.69,30.24,,1,,0.49,0.21,0.14,,,,,1.0,1.0,,1.0,,,,,2.0,0.0442,41.403365545306,2.0,0.01,,,,1.0,5.0,,,1.0,,0.3983,3.0,2.0,1.0,,,,,,,
13981588,home,Milan,Adrien Rabiot,adrien-rabiot,A. Rabiot,M,12,191,11335,M,adrienrabiot_25,250737,EUR,796867200,M,12,12,False,,48.0,38.0,2.0,,1.0,17.0,17.0,21.0,31.0,6.0,10.0,5.0,,,90.0,62.0,6.9,14.0,0.0163571,134.49832961384,16.0,52.605,21.42,,3,,-0.34,0.13,0.23,,2.0,6.0,2.0,1.0,,1.0,1.0,,,3.0,,,0.1167,22.873586863455,1.0,-0.42,,1.0,,3.0,1.0,1.0,,,,,1.0,,,1.0,,,,,,
13981588,home,Milan,Davide Bartesaghi,davide-bartesaghi,D. Bartesaghi,D,33,193,5573,M,,1390489,EUR,1135814400,M,33,33,False,,29.0,19.0,3.0,1.0,0.0,7.0,10.0,12.0,19.0,,4.0,2.0,,,90.0,66.0,7.0,21.0,0.166521,105.98348648633,6.0,63.0,43.05,,0,,0.16,0.13,-0.01,,,3.0,2.0,1.0,,1.0,4.0,,,,3.0,,,67.063512979404,2.0,,,1.0,,,5.0,,,,,,1.0,2.0,,,,,,,,
13981588,home,Milan,Christopher Nkunku,christopher-nkunku,C. Nkunku,F,18,175,49218,M,Nkunku,769333,EUR,879465600,F,18,18,False,,19.0,16.0,,,0.0,5.0,5.0,11.0,14.0,2.0,3.0,1.0,,,90.0,27.0,8.5,4.0,0.0584461,23.138830671116,4.0,5.355,4.935,,2,,0.28,0.21,0.0,,3.0,3.0,,,,,,,,,,,1.7345,,,0.51,,,,1.0,,,,2.0,,1.5886,1.0,,,1.0,2.0,1.0,1.0,,,
