match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_totalOffside,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_aerialWon,stat_fouls,stat_accurateCross,stat_challengeLost,stat_keyPass,captain,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,player_sofascoreId,stat_hitWoodwork
10434105,home,Kayserispor,Bilal Bayazit,bilal-bayazit,B. Bayazit,G,25,185.0,235,M,825850,EUR,923529600,G,25,25,False,27.0,17.0,16.0,7.0,14.0,15.0,3.0,12.0,1.0,1.0,1.0,10.0,1.0,1.0,2.0,3.0,90.0,40.0,7.6,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434105,home,Kayserispor,Onur Bulut,onur-bulut,O. Bulut,D,6,179.0,562,M,142494,EUR,766454400,D,38,38,False,49.0,42.0,6.0,5.0,23.0,24.0,19.0,28.0,,2.0,3.0,10.0,,,,,90.0,79.0,7.1,14.0,2,3.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10434105,home,Kayserispor,Majid Hosseini,majid-hosseini,M. Hosseini,D,5,187.0,803,M,359332,EUR,835228800,D,5,5,False,51.0,43.0,7.0,3.0,33.0,35.0,10.0,17.0,5.0,5.0,,7.0,,,,,90.0,59.0,6.9,10.0,0,1.0,,,,2.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10434105,home,Kayserispor,Arif Kocaman,kocaman-arif,A. Kocaman,D,43,184.0,69,M,1173638,EUR,1063497600,D,54,54,False,42.0,34.0,9.0,3.0,27.0,29.0,7.0,13.0,2.0,5.0,3.0,7.0,,,,,90.0,57.0,6.9,12.0,0,,3.0,1.0,,4.0,,,,1.0,1.0,,,,2.0,1.0,,,,,,,,,,,,,
10434105,home,Kayserispor,Lionel Carole,lionel-carole,L. Carole,D,23,180.0,84,M,122922,EUR,671414400,D,21,21,False,47.0,41.0,9.0,5.0,23.0,23.0,19.0,26.0,1.0,4.0,1.0,8.0,,,,,90.0,66.0,6.9,10.0,0,2.0,,,,4.0,,,,,,1.0,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,
10434105,home,Kayserispor,Campanharo,campanharo,Campanharo,M,,178.0,121,M,220094,EUR,702345600,M,88,88,False,46.0,40.0,3.0,1.0,23.0,24.0,17.0,23.0,,3.0,7.0,6.0,,,,,90.0,65.0,7.6,10.0,2,1.0,,,2.0,1.0,6.0,4.0,,1.0,2.0,3.0,,,1.0,2.0,,1.0,1.0,True,,,,,,,,,
10434105,home,Kayserispor,Emrah Başsan,emrah-bassan,E. Başsan,M,14,177.0,60,M,174141,EUR,703468800,M,17,17,False,31.0,25.0,2.0,2.0,8.0,10.0,17.0,24.0,1.0,5.0,3.0,4.0,1.0,,,,74.0,49.0,6.9,14.0,1,3.0,1.0,,1.0,1.0,2.0,1.0,,,2.0,2.0,,,,1.0,,,1.0,,2.0,,,,,,,,
10434105,home,Kayserispor,Olivier Kemen,olivier-kemen,O. Kemen,M,8,177.0,827,M,280447,EUR,837820800,M,10,10,False,23.0,15.0,4.0,3.0,4.0,5.0,11.0,18.0,1.0,5.0,3.0,5.0,1.0,,,,86.0,34.0,6.6,11.0,0,,1.0,1.0,,2.0,1.0,1.0,,,1.0,2.0,,,,3.0,,,,,1.0,,,,,,,,
10434105,home,Kayserispor,Ali Karimi,ali-karimi,A. Karimi,M,24,186.0,411,M,803869,EUR,760924800,M,6,6,False,41.0,25.0,4.0,2.0,7.0,10.0,19.0,32.0,7.0,15.0,2.0,7.0,,,,,90.0,60.0,6.7,24.0,3,1.0,4.0,,1.0,2.0,,,,1.0,,1.0,,,2.0,1.0,1.0,,1.0,,3.0,1.0,1.0,1.0,,,,,
10434105,home,Kayserispor,Carlos Mané,carlos-mane,C. Mané,M,20,172.0,381,M,859748,EUR,763344000,M,20,20,False,27.0,24.0,,,4.0,5.0,21.0,24.0,2.0,6.0,4.0,3.0,,,,,64.0,40.0,6.9,9.0,0,2.0,2.0,,,1.0,2.0,1.0,,,,1.0,,,2.0,1.0,1.0,,3.0,,1.0,,,,,,,,
