match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_wasFouled,stat_fouls,stat_totalContest,stat_interceptionWon,stat_unsuccessfulTouch,captain,stat_totalTackle,stat_wonTackle,stat_aerialLost,stat_wonContest,stat_accurateCross,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalOffside,stat_keyPass,stat_blockedScoringAttempt,stat_goodHighClaim,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals,stat_hitWoodwork
11373419,home,Notts County,Sam Slocombe,sam-slocombe,S. Slocombe,G,21,183,6,M,40635,EUR,581472000,G,1,1,False,89.0,69.0,26.0,7.0,65.0,71.0,4.0,18.0,1.0,22.0,1.0,3.0,7.0,90.0,111.0,7.4,20.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11373419,home,Notts County,Richard Brindley,richard-brindley,R. Brindley,D,2,179,7,M,288711,EUR,736560000,D,2,2,False,56.0,51.0,1.0,1.0,39.0,42.0,12.0,16.0,3.0,2.0,,,,76.0,70.0,6.7,8.0,0,Richard,Brindley,2.0,1.0,4.0,6.0,2.0,1.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,
11373419,home,Notts County,Aden Baldwin,aden-baldwin,A. Baldwin,D,15,183,28,M,824649,EUR,865900800,D,15,15,False,55.0,51.0,5.0,4.0,38.0,40.0,13.0,15.0,2.0,1.0,1.0,,,56.0,62.0,5.3,6.0,0,,,,1.0,4.0,2.0,1.0,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
11373419,home,Notts County,Kyle Cameron,kyle-cameron,K. Cameron,D,6,190,17,M,547372,EUR,853286400,D,4,4,False,124.0,109.0,13.0,4.0,95.0,105.0,14.0,19.0,3.0,,,,,90.0,135.0,6.3,18.0,0,,,,2.0,4.0,3.0,1.0,1.0,,,2.0,,1.0,2.0,True,1.0,1.0,,,,,,,,,,,,,,
11373419,home,Notts County,Adam Chicksen,adam-chicksen,A. Chicksen,D,,173,24,M,38126,EUR,685929600,D,23,23,False,83.0,74.0,2.0,2.0,49.0,55.0,25.0,29.0,1.0,10.0,,,,90.0,104.0,6.5,12.0,0,,,1.0,1.0,5.0,4.0,1.0,1.0,,2.0,2.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,
11373419,home,Notts County,Tobi Adebayo-Rowling,tobi-adebayo-rowling,T. Adebayo-Rowling,M,14,184,17,M,793662,EUR,848102400,M,21,21,False,39.0,32.0,1.0,,13.0,16.0,20.0,33.0,,4.0,,,,90.0,62.0,6.8,22.0,2,,,10.0,3.0,2.0,3.0,,,,,1.0,1.0,,4.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,
11373419,home,Notts County,Geraldo Bajrami,geraldo-bajrami,G. Bajrami,M,4,187,48,M,991402,EUR,938131200,M,24,24,False,9.0,7.0,1.0,,4.0,5.0,3.0,4.0,,,,,,11.0,10.0,6.5,2.0,0,,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
11373419,home,Notts County,Jim O'Brien,jim-obrien,J. O'Brien,M,,183,6,M,30271,EUR,559785600,M,6,6,False,88.0,74.0,4.0,4.0,53.0,58.0,21.0,31.0,1.0,7.0,,,,90.0,98.0,6.9,18.0,0,,,1.0,2.0,3.0,7.0,1.0,,,1.0,1.0,1.0,,2.0,,4.0,3.0,,,,,,,,,,,,,,
11373419,home,Notts County,Sam Austin,sam-austin,S. Austin,M,10,182,18,M,589184,EUR,850953600,M,8,8,False,44.0,41.0,1.0,1.0,14.0,15.0,27.0,35.0,,4.0,,,,90.0,64.0,6.8,14.0,3,,,6.0,,7.0,1.0,,2.0,,,,1.0,1.0,2.0,,1.0,1.0,4.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,
11373419,home,Notts County,Daniel Crowley,daniel-crowley,D. Crowley,M,7,175,111,M,845493,EUR,870566400,F,7,7,False,42.0,37.0,,,17.0,20.0,20.0,25.0,,5.0,,,,68.0,48.0,6.9,8.0,1,,,3.0,,,2.0,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,1.0,,,,,,
