match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,captain,stat_onTargetScoringAttempt,stat_wonContest,stat_outfielderBlock,stat_errorLeadToAShot,stat_goals,player_sofascoreId,stat_aerialLost,stat_ownGoals,stat_totalOffside,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_penaltyFaced,stat_penaltyConceded,stat_errorLeadToAGoal
10382258,home,PSV Eindhoven,Joël Drommel,,,joel-drommel,J. Drommel,G,1,189.0,376,M,610396,EUR,848102400,G,16,16,False,22.0,15.0,15.0,8.0,10.0,12.0,5.0,10.0,1.0,4.0,1.0,2.0,3.0,2.0,2.0,90.0,27.0,6.4,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382258,home,PSV Eindhoven,Phillipp Mwene,,,phillipp-mwene,P. Mwene,M,2,170.0,470,M,138126,EUR,759801600,D,29,29,False,49.0,40.0,7.0,3.0,18.0,20.0,24.0,32.0,3.0,6.0,,,,,,90.0,74.0,6.5,14.0,1,3.0,2.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,
10382258,home,PSV Eindhoven,André Ramalho,,,andre-ramalho,A. Ramalho,D,5,182.0,5374,M,148155,EUR,698198400,D,5,5,False,58.0,50.0,9.0,4.0,34.0,36.0,16.0,22.0,2.0,4.0,,,,,,90.0,67.0,6.8,8.0,1,,,3.0,1.0,6.0,1.0,,,,,2.0,1.0,,1.0,,,True,1.0,,,,,,,,,,,,,,,
10382258,home,PSV Eindhoven,Jarrad Branthwaite,,,jarrad-branthwaite,J. Branthwaite,D,32,195.0,2596,M,979563,EUR,1025136000,D,22,22,False,39.0,31.0,4.0,1.0,20.0,22.0,11.0,17.0,6.0,3.0,,,,,,90.0,54.0,6.8,10.0,1,,,3.0,1.0,4.0,,,1.0,,2.0,,,1.0,,1.0,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,
10382258,home,PSV Eindhoven,Patrick van Aanholt,,,patrick-van-aanholt,P. v. Aanholt,D,14,175.0,555,M,74577,EUR,651888000,D,30,30,False,38.0,34.0,2.0,,16.0,17.0,18.0,24.0,,8.0,,,,,,83.0,53.0,7.0,10.0,1,3.0,,,2.0,1.0,1.0,,2.0,,1.0,,,2.0,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,
10382258,home,PSV Eindhoven,Ibrahim Sangaré,,,ibrahim-sangare,I. Sangaré,M,6,191.0,10131,M,843754,EUR,881020800,M,6,6,False,46.0,39.0,4.0,2.0,17.0,19.0,22.0,27.0,2.0,4.0,,,,,,90.0,63.0,7.7,9.0,4,,,3.0,3.0,5.0,,,,2.0,,2.0,1.0,2.0,,2.0,2.0,,2.0,,1.0,,,ibrahim_sangare,1.0,1.0,1.0,,,,,,,
10382258,home,PSV Eindhoven,Joey Veerman,,,joey-veerman,J. Veerman,M,23,185.0,3780,M,850816,EUR,911433600,M,23,23,False,69.0,60.0,6.0,5.0,21.0,22.0,42.0,56.0,1.0,13.0,,,,,,90.0,100.0,8.9,18.0,3,9.0,3.0,,4.0,3.0,2.0,,3.0,1.0,1.0,1.0,1.0,2.0,,1.0,6.0,,2.0,2.0,1.0,,,,,,,3.0,1.0,1.0,,,,
10382258,home,PSV Eindhoven,Johan Bakayoko,Johan Bakayoko,,johan-bakayoko,J. Bakayoko,F,9,179.0,6820,M,1088896,EUR,1050796800,M,27,27,False,18.0,15.0,1.0,1.0,3.0,4.0,12.0,16.0,,4.0,,,,,,45.0,32.0,6.4,11.0,3,2.0,,,9.0,2.0,,2.0,1.0,1.0,,1.0,,2.0,1.0,4.0,,,1.0,,,,,johanbakayoko,2.0,,,,,,1.0,,,
10382258,home,PSV Eindhoven,Guus Til,,,guus-til,G. Til,M,20,183.0,2263,M,845798,EUR,882748800,M,20,20,False,34.0,28.0,1.0,,7.0,8.0,21.0,27.0,,5.0,,,,,,79.0,44.0,6.9,10.0,2,1.0,,,2.0,1.0,,1.0,1.0,,,,,,,,3.0,,,1.0,,,,,1.0,,,,1.0,,2.0,,,
10382258,home,PSV Eindhoven,Xavi Simons,,,xavi-simons,X. Simons,M,7,179.0,50786,M,997183,EUR,1050883200,M,7,7,False,38.0,33.0,,,5.0,5.0,29.0,34.0,,6.0,,,,,,89.0,64.0,8.6,14.0,3,1.0,1.0,1.0,5.0,11.0,,1.0,9.0,1.0,,1.0,,4.0,3.0,1.0,4.0,,2.0,6.0,,,1.0,XaviSimons,,,,1.0,1.0,,,,,
