match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_totalTackle,stat_wonTackle,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_accurateCross,stat_shotOffTarget,captain,stat_goalAssist,stat_keyPass,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_bigChanceMissed,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
10385662,home,Wolverhampton,José Sá,jose-sa,J. Sá,G,1,192,4016,M,252669,EUR,727228800,G,1,1,False,23.0,11.0,14.0,2.0,9.0,9.0,2.0,14.0,1.0,1.0,5.0,1.0,2.0,3.0,1.0,90.0,32.0,7.6,13.0,0.00027204,0,0.4551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385662,home,Wolverhampton,Nélson Semedo,nelson-semedo,N. Semedo,M,27,177,7696,M,252821,EUR,753408000,D,22,22,False,31.0,25.0,1.0,,15.0,19.0,10.0,14.0,2.0,1.0,5.0,1.0,,,,90.0,52.0,6.7,11.0,0.0047162,0,,nelsonsemedo50,2.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
10385662,home,Wolverhampton,Craig Dawson,craig-dawson,C. Dawson,D,,188,419,M,50027,EUR,641952000,D,15,15,False,35.0,29.0,7.0,3.0,24.0,26.0,5.0,9.0,1.0,2.0,2.0,,,,,90.0,47.0,7.0,9.0,0.00096791,0,,,,3.0,,4.0,,2.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10385662,home,Wolverhampton,Max Kilman,max-kilman,M. Kilman,D,3,192,1250,M,894474,EUR,864345600,D,23,23,False,33.0,26.0,8.0,5.0,23.0,26.0,3.0,7.0,5.0,6.0,5.0,1.0,,,,90.0,46.0,7.2,8.0,0.00085919,0,,,,1.0,3.0,3.0,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10385662,home,Wolverhampton,Toti Gomes,toti-gomes,T. Gomes,D,24,187,1047,M,973418,EUR,916444800,D,24,24,False,20.0,15.0,2.0,,11.0,13.0,4.0,7.0,5.0,3.0,1.0,,,,,90.0,40.0,7.6,7.0,0.00144933,1,,,,,,6.0,1.0,1.0,1.0,,4.0,,3.0,2.0,1.0,1.0,3.0,2.0,1.0,0.1056,0.2367,,,,,,,,,,,,,
10385662,home,Wolverhampton,Matheus Nunes,matheus-nunes,M. Nunes,D,27,183,19609,M,945122,EUR,904176000,M,27,27,False,22.0,16.0,4.0,2.0,8.0,11.0,9.0,14.0,8.0,3.0,4.0,,,,,89.0,40.0,7.5,8.0,0.0185654,1,,matheusnunes,3.0,3.0,3.0,4.0,,1.0,1.0,,1.0,,3.0,3.0,,,2.0,2.0,,0.0829,,,,1.0,1.0,,,,,,,,,
10385662,home,Wolverhampton,Rúben Neves,ruben-neves,R. Neves,M,8,181,15401,M,280955,EUR,858211200,M,8,8,False,25.0,17.0,9.0,3.0,9.0,12.0,9.0,18.0,4.0,2.0,7.0,1.0,,,,90.0,39.0,7.0,13.0,0.0389285,0,,rubenneves,5.0,,,4.0,1.0,,,,2.0,1.0,1.0,1.0,,,2.0,1.0,,,,,,1.0,,True,1.0,1.0,,,,,,
10385662,home,Wolverhampton,Mario Lemina,mario-lemina,M. Lemina,M,99,184,8756,M,307284,EUR,746841600,M,5,5,False,30.0,22.0,4.0,,15.0,16.0,7.0,14.0,4.0,2.0,9.0,1.0,,,,90.0,44.0,6.9,9.0,0.00250003,1,,,,1.0,,6.0,1.0,1.0,2.0,1.0,4.0,,,,,,3.0,2.0,,0.0104,,,,,,,,,1.0,,,,,
10385662,home,Wolverhampton,Pedro Neto,pedro-neto,P. Neto,M,7,172,39913,M,879349,EUR,952560000,M,7,7,False,16.0,13.0,2.0,1.0,3.0,3.0,10.0,15.0,2.0,,3.0,1.0,,,,83.0,29.0,7.0,8.0,0.167851,0,,pedroneto_30,2.0,,,4.0,,,1.0,,1.0,2.0,1.0,,,,1.0,,,,,,,,,,,2.0,,1.0,,,,
10385662,home,Wolverhampton,Matheus Cunha,matheus-cunha,M. Cunha,F,10,184,69408,M,886363,EUR,927763200,F,12,12,False,14.0,9.0,2.0,1.0,5.0,7.0,4.0,7.0,10.0,1.0,3.0,1.0,,,,68.0,33.0,7.4,7.0,0.00549972,2,,Cunha,,2.0,,4.0,,,2.0,1.0,1.0,1.0,7.0,7.0,,,2.0,2.0,,0.2032,,,,,1.0,,,,1.0,,,,,
