match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,player_firstName,player_lastName,stat_challengeLost,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_accurateCross,stat_totalContest,stat_ownGoals,stat_wasFouled,stat_totalOffside,captain,stat_wonContest,stat_bigChanceCreated,stat_keyPass,stat_unsuccessfulTouch,stat_dispossessed,stat_goalAssist,stat_onTargetScoringAttempt,stat_goals,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_clearanceOffLine,stat_errorLeadToAShot
10385503,home,Aston Villa,Emiliano Martínez,emiliano-martinez,E. Martínez,G,23,195,61053,M,EmiMartínez,158263,EUR,715392000,G,1,1,False,14.0,10.0,8.0,4.0,7.0,8.0,3.0,6.0,1.0,8.0,2.0,4.0,4.0,90.0,25.0,7.0,5.0,0.0,0.0,0.00249076,0,-0.0436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385503,home,Aston Villa,Matty Cash,matty-cash,M. Cash,D,2,185,9380,M,mattycash622,833956,EUR,870912000,D,2,2,False,35.0,28.0,6.0,2.0,12.0,14.0,16.0,22.0,1.0,2.0,,,,89.0,53.0,7.2,9.0,0.0,0.0,0.162096,0,,1.0,1.0,1.0,2.0,4.0,1.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10385503,home,Aston Villa,Diego Carlos,diego-carlos,D. Carlos,D,34,185,2746,M,,604232,EUR,732153600,D,3,3,False,53.0,44.0,4.0,1.0,23.0,26.0,21.0,27.0,1.0,6.0,,,,89.0,60.0,6.7,9.0,0.3408,0.0,0.00654259,3,,,,3.0,1.0,3.0,2.0,1.0,,,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
10385503,home,Aston Villa,Tyrone Mings,tyrone-mings,T. Mings,D,5,195,1992,M,,303638,EUR,731980800,D,5,5,False,59.0,52.0,5.0,1.0,29.0,32.0,23.0,27.0,6.0,3.0,,,,90.0,68.0,6.8,7.0,0.0,0.0,0.0178629,0,,,1.0,3.0,1.0,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385503,home,Aston Villa,Lucas Digne,lucas-digne,L. Digne,D,12,178,4442,M,LDigne,96538,EUR,743126400,D,27,27,False,63.0,52.0,4.0,,18.0,21.0,36.0,49.0,3.0,1.0,,,,90.0,93.0,6.3,21.0,0.0363,0.0,0.0576735,1,,7.0,1.0,1.0,6.0,4.0,,2.0,2.0,1.0,1.0,,,1.0,,1.0,,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,
10385503,home,Aston Villa,John McGinn,john-mcginn,J. McGinn,M,7,175,3895,M,,250223,EUR,782438400,M,7,7,False,47.0,41.0,5.0,3.0,12.0,12.0,31.0,40.0,,9.0,,,,90.0,73.0,8.1,10.0,0.0571,0.0,0.188217,2,,5.0,,1.0,1.0,11.0,1.0,2.0,4.0,1.0,2.0,,,,,1.0,1.0,2.0,2.0,,4.0,,True,2.0,1.0,2.0,,,,,,,,,
10385503,home,Aston Villa,Boubacar Kamara,boubacar-kamara,B. Kamara,M,44,184,3386,M,,826204,EUR,943315200,M,44,44,False,76.0,62.0,9.0,5.0,30.0,34.0,32.0,42.0,2.0,9.0,,,,90.0,90.0,7.0,16.0,0.0,0.0,0.0215242,0,,,,2.0,5.0,5.0,2.0,2.0,2.0,2.0,,,,4.0,,,,,2.0,,,,,1.0,,,1.0,,,,,,,,
10385503,home,Aston Villa,Jacob Ramsey,jacob-ramsey,J. Ramsey,M,41,180,3186,M,,975937,EUR,991008000,M,41,41,False,62.0,59.0,1.0,,16.0,16.0,43.0,46.0,1.0,4.0,,,,89.0,84.0,6.6,12.0,0.0,0.0,0.0491204,0,,,2.0,1.0,7.0,5.0,,3.0,1.0,1.0,1.0,,,,,,,,4.0,,1.0,,,2.0,,1.0,4.0,2.0,,,,,,,
10385503,home,Aston Villa,Philippe Coutinho,philippe-coutinho,P. Coutinho,M,10,172,68776,M,Coutinho,119159,EUR,708307200,M,23,23,False,37.0,30.0,2.0,1.0,10.0,12.0,20.0,25.0,,6.0,,,,60.0,46.0,6.4,11.0,0.0,0.0,0.0116672,0,,,3.0,,5.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,
10385503,home,Aston Villa,Ollie Watkins,ollie-watkins,O. Watkins,F,11,179,19908,M,OllieWatkins,555386,EUR,820281600,F,11,11,False,23.0,19.0,,,2.0,3.0,17.0,20.0,,3.0,,,,90.0,36.0,7.4,10.0,0.5615,0.2972,0.852575,2,,,3.0,1.0,6.0,4.0,,,1.0,1.0,,,,,1.0,,1.0,,2.0,,1.0,,,1.0,1.0,2.0,3.0,2.0,2.0,1.0,,,,,
