match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,stat_aerialWon,stat_shotOffTarget,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_bigChanceMissed,stat_hitWoodwork,stat_challengeLost,stat_bigChanceCreated,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_totalOffside,player_sofascoreId,stat_penaltyConceded,stat_punches,stat_goals
12499277,home,Genoa,Pierluigi Gollini,,,pierluigi-gollini,P. Gollini,G,95,194.0,1254,M,329175,EUR,795484800,G,95,95,False,30.0,26.0,8.0,4.0,0.0,23.0,25.0,3.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,90.0,37.0,6.7,4.0,0.0014466,0,-0.7313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499277,home,Genoa,Alessandro Vogliacco,,,alessandro-vogliacco,A. Vogliacco,D,4,186.0,344,M,807295,EUR,905731200,D,14,14,False,44.0,35.0,9.0,4.0,0.0,16.0,18.0,21.0,30.0,2.0,2.0,,,,,90.0,62.0,7.0,12.0,0.104798,0,,4.0,2.0,1.0,1.0,5.0,1.0,2.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12499277,home,Genoa,Koni De Winter,,,de-winter-koni,K. De Winter,D,5,191.0,3255,M,1001828,EUR,1023840000,D,4,4,False,93.0,79.0,7.0,3.0,0.0,52.0,56.0,27.0,37.0,2.0,4.0,,,,,90.0,104.0,7.1,16.0,0.0126042,1,,,,1.0,2.0,14.0,,,1.0,1.0,1.0,,12.0,1.0,2.0,1.0,0.1096,,,,,,,,,,,,,,,,
12499277,home,Genoa,Johan Vásquez,,,johan-vasquez,J. Vásquez,D,22,185.0,4788,M,889785,EUR,909014400,D,22,22,False,79.0,67.0,11.0,5.0,0.0,43.0,48.0,24.0,31.0,4.0,5.0,,,,,90.0,88.0,6.8,13.0,0.0763978,1,,,,1.0,2.0,4.0,,2.0,,,,1.0,4.0,1.0,1.0,1.0,0.4687,1.0,1.0,,,,,,,,,,,,,,
12499277,home,Genoa,Stefano Sabelli,,,stefano-sabelli,S. Sabelli,D,20,179.0,199,M,184421,EUR,726883200,M,20,20,False,17.0,14.0,1.0,1.0,0.0,3.0,3.0,11.0,17.0,1.0,3.0,,,,,61.0,27.0,6.7,7.0,0.134101,0,,3.0,,,2.0,,,,,,,1.0,,,,,,,,2.0,1.0,,,,,,,,,,,,
12499277,home,Genoa,Junior Messias,,,junior-messias,J. Messias,F,10,179.0,1230,M,888219,EUR,674092800,M,10,10,False,28.0,21.0,3.0,1.0,0.0,7.0,7.0,14.0,23.0,1.0,3.0,,,,,86.0,50.0,7.1,15.0,0.0174555,4,,2.0,,,3.0,6.0,,,2.0,1.0,2.0,1.0,1.0,2.0,3.0,,0.8265,1.0,,,,3.0,1.0,1.0,1.0,1.0,0.0454,,,,,,
12499277,home,Genoa,Milan Badelj,,,milan-badelj,M. Badelj,M,,186.0,902,M,39482,EUR,604368000,M,47,47,False,30.0,20.0,4.0,,0.0,12.0,13.0,8.0,17.0,,2.0,,,,,60.0,36.0,6.8,10.0,0.00557021,0,,,,,,5.0,1.0,,1.0,1.0,2.0,,2.0,,,,,,,,,,,,,,,True,,,,,
12499277,home,Genoa,Morten Frendrup,,,morten-frendrup,M. Frendrup,M,32,178.0,1679,M,918440,EUR,986601600,M,32,32,False,36.0,29.0,2.0,1.0,0.0,21.0,23.0,8.0,13.0,,1.0,,,,,84.0,45.0,6.2,9.0,0.0035997,0,,,,3.0,6.0,3.0,,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,2.0,,,,,,,,,,
12499277,home,Genoa,Aarón Martín,,,aaron-martin,A. Martín,D,3,180.0,1144,M,797286,EUR,861667200,M,3,3,False,35.0,27.0,6.0,2.0,0.0,13.0,14.0,18.0,33.0,3.0,6.0,,,,,90.0,62.0,6.7,17.0,0.558976,0,,12.0,4.0,1.0,3.0,3.0,,,2.0,,,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,
12499277,home,Genoa,Andrea Pinamonti,,,andrea-pinamonti,A. Pinamonti,F,99,185.0,2688,M,826198,EUR,927072000,F,19,19,False,19.0,12.0,,,0.0,6.0,6.0,6.0,13.0,1.0,,,,,,90.0,29.0,6.5,12.0,0.00891785,1,,,,7.0,9.0,5.0,,,,,2.0,,3.0,,3.0,1.0,0.0239,,,,,1.0,1.0,,,1.0,,,,,,,
