match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_dispossessed,stat_wasFouled,stat_challengeLost,stat_blockedScoringAttempt,stat_expectedGoals,stat_bigChanceCreated,stat_fouls,captain,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_hitWoodwork,stat_bigChanceMissed,stat_goals,stat_errorLeadToAShot,stat_outfielderBlock,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_totalOffside
12764073,home,Manchester United,André Onana,,,andre-onana,A. Onana,G,24,190,53710,M,AndréOnana24,787498,EUR,828403200,G,24,24,False,33.0,31.0,4.0,3.0,0.0,30.0,32.0,1.0,1.0,2.0,2.0,6.0,2.0,2.0,2.0,1.0,90.0,43.0,6.6,2.0,0.0003006,0,-1.2215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764073,home,Manchester United,Noussair Mazraoui,,,noussair-mazraoui,N. Mazraoui,D,3,183,53700,M,nousmaz97,847030,EUR,879465600,D,3,3,False,119.0,114.0,5.0,3.0,1.0,48.0,49.0,67.0,71.0,6.0,4.0,8.0,5.0,,,,90.0,139.0,7.9,7.0,0.401944,0,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,
12764073,home,Manchester United,Matthijs de Ligt,,,matthijs-de-ligt,M. de Ligt,D,4,188,32670,M,mdeligt,803031,EUR,934416000,D,4,4,False,100.0,95.0,7.0,4.0,0.0,46.0,49.0,49.0,51.0,2.0,,4.0,,,,,66.0,105.0,6.6,6.0,0.0176797,0,,,,2.0,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12764073,home,Manchester United,Lisandro Martínez,,,lisandro-martinez,L. Martínez,D,6,175,51493,M,LichaMartínez,859999,EUR,885081600,D,6,6,False,79.0,79.0,3.0,3.0,0.0,26.0,26.0,53.0,53.0,2.0,,2.0,2.0,,,,60.0,83.0,7.1,,0.0628413,0,,,,,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
12764073,home,Manchester United,Antony,,,antony,Antony,M,7,172,218925,M,Antony,958380,EUR,951350400,M,21,21,False,49.0,44.0,1.0,,0.0,17.0,18.0,27.0,32.0,6.0,,4.0,1.0,,,,60.0,70.0,6.9,12.0,0.0507261,1,,1.0,,6.0,6.0,4.0,2.0,1.0,2.0,1.0,,,2.0,1.0,2.0,1.0,0.019,,,,,,,,,,,,,,,
12764073,home,Manchester United,Manuel Ugarte,,,manuel-ugarte,M. Ugarte,M,25,182,19070,M,ugartemanu,846425,EUR,986947200,M,25,25,False,66.0,61.0,3.0,2.0,1.0,30.0,30.0,31.0,36.0,5.0,1.0,6.0,4.0,,,,90.0,77.0,7.7,5.0,0.535484,0,,,,2.0,1.0,1.0,2.0,2.0,,1.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,
12764073,home,Manchester United,Bruno Fernandes,,,bruno-fernandes,B. Fernandes,M,8,179,237692,M,BrunoFernandes,288205,EUR,778982400,M,8,8,False,84.0,74.0,9.0,7.0,0.0,24.0,27.0,50.0,58.0,2.0,,8.0,1.0,,,,90.0,95.0,7.7,12.0,0.086948,5,,1.0,,2.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,0.2453,,1.0,True,3.0,1.0,0.0712,,,,,,,,,
12764073,home,Manchester United,Tyrell Malacia,,,tyrell-malacia,T. Malacia,D,12,169,8793,M,tyrellmalacia,825839,EUR,934761600,M,12,12,False,38.0,37.0,1.0,1.0,0.0,10.0,10.0,28.0,36.0,4.0,1.0,,2.0,,,,45.0,60.0,7.0,12.0,0.220694,0,,8.0,1.0,4.0,4.0,2.0,,2.0,1.0,2.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,
12764073,home,Manchester United,Mason Mount,,,mason-mount,M. Mount,M,7,181,41150,M,MMount,836694,EUR,915926400,F,7,7,False,26.0,20.0,,,0.0,5.0,6.0,15.0,21.0,2.0,1.0,3.0,1.0,,,,59.0,37.0,7.0,9.0,0.100358,2,,1.0,,5.0,,,,,,,,1.0,2.0,,2.0,1.0,0.32,,1.0,,1.0,,,1.0,,,,,,,,
12764073,home,Manchester United,Alejandro Garnacho,,,alejandro-garnacho,A. Garnacho,F,49,180,137323,M,AleGarnacho,1135873,EUR,1088640000,F,17,17,False,46.0,37.0,2.0,2.0,0.0,4.0,5.0,33.0,44.0,5.0,,4.0,1.0,,,,90.0,63.0,7.8,16.0,0.251702,4,,3.0,,2.0,3.0,2.0,1.0,1.0,2.0,4.0,,1.0,1.0,1.0,,,1.519,,,,2.0,2.0,1.0641,,2.0,1.0,,,,,,
