match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_sofascoreId,stat_goalAssist,stat_accurateOppositionHalfPasses,stat_totalCross,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,stat_interceptionWon,stat_lastManTackle,stat_fouls,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_accurateCross,stat_shotOffTarget,stat_totalOffside,stat_bigChanceMissed,stat_goals,captain,stat_goodHighClaim,stat_savedShotsFromInsideTheBox
10433778,home,Fenerbahçe,İrfan Can Eğribayat,irfan-can-egribayat,İ. C. Eğribayat,G,71,193,1983,M,594618,EUR,891216000,G,70,70,False,20.0,14.0,10.0,4.0,14.0,16.0,4.0,2.0,2.0,11.0,3.0,1.0,90.0,31.0,7.3,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433778,home,Fenerbahçe,Ferdi Kadıoğlu,ferdi-kadioglu,F. Kadıoğlu,D,24,174,20994,M,825844,EUR,939254400,D,7,7,False,69.0,61.0,2.0,,24.0,25.0,45.0,2.0,1.0,7.0,,,90.0,95.0,7.5,16.0,0,ferdikadioglu,1.0,37.0,1.0,6.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,
10433778,home,Fenerbahçe,Samet Akaydın,samet-akaydin,S. Akaydın,D,3,190,969,M,863600,EUR,763516800,D,3,3,False,73.0,67.0,8.0,7.0,50.0,55.0,18.0,3.0,1.0,5.0,,,90.0,88.0,7.7,7.0,0,,,17.0,,8.0,,,,,5.0,3.0,1.0,1.0,,,1.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
10433778,home,Fenerbahçe,Attila Szalai,attila-szalai,A. Szalai,D,41,192,2464,M,823092,EUR,885254400,D,41,41,False,48.0,43.0,10.0,6.0,35.0,36.0,12.0,2.0,,4.0,,,90.0,59.0,7.7,6.0,2,,,8.0,,3.0,,1.0,1.0,1.0,4.0,,,1.0,,1.0,1.0,2.0,,1.0,,1.0,,,1.0,1.0,,,,,,,,
10433778,home,Fenerbahçe,Luan Peres,luan-peres,L. Peres,D,14,190,1198,M,842098,EUR,774576000,D,28,28,False,44.0,36.0,5.0,2.0,16.0,18.0,27.0,3.0,1.0,3.0,,,90.0,64.0,7.1,10.0,0,,,21.0,1.0,4.0,,1.0,,,1.0,3.0,2.0,,1.0,,,,,3.0,,2.0,,,,,1.0,,,,,,,
10433778,home,Fenerbahçe,Willian Arão,willian-arao,Willian Arão,M,15,181,1888,M,242213,EUR,700358400,M,5,5,False,52.0,47.0,2.0,2.0,17.0,21.0,32.0,5.0,,9.0,,,89.0,62.0,7.3,7.0,1,,,30.0,1.0,5.0,,3.0,3.0,,2.0,1.0,,1.0,,,3.0,1.0,,1.0,,2.0,,,1.0,,,,,,,,,
10433778,home,Fenerbahçe,Arda Güler,arda-guler,A. Güler,M,15,176,398152,M,1091116,EUR,1109289600,M,10,10,False,54.0,47.0,6.0,5.0,16.0,17.0,45.0,7.0,2.0,8.0,,,86.0,80.0,8.9,14.0,1,AGüler,1.0,36.0,8.0,9.0,,6.0,3.0,3.0,,4.0,2.0,1.0,1.0,7.0,1.0,1.0,,,,1.0,Arda Guler,,,,5.0,1.0,1.0,,,,,
10433778,home,Fenerbahçe,Miha Zajc,miha-zajc,M. Zajc,M,8,180,1173,M,139256,EUR,773020800,M,26,26,False,59.0,55.0,,,23.0,23.0,36.0,1.0,,5.0,,,90.0,75.0,7.8,7.0,4,,,32.0,,5.0,,5.0,4.0,,,,,1.0,1.0,1.0,,,,1.0,,,,,2.0,1.0,,1.0,,1.0,1.0,,,
10433778,home,Fenerbahçe,İrfan Can Kahveci,irfan-can-kahveci,İ. C. Kahveci,M,71,180,4224,M,226986,EUR,805766400,M,17,17,False,29.0,24.0,1.0,1.0,10.0,14.0,17.0,6.0,,4.0,,,87.0,54.0,7.3,11.0,1,irfankahveci,,16.0,2.0,7.0,,7.0,4.0,,2.0,1.0,,3.0,2.0,2.0,1.0,,,1.0,,2.0,,,1.0,,2.0,,,,,,,
10433778,home,Fenerbahçe,Enner Valencia,enner-valencia,E. Valencia,F,10,177,9801,M,106456,EUR,626140800,F,13,13,False,20.0,14.0,1.0,1.0,8.0,9.0,12.0,7.0,,2.0,,,68.0,43.0,7.3,15.0,3,ennervalencia,,6.0,1.0,10.0,,6.0,4.0,,,2.0,,6.0,1.0,,4.0,3.0,,,,1.0,,,2.0,,,1.0,,1.0,1.0,True,,
