match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialLost,stat_challengeLost,stat_outfielderBlock,stat_errorLeadToAShot,player_firstName,player_lastName,stat_shotOffTarget,stat_blockedScoringAttempt,stat_expectedGoals,stat_wasFouled,stat_dispossessed,captain,stat_accurateCross,stat_goalAssist,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,player_sofascoreId,stat_bigChanceCreated,stat_hitWoodwork,stat_goodHighClaim,stat_totalOffside
11391304,home,Nantes,Alban Lafont,alban-lafont,A. Lafont,G,40,195,2914,M,826201,EUR,917049600,G,1,1,False,34.0,19.0,23.0,8.0,12.0,12.0,7.0,22.0,4.0,9.0,4.0,7.0,2.0,1.0,1.0,90.0,51.0,7.7,15.0,0.00075307,0,0.6433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391304,home,Nantes,Kelvin Amian,kelvin-amian,K. Amian,D,98,179,199,M,802143,EUR,886896000,D,98,98,False,16.0,12.0,5.0,2.0,4.0,5.0,8.0,12.0,4.0,1.0,,,,,,90.0,44.0,6.7,10.0,0.00727703,0,,1.0,1.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11391304,home,Nantes,Eray Cömert,eray-comert,E. Cömert,D,24,183,508,M,814023,EUR,886550400,D,24,24,False,18.0,12.0,4.0,1.0,10.0,14.0,2.0,4.0,4.0,2.0,,,,,,41.0,25.0,6.4,6.0,0.00163107,0,,,,3.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11391304,home,Nantes,Jean-Charles Castelletto,jean-charles-castelletto,J.-C. Castelletto,D,21,186,1499,M,191204,EUR,791078400,D,21,21,False,43.0,39.0,1.0,1.0,23.0,25.0,16.0,20.0,,3.0,,,,,,90.0,53.0,6.7,6.0,0.00470637,2,,2.0,4.0,2.0,4.0,1.0,,,,1.0,,1.0,,1.0,,,,1.0,1.0,0.1049,,,,,,,,,,,,,,,,
11391304,home,Nantes,Nicolas Cozza,nicolas-cozza,N. Cozza,D,3,178,184,M,886286,EUR,915753600,D,3,3,False,30.0,23.0,5.0,4.0,15.0,16.0,8.0,14.0,3.0,4.0,,,,,,90.0,48.0,6.7,8.0,0.0120737,1,,,3.0,3.0,6.0,1.0,,,,,,1.0,2.0,,,,,1.0,,0.0907,4.0,,,,,,,,,,,,,,,
11391304,home,Nantes,Douglas Augusto,douglas-augusto,D. Augusto,M,66,173,491,M,809034,EUR,853113600,M,6,6,False,28.0,24.0,2.0,1.0,10.0,12.0,14.0,16.0,2.0,5.0,,,,,,86.0,40.0,6.4,7.0,0.0122096,0,,,,6.0,2.0,1.0,1.0,1.0,1.0,2.0,,,2.0,1.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,
11391304,home,Nantes,Pedro Chirivella,pedro-chirivella,P. Chirivella,M,4,178,556,M,799216,EUR,864345600,M,5,5,False,61.0,53.0,4.0,2.0,23.0,25.0,31.0,37.0,,6.0,,,,,,90.0,70.0,6.7,11.0,0.471421,0,,1.0,,7.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,,5.0,,,,,,,,2.0,1.0,True,1.0,,,,,,,,,,,,
11391304,home,Nantes,Florent Mollet,florent-mollet,F. Mollet,M,91,174,195,M,234230,EUR,690508800,M,25,25,False,29.0,27.0,2.0,2.0,17.0,17.0,12.0,18.0,2.0,6.0,,,,,,76.0,46.0,7.6,7.0,0.114859,2,,6.0,,1.0,2.0,1.0,,,1.0,,3.0,,1.0,1.0,,,,2.0,,0.0466,1.0,,,2.0,1.0,1.0,1.0,,,,,,,,,
11391304,home,Nantes,Moussa Sissoko,moussa-sissoko,M. Sissoko,M,17,187,1081,M,27014,EUR,619228800,M,17,17,False,26.0,22.0,,,9.0,11.0,13.0,15.0,,6.0,,,,,,86.0,34.0,6.6,6.0,0.0231304,0,,,,6.0,3.0,,1.0,,1.0,,1.0,5.0,,1.0,,,,,,,,,,,,3.0,2.0,,,,,,,,,
11391304,home,Nantes,Matthis Abline,abline-matthis,M. Abline,F,10,182,1315,M,999070,EUR,1048809600,M,39,39,False,12.0,11.0,,,4.0,4.0,7.0,8.0,,4.0,,,,,,90.0,38.0,7.5,12.0,0.039952,6,,,,2.0,5.0,1.0,3.0,1.0,10.0,,,1.0,,,,,,,2.0,0.6015,1.0,1.0,,,,1.0,1.0,1.0,4.0,1.0,1.0344,,,,,
