match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_aerialWon,stat_duelWon,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_shotValueNormalized,stat_aerialLost,stat_duelLost,stat_outfielderBlock,captain,stat_totalCross,stat_dispossessed,stat_onTargetScoringAttempt,stat_fouls,stat_totalContest,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_challengeLost,stat_wonContest,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_goals,stat_bigChanceMissed,stat_hitWoodwork,stat_ownGoals,stat_savedShotsFromInsideTheBox,stat_accurateCross,stat_totalOffside
15002167,home,Salford City,Matthew Young,young-matthew,M. Young,G,1,191.0,143,M,1471477,EUR,1164326400.0,G,1,1,False,29.0,5.0,28.0,4.0,0.0,1.0,4.0,4.0,25.0,5.0,1.0,1.0,1.0,90.0,31.0,6.3,24.0,33.970087313708,6.0,-2.835,1.155,0.0071,0,0.07,-0.03,0.15,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15002167,home,Salford City,Oliver Turton,oliver-turton,O. Turton,D,6,180.0,15,M,151508,EUR,723600000.0,D,6,6,False,17.0,7.0,8.0,,0.0,3.0,6.0,4.0,11.0,2.0,,,,90.0,38.0,6.9,13.0,23.93338051477,4.0,-1.68,5.355,,1,-0.05,0.0,0.37,,,,1.0,2.0,1.0,8.0,1.0,1.0,1.0,-0.08,,,,,,,,,,,,,,,,,,,,,,,
15002167,home,Salford City,Adebola Oluwo,adebola-oluwo,A. Oluwo,D,22,191.0,29,M,1405272,EUR,942969600.0,D,22,22,False,15.0,8.0,6.0,2.0,0.0,3.0,5.0,5.0,10.0,3.0,,,,90.0,24.0,7.0,7.0,46.424315749218,6.0,-11.34,2.31,,0,0.02,0.08,0.37,,,,1.0,2.0,,6.0,,1.0,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
15002167,home,Salford City,Luke Garbutt,luke-garbutt,L. Garbutt,D,29,178.0,41,M,98429,EUR,737942400.0,D,29,29,False,33.0,19.0,9.0,2.0,0.0,10.0,13.0,9.0,20.0,4.0,,,,90.0,82.0,7.7,36.0,59.916540600321,7.0,12.915,12.81,,1,0.15,0.03,0.4,,,,3.0,5.0,,4.0,5.0,2.0,1.0,0.32,2.0,4.0,3.0,True,6.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
15002167,home,Salford City,Jorge Grant,jorge-grant,J. Grant,M,8,175.0,63,M,587102,EUR,780537600.0,M,8,8,False,24.0,17.0,6.0,1.0,0.0,7.0,7.0,10.0,17.0,2.0,,,,90.0,44.0,6.6,13.0,31.015538439483,5.0,7.77,10.815,,2,0.09,0.0,0.19,,,,,3.0,,3.0,1.0,2.0,,0.03,1.0,4.0,1.0,,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,,,,,,,,,,,
15002167,home,Salford City,Haji Mnoga,haji-mnoga,H. Mnoga,M,19,190.0,650,M,958722,EUR,1018915200.0,M,19,19,False,21.0,6.0,1.0,,0.0,,2.0,6.0,19.0,4.0,,,,90.0,47.0,6.8,23.0,69.725024954032,11.0,28.665,12.285,,1,0.08,0.22,-0.05,,,,4.0,11.0,,3.0,,5.0,5.0,-0.23,4.0,13.0,1.0,,,3.0,,2.0,2.0,,,,4.0,2.0,1.0,,,,,,,,
15002167,home,Salford City,Kallum Cesay,kallum-cesay,K. Cesay,M,21,187.0,99,M,1109718,EUR,1031097600.0,M,21,21,False,13.0,11.0,2.0,1.0,1.0,3.0,3.0,8.0,10.0,4.0,,,,89.0,30.0,7.9,11.0,141.81791457867,10.0,51.87,30.24,,1,0.4,0.11,-0.03,,,,,3.0,,,,2.0,2.0,-0.29,,6.0,1.0,,,1.0,1.0,1.0,3.0,5.0,1.0,5.0,1.0,,,1.0,,,,,,,
15002167,home,Salford City,Josh Austerfield,austerfield-josh,J. Austerfield,M,17,179.0,28,M,1009729,EUR,1004659200.0,M,17,17,False,18.0,15.0,2.0,1.0,0.0,5.0,6.0,10.0,12.0,2.0,,,,79.0,24.0,6.6,4.0,20.010291597002,3.0,-13.23,1.365,,2,0.09,0.04,0.23,,,,1.0,3.0,1.0,,,1.0,1.0,-0.51,4.0,5.0,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,
15002167,home,Salford City,Kadeem Harris,kadeem-harris,K. Harris,M,14,174.0,29,M,99078,EUR,739497600.0,M,14,14,False,24.0,16.0,3.0,1.0,1.0,4.0,5.0,12.0,19.0,10.0,,,,90.0,38.0,7.0,14.0,268.04386209902,18.0,190.68,31.08,,1,-0.07,0.67,-0.01,,,,,3.0,1.0,,1.0,,,-0.54,,4.0,,,1.0,,,,4.0,2.0,2.0,2.0,1.0,1.0,,1.0,,,,,,,
15002167,home,Salford City,Kelly N'Mai,kelly-nmai,K. N'Mai,M,10,168.0,115,M,1133492,EUR,1083369600.0,F,10,10,False,15.0,13.0,1.0,1.0,0.0,1.0,1.0,12.0,14.0,,,,,90.0,43.0,8.1,14.0,100.02390806971,9.0,21.0,26.88,,4,0.24,0.73,0.14,,Kelly N'Mai,,,5.0,,,,2.0,,0.64,,9.0,,,3.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,,1.0,1.0,,2.0,,,,,,
