match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_accurateCross,stat_challengeLost,stat_outfielderBlock,captain,stat_shotOffTarget,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_goals,stat_goalAssist,player_firstName,player_lastName,stat_totalOffside
11451082,home,MKE Ankaragücü,Bahadır Han Güngördü,bahadir-han-gungordu,B. H. Güngördü,G,13,190,97,M,807289,EUR,821750400,G,99,99,False,52.0,44.0,20.0,12.0,44.0,45.0,7.0,1.0,2.0,2.0,11.0,1.0,1.0,2.0,1.0,90.0,60.0,7.6,8.0,0.00017089,0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451082,home,MKE Ankaragücü,Hayrullah Bilazer,hayrullah-bilazer,H. Bilazer,D,77,170,27,M,852161,EUR,800928000,D,77,77,False,71.0,54.0,14.0,8.0,28.0,33.0,40.0,,7.0,1.0,10.0,1.0,,,,90.0,106.0,7.4,25.0,0.0305811,0,,26.0,2.0,1.0,5.0,6.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,
11451082,home,MKE Ankaragücü,Uroš Radaković,uros-radakovic,U. Radaković,D,26,194,313,M,151900,EUR,765072000,D,26,26,False,63.0,58.0,5.0,2.0,53.0,54.0,9.0,3.0,3.0,7.0,4.0,,,,,90.0,76.0,7.3,5.0,0.0126011,1,,5.0,,3.0,3.0,,,2.0,,,,,1.0,1.0,1.0,0.0891,0.163,,,,,,,,,,,,,
11451082,home,MKE Ankaragücü,Nihad Mujakić,nihad-mujakic,N. Mujakić,D,5,189,775,M,858004,EUR,892598400,D,18,18,False,65.0,58.0,9.0,4.0,50.0,54.0,11.0,3.0,4.0,1.0,3.0,1.0,,,,90.0,73.0,6.8,9.0,0.00674103,0,,8.0,,1.0,3.0,,,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,
11451082,home,MKE Ankaragücü,Matěj Hanousek,matej-hanousek,M. Hanousek,D,23,182,56,M,320905,EUR,738979200,D,5,5,False,53.0,46.0,6.0,3.0,26.0,29.0,26.0,1.0,5.0,,5.0,,,,,90.0,75.0,7.0,11.0,0.0524233,0,,21.0,2.0,1.0,4.0,4.0,2.0,1.0,2.0,1.0,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,
11451082,home,MKE Ankaragücü,Tolga Ciğerci,tolga-cigerci,T. Ciğerci,M,38,185,114,M,120298,EUR,701308800,M,30,30,False,50.0,42.0,5.0,4.0,25.0,29.0,21.0,4.0,10.0,1.0,15.0,2.0,,,,90.0,67.0,7.9,8.0,0.00576228,3,,17.0,,3.0,7.0,,,2.0,4.0,2.0,,2.0,,,,0.0626,,,,3.0,,True,3.0,,,,,,,
11451082,home,MKE Ankaragücü,Efkan Bekiroğlu,efkan-bekiroglu,E. Bekiroğlu,M,11,185,168,M,800458,EUR,811036800,M,10,10,False,41.0,33.0,6.0,2.0,24.0,25.0,18.0,,4.0,,5.0,1.0,,,,89.0,57.0,7.7,13.0,0.165471,3,,10.0,2.0,,1.0,3.0,2.0,,1.0,,3.0,,1.0,,1.0,0.4239,0.6611,,1.0,,,,1.0,1.0,1.0,1.0,,,,
11451082,home,MKE Ankaragücü,Garry Rodrigues,garry-rodrigues,G. Rodrigues,M,10,173,946,M,787429,EUR,659664000,M,11,11,False,20.0,17.0,1.0,1.0,2.0,2.0,20.0,,4.0,1.0,1.0,3.0,,,,89.0,39.0,8.0,9.0,0.314275,3,,15.0,2.0,2.0,4.0,2.0,1.0,,,,2.0,1.0,1.0,,1.0,0.2513,0.085,,,,,,2.0,1.0,,,1.0,,,
11451082,home,MKE Ankaragücü,Pedrinho,pedrinho,Pedrinho,M,14,170,130,M,182385,EUR,724809600,M,8,8,False,24.0,14.0,7.0,5.0,4.0,6.0,23.0,2.0,3.0,1.0,3.0,1.0,,,,61.0,36.0,7.0,16.0,0.041315,0,,10.0,5.0,1.0,2.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
11451082,home,MKE Ankaragücü,Anastasios Chatzigiovanis,anastasios-chatzigiovanis,A. Chatzigiovanis,M,10,175,405,M,850770,EUR,865036800,M,7,7,False,39.0,35.0,6.0,5.0,17.0,17.0,23.0,,7.0,,5.0,,,,,81.0,54.0,7.6,7.0,0.0939328,0,,18.0,1.0,1.0,2.0,8.0,7.0,,,,,,1.0,,,,,,,,,,,,,,,,,
11451082,home,MKE Ankaragücü,Ali Sowe,ali-sowe,A. Sowe,F,9,186,1037,M,238394,EUR,771552000,F,22,22,False,11.0,7.0,,,3.0,4.0,7.0,,1.0,2.0,,1.0,,,,89.0,25.0,7.4,10.0,0.0213533,2,,4.0,,1.0,2.0,,,,,,4.0,,,,2.0,0.7971,1.0642,1.0,,,,,,,,1.0,,,,
11451082,home,MKE Ankaragücü,Olimpiu Moruțan,olimpiu-morutan,O. Moruțan,F,80,172,1462,M,833613,EUR,924998400,M,80,80,True,6.0,4.0,1.0,,2.0,2.0,5.0,,1.0,,,1.0,,,,29.0,9.0,6.6,4.0,0.00122499,0,,2.0,1.0,1.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,
11451082,home,MKE Ankaragücü,Ali Kaan Güneren,ali-kaan-guneren,A. K. Güneren,M,23,183,28,M,867848,EUR,955152000,M,23,23,True,5.0,4.0,2.0,1.0,4.0,4.0,1.0,,2.0,1.0,2.0,,,,,9.0,9.0,6.9,2.0,7.24e-06,0,,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
11451082,home,MKE Ankaragücü,Andrej Đokanović,andrej-dokanovic,A. Đokanović,M,88,177,78,M,985366,EUR,983404800,M,16,16,True,,,,,,,,,,,,,,,,8.0,1.0,6.4,,,0,,,,,2.0,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,
11451082,home,MKE Ankaragücü,Cem Türkmen,cem-turkmen,C. Türkmen,M,18,173,69,M,997127,EUR,1017360000,M,6,6,True,1.0,1.0,,,1.0,1.0,,,,,,,,,,8.0,2.0,6.6,,1.72e-06,0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
11451082,home,MKE Ankaragücü,Riad Bajić,riad-bajic,R. Bajić,F,11,189,335,M,331751,EUR,768182400,F,9,9,True,1.0,1.0,,,,,1.0,,,,,,,,,9.0,2.0,6.5,1.0,0.00060967,0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
11451082,home,MKE Ankaragücü,Rafał Gikiewicz,rafal-gikiewicz,R. Gikiewicz,G,12,190,723,M,44938,EUR,562204800,G,1,1,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451082,home,MKE Ankaragücü,Mert Çetin,mert-cetin,M. Çetin,D,4,189,161,M,858148,EUR,852076800,D,45,45,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451082,home,MKE Ankaragücü,Atakan Çankaya,atakan-cankaya,A. Çankaya,D,35,180,44,M,1066338,EUR,898732800,M,4,4,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atakan Cankaya,,
11451082,home,MKE Ankaragücü,Alper Uludağ,alper-uludag,A. Uludağ,D,,180,20,M,100102,EUR,660873600,D,3,3,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451082,home,MKE Ankaragücü,Federico Macheda,federico-macheda,F. Macheda,F,41,184,327,M,50130,EUR,682819200,F,32,32,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Federico,Macheda,
