match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_ballRecovery,stat_penaltyConceded,stat_fouls,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_keyPass,player_sofascoreId,stat_clearanceOffLine,stat_interceptionWon,player_firstName,player_lastName,stat_blockedScoringAttempt,captain,stat_totalOffside,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals,stat_punches,stat_lastManTackle,stat_penaltyWon
12421181,home,KVC Westerlo,Koen Van Langendonck,koen-van-langendonck,K. V. Langendonck,G,30,188,44,M,247481,EUR,613353600,G,30,30,False,36.0,29.0,16.0,9.0,0.0,24.0,24.0,5.0,12.0,1.0,1.0,9.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,90.0,44.0,6.9,7.0,0.00078792,0,0.1642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421181,home,KVC Westerlo,Bryan Reynolds,bryan-reynolds,B. Reynolds,D,22,185,426,M,862075,EUR,993686400,D,22,22,False,32.0,23.0,4.0,1.0,0.0,9.0,12.0,16.0,26.0,2.0,7.0,4.0,,,,,,,,90.0,68.0,6.9,19.0,0.0552744,1,,6.0,2.0,1.0,6.0,1.0,2.0,4.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,0.082,2.0,,,,,,,,,,,,,,,,
12421181,home,KVC Westerlo,Luka Vušković,luka-vuskovic,L. Vušković,D,44,193,11576,M,1405212,EUR,1172275200,D,44,44,False,46.0,39.0,10.0,6.0,0.0,26.0,29.0,13.0,17.0,3.0,5.0,6.0,,,,,,,,90.0,73.0,8.3,11.0,0.00989956,2,,,,3.0,9.0,,1.0,2.0,1.0,2.0,10.0,3.0,5.0,4.0,2.0,,0.0633,1.0,lukavuskovic,1.0,1.0,,,,,,,,,,,,,
12421181,home,KVC Westerlo,Emin Bayram,emin-bayram,E. Bayram,D,40,193,768,M,997153,EUR,1049241600,D,40,40,False,34.0,30.0,8.0,8.0,0.0,18.0,19.0,12.0,15.0,,1.0,2.0,,,,,,,,73.0,42.0,6.6,5.0,0.00800192,0,,,,,2.0,1.0,,,,,4.0,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
12421181,home,KVC Westerlo,Tuur Rommens,rommens-tuur,T. Rommens,D,25,185,329,M,1130011,EUR,1048636800,D,25,25,False,35.0,28.0,4.0,2.0,0.0,11.0,11.0,19.0,29.0,2.0,2.0,6.0,,,,,,,,90.0,65.0,7.3,14.0,0.572633,3,,5.0,2.0,1.0,3.0,,,1.0,1.0,1.0,4.0,,,,2.0,1.0,0.1303,4.0,,,1.0,,,2.0,,,,,,,,,,
12421181,home,KVC Westerlo,Alfie Devine,alfie-devine,A. Devine,M,21,182,1496,M,1049459,EUR,1091318400,M,10,10,False,30.0,23.0,2.0,1.0,0.0,7.0,9.0,16.0,23.0,1.0,4.0,2.0,,,,,,,,90.0,41.0,7.1,12.0,0.0737785,1,,2.0,,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,,,0.0242,1.0,,,,,,,,,,,,,,,,
12421181,home,KVC Westerlo,Doğucan Haspolat,dogucan-haspolat,D. Haspolat,M,34,177,454,M,846087,EUR,950227200,M,34,34,False,38.0,30.0,10.0,6.0,0.0,11.0,12.0,22.0,36.0,,1.0,7.0,,2.0,,,,,,90.0,63.0,7.3,19.0,0.117772,0,,10.0,3.0,1.0,5.0,,,,,,2.0,1.0,3.0,1.0,3.0,1.0,,3.0,,,1.0,,,,True,1.0,,,,,,,,
12421181,home,KVC Westerlo,Griffin Yow,griffin-yow,G. Yow,M,18,173,283,M,979808,EUR,1032912000,M,18,18,False,6.0,3.0,,,0.0,,,3.0,7.0,1.0,5.0,,,1.0,,,,,,61.0,13.0,6.3,7.0,0.00739109,1,,1.0,,,1.0,1.0,,2.0,,,,,1.0,1.0,1.0,,0.0841,,,,,,,,,,1.0,0.2427,,,,,,
12421181,home,KVC Westerlo,Serhiy Sydorchuk,serhiy-sydorchuk,S. Sydorchuk,M,8,189,289,M,81202,EUR,673142400,M,15,15,False,18.0,18.0,1.0,1.0,0.0,3.0,3.0,15.0,15.0,3.0,4.0,6.0,,1.0,,,,,,73.0,26.0,7.1,3.0,0.310861,0,,,,,2.0,,,,,,,,1.0,1.0,3.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,
12421181,home,KVC Westerlo,Allahyar Sayyadmanesh,allahyar-sayyadmanesh,A. Sayyadmanesh,M,7,182,1519,M,905474,EUR,993772800,M,7,7,False,24.0,16.0,4.0,1.0,1.0,2.0,4.0,15.0,24.0,3.0,11.0,4.0,,1.0,,,,,,90.0,49.0,7.9,19.0,0.0964137,6,,4.0,1.0,4.0,7.0,2.0,2.0,3.0,,1.0,1.0,,1.0,1.0,2.0,2.0,1.2833,2.0,,,,,,2.0,,,3.0,2.2216,,1.0,1.0,,,
